Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;102.46794190000037;None;104.46004259999972;104.75112780000018;104.75112780000018;104.75935480000044;104.75935480000044;104.80034100000012;104.80034100000012;None;None;0;104.80034100000012;None;106.30101689999992;None;['9'];[0.41437089999999444];106.30101689999992;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;109.3007319999997;None;111.37703340000007;111.66871600000013;111.66871600000013;111.81830760000048;111.81830760000048;111.85888890000024;111.85888890000024;None;8;1;111.85888890000024;None;113.35940130000017;None;['7'];[0.5159530000000814];113.35940130000017;None;0.8404426000006424;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;116.35903080000026;None;118.35201359999974;118.64335790000041;118.64335790000041;118.65148070000032;118.65148070000032;118.6922940000004;118.6922940000004;None;None;0;118.6922940000004;None;120.19232939999984;None;['9'];[0.3870542000004207];120.19232939999984;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;123.19271180000032;None;124.89253660000031;125.18553909999991;125.18553909999991;125.20996689999993;125.20996689999993;125.25094239999999;125.25094239999999;None;9;0;125.25094239999999;None;126.75086199999987;None;['7'];[0.6045264999993378];126.75086199999987;None;1.1842745999992985;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;129.75229800000034;None;131.01181150000048;131.30205380000007;131.30205380000007;131.45179449999978;131.45179449999978;131.4926330999997;131.4926330999997;None;9;0;131.4926330999997;None;132.99288400000023;None;['7'];[0.6344820000003892];132.99288400000023;None;0.886572200000046;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;135.9932901000002;None;137.98391059999994;138.2770486999998;138.2770486999998;138.28520600000047;138.28520600000047;138.32599019999998;138.32599019999998;None;None;0;138.32599019999998;None;139.8260833000004;None;['9'];[0.625272500000392];139.8260833000004;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;142.82626179999988;None;144.01968990000023;144.3104825999999;144.3104825999999;144.46038969999972;144.46038969999972;144.50107639999987;144.50107639999987;None;7;1;144.50107639999987;None;146.00115770000048;None;['7'];[0.5541731000002983];146.00115770000048;None;1.2702838000004704;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;149.0015370000001;None;150.50004929999977;150.79417360000025;150.79417360000025;150.8188097000002;150.8188097000002;150.8595537000001;150.8595537000001;None;8;0;150.8595537000001;None;152.3606761000001;None;['7'];[0.4187638000003062];152.3606761000001;None;0.8716422999996212;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;155.36030680000022;None;157.14427069999965;157.43577360000018;157.43577360000018;157.4604242000005;157.4604242000005;157.5015843000001;157.5015843000001;None;None;0;157.5015843000001;None;159.00151759999972;None;"['9', '7']";"[0.017919399999300367, 0.7299419000000853]";159.00151759999972;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;162.00244320000002;None;163.45939249999992;163.75251800000024;163.75251800000024;163.77744859999984;163.77744859999984;163.81841820000045;163.81841820000045;None;None;0;163.81841820000045;None;165.31842779999988;None;['8'];[1.0449384000003192];165.31842779999988;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
