Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.937741400000021;20.89927780000002;20.89927780000002;None;7;14.277627100000018;15.937741400000021;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;30.302875900000032;None;31.55224180000002;31.864270100000027;31.864270100000027;31.881295499999993;31.881295499999993;31.91494910000003;31.91494910000003;None;None;0;31.91494910000003;None;33.415516999999994;None;['9'];[0.83178079999999];33.415516999999994;None;;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;36.41577049999998;None;38.06890439999998;38.358389800000026;38.358389800000026;38.5075487;38.5075487;38.5484094;38.5484094;None;9;0;38.5484094;None;40.04860019999998;None;['7'];[0.5587957000000188];40.04860019999998;None;0.6508967000000325;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;43.04882360000002;None;44.1945479;44.48345650000002;44.48345650000002;44.6326976;44.6326976;44.67356570000001;44.67356570000001;None;8;1;44.67356570000001;None;46.17382010000003;None;['7'];[0.9135237000000416];46.17382010000003;None;0.7096970000000056;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;50.22246329999999;None;52.22274059999998;52.51646230000003;52.51646230000003;52.66644270000003;52.66644270000003;52.7070904;52.7070904;None;9;0;52.7070904;None;54.207429700000006;None;['7'];[0.5040070000000014];54.207429700000006;None;0.5402655999999979;49.173789400000004;None;None;None;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;57.208659400000016;None;59.070587200000006;59.36747920000002;59.36747920000002;59.3834952;59.3834952;59.42422250000001;59.42422250000001;None;9;1;59.42422250000001;None;60.92410190000001;None;['8'];[0.5793058999999516];60.92410190000001;None;0.7750813000000107;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;63.924496300000015;None;65.10938619999999;65.40018240000003;65.40018240000003;65.4168994;65.4168994;65.45784840000002;65.45784840000002;None;9;1;65.45784840000002;None;66.95756420000001;None;['8'];[0.553704200000027];66.95756420000001;None;0.6693831000000046;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;69.95917510000001;None;71.59289370000002;71.88421869999999;71.88421869999999;71.90041370000003;71.90041370000003;71.94115610000003;71.94115610000003;None;8;0;71.94115610000003;None;73.44147940000002;None;['8'];[0.373882100000003];73.44147940000002;None;0.64205800000002;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;76.44193650000003;None;77.7472347;78.0422642;78.0422642;78.067196;78.067196;78.1080628;78.1080628;None;7;0;78.1080628;None;79.608511;None;['8'];[0.5186862000000474];79.608511;None;0.8993867000000364;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;82.60869199999999;None;84.41560540000003;84.70909229999998;84.70909229999998;84.72564170000001;84.72564170000001;84.76657860000003;84.76657860000003;None;9;1;84.76657860000003;None;86.26632429999998;None;['8'];[0.5489685000000009];86.26632429999998;None;0.6967274999999518;;;;;;;Emoconpilot045;2022_Jan_07_1134;BackwardMask;2020.2.8;120.01315344162764;
