Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;key_resp_Rating.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;195.13878869987093;None;197.1360025999602;197.43067519995384;197.43067519995384;197.43881369987503;197.43881369987503;197.47964560007676;197.47964560007676;None;None;0;197.47964560007676;None;198.9797614000272;None;['9'];198.9797614000272;None;;[1.708175899926573];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;201.97984949988313;None;203.99141820007935;204.2814100999385;204.2814100999385;204.43050400004722;204.43050400004722;204.47141989995725;204.47141989995725;None;None;0;204.47141989995725;None;205.97150640003383;None;['8'];205.97150640003383;None;;[1.6921934999991208];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;208.97171849990264;None;210.97076909989119;211.26419460005127;211.26419460005127;211.27253869990818;211.27253869990818;211.313398799859;211.313398799859;None;None;0;211.313398799859;None;212.81324689998291;None;['9'];212.81324689998291;None;;[1.6425771000795066];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;215.81400880008005;None;217.5053480998613;217.79817939992063;217.79817939992063;217.82265449990518;217.82265449990518;217.86343450006098;217.86343450006098;None;9;0;217.86343450006098;None;219.36342759989202;None;['7'];219.36342759989202;None;0.9446447999216616;[0.34057860006578267];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;222.36433489993215;None;223.62830449989997;223.9228936000727;223.9228936000727;224.07285250001587;224.07285250001587;224.1137369000353;224.1137369000353;None;9;0;224.1137369000353;None;225.6135096999351;None;['7'];225.6135096999351;None;0.766212500166148;[0.29049689997918904];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;228.61380639998242;None;230.61295660003088;230.9068976000417;230.9068976000417;230.91447780001909;230.91447780001909;230.9552925999742;230.9552925999742;None;None;0;230.9552925999742;None;232.45552419987507;None;"['8', '8']";232.45552419987507;None;;"[0.3444581001531333, 1.160417600069195]";;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;235.4554838000331;None;236.6537418998778;236.9480629998725;236.9480629998725;237.09793510008603;237.09793510008603;237.1388715999201;237.1388715999201;None;7;1;237.1388715999201;None;238.63885229988955;None;['7'];238.63885229988955;None;0.956901399884373;[0.38510229997336864];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;241.6391747999005;None;243.09967450005934;243.39032940007746;243.39032940007746;243.41481500002556;243.41481500002556;243.45570919988677;243.45570919988677;None;8;0;243.45570919988677;None;244.9559724999126;None;['7'];244.9559724999126;None;0.8000485999509692;[0.4117801000829786];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;247.95669670007192;None;249.73882539989427;250.03168060001917;250.03168060001917;250.0566410999745;250.0566410999745;250.09727209992707;250.09727209992707;None;9;1;250.09727209992707;None;251.59748149989173;None;['7'];251.59748149989173;None;0.734655600041151;[0.37826530006714165];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;254.59859220008366;None;256.0604431000538;256.3568515998777;256.3568515998777;256.38154199998826;256.38154199998826;256.42254239995964;256.42254239995964;None;9;0;256.42254239995964;None;257.92253770004027;None;['7'];257.92253770004027;None;0.7613933000247926;[0.46147139999084175];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;260.92276609991677;None;262.9635230000131;263.2575441999361;263.2575441999361;263.2816858999431;263.2816858999431;263.32280669989996;263.32280669989996;None;8;0;263.32280669989996;None;264.8227142000105;None;['7'];264.8227142000105;None;0.6451942999847233;[0.4252349999733269];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;267.8227418998722;None;269.6751411999576;269.96594220004044;269.96594220004044;270.1154225000646;270.1154225000646;270.15607749996707;270.15607749996707;None;8;0;270.15607749996707;None;271.65623249998316;None;['7'];271.65623249998316;None;0.6359798999037594;[0.4237391999922693];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;274.65715670003556;None;276.1307532999199;276.42377260001376;276.42377260001376;276.4488176999148;276.4488176999148;276.48957889992744;276.48957889992744;None;9;0;276.48957889992744;None;277.98994469991885;None;['7'];277.98994469991885;None;0.7823560000397265;[0.5379417999647558];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;280.9904589999933;None;282.13125139987096;282.42395529989153;282.42395529989153;282.5738190000411;282.5738190000411;282.61467919987626;282.61467919987626;None;9;0;282.61467919987626;None;284.11490279994905;None;['7'];284.11490279994905;None;0.7290894999168813;[0.5410021999850869];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
