Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;021_o_f_n_a.jpg;neutral;8;19;f;019_m_f_s_a.jpg;sad;incongruent;7;match;;140;160;;1;238;block3_Pilot_2;21;n_s;n_s_weak;;;;;0;2;2;2;0;10;10;10;;;;;;;;;1734.914826899767;None;1736.9165944000706;1737.2072657002136;1737.2072657002136;1737.214932099916;1737.214932099916;1737.2557214000262;1737.2557214000262;None;None;0;;1737.2557214000262;None;1738.7559123001993;None;['9'];[0.7852570996619761];1738.7559123001993;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;016_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;186;block3_Pilot_2;16;s_n;s_n_strong;;;;;0;2;2;2;0;11;11;11;;;;;;;;;1741.7566827000119;None;1743.3139219000004;1743.6068608001806;1743.6068608001806;1743.6233211001381;1743.6233211001381;1743.664180799853;1743.664180799853;None;8;1;0.749074200168252;1743.664180799853;None;1745.1642539999448;None;['8'];[0.5690001002512872];1745.1642539999448;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_s_a.jpg;sad;7;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;130;150;;18;239;block3_Pilot_2;21;s_h;s_h_weak;;;;;0;2;2;2;0;12;12;12;;;;;;;;;1748.1646956000477;None;1750.1622855998576;1750.457108899951;1750.457108899951;1750.6068966998719;1750.6068966998719;1750.6477827997878;1750.6477827997878;None;7;0;0.7894565998576581;1750.6477827997878;None;1752.1477151000872;None;['7'];[0.673543400131166];1752.1477151000872;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;030_o_f_h_a.jpg;happy;9;33;m;033_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block3_Pilot_2;30;h_s;h_s_strong;;;;;0;2;2;2;0;13;13;13;;;;;;;;;1755.1486196997575;None;1757.151921799872;1757.4410643000156;1757.4410643000156;1757.4487418001518;1757.4487418001518;1757.489426100161;1757.489426100161;None;None;0;;1757.489426100161;None;1758.9896646998823;None;['9'];[0.9676218000240624];1758.9896646998823;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;004_o_m_h_a.jpg;happy;9;16;m;016_y_m_h_a.jpg;happy;congruent;9;match;;120;150;;18;166;block3_Pilot_2;4;h_h;h_h_strong;;;;;0;2;2;2;0;14;14;14;;;;;;;;;1761.99011350004;None;1763.3926364001818;1763.6828443999402;1763.6828443999402;1763.8320960998535;1763.8320960998535;1763.8728904998861;1763.8728904998861;None;9;1;0.5801217001862824;1763.8728904998861;None;1765.3730080998503;None;['7'];[0.4723010999150574];1765.3730080998503;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;012_o_f_h_a.jpg;happy;9;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;120;160;;18;136;block3_Pilot_2;12;h_s;h_s_strong;;;;;0;2;2;2;0;15;15;15;;;;;;;;;1768.3739967998117;None;1769.516281799879;1769.8076790999621;1769.8076790999621;1769.957252399996;1769.957252399996;1769.9981264998205;1769.9981264998205;None;9;0;0.4150967998430133;1769.9981264998205;None;1771.4981543999165;None;['7'];[0.2990307998843491];1771.4981543999165;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;019_m_f_s_a.jpg;sad;7;40;f;040_y_f_s_a.jpg;sad;congruent;7;match;;130;160;;3;163;block3_Pilot_2;19;s_s;s_s_strong;;;;;0;2;2;2;0;16;16;16;;;;;;;;;1774.4993643001653;None;1775.9007631000131;1776.1913803000934;1776.1913803000934;1776.2155345999636;1776.2155345999636;1776.2565262997523;1776.2565262997523;None;7;1;0.7166045997291803;1776.2565262997523;None;1777.7566293999553;None;['7'];[0.4004240999929607];1777.7566293999553;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_n_a.jpg;neutral;8;33;m;033_o_m_n_a.jpg;neutral;congruent;8;mismatch;;140;170;;2;171;block3_Pilot_2;21;n_n;n_n_weak;;;;;0;2;2;2;0;17;17;17;;;;;;;;;1780.757756299805;None;1782.202190299984;1782.4915693001822;1782.4915693001822;1782.5074690999463;1782.5074690999463;1782.5483435001224;1782.5483435001224;None;8;1;0.6409120997413993;1782.5483435001224;None;1784.0482978001237;None;['7'];[0.43697410030290484];1784.0482978001237;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;016_y_m_s_a.jpg;sad;7;21;f;021_o_f_s_a.jpg;sad;congruent;7;mismatch;;130;160;;2;188;block3_Pilot_2;16;s_s;s_s_strong;;;;;0;2;2;2;0;18;18;18;;;;;;;;;1787.048608600162;None;1788.6225781999528;1788.9162538000382;1788.9162538000382;1788.9327501999214;1788.9327501999214;1788.9735583998263;1788.9735583998263;None;8;0;1.007795499637723;1788.9735583998263;None;1790.4736123997718;None;['8'];[0.4677094998769462];1790.4736123997718;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_n_a.jpg;neutral;8;16;m;016_y_m_h_a.jpg;happy;incongruent;9;mismatch;;140;150;;3;198;block3_Pilot_2;21;n_h;n_h_strong;;;;;0;2;2;2;0;19;19;19;;;;;;;;;1793.4735785000958;None;1795.1703570000827;1795.466856900137;1795.466856900137;1795.4912088001147;1795.4912088001147;1795.5319687998854;1795.5319687998854;None;8;0;0.5211646002717316;1795.5319687998854;None;1797.0321045997553;None;['7'];[0.29319070000201464];1797.0321045997553;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_n_a.jpg;neutral;8;30;f;030_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;18;238;block3_Pilot_2;21;n_h;n_h_strong;;;;;0;2;2;2;0;20;20;20;;;;;;;;;1800.032687400002;None;1802.0372561998665;1802.3333990997635;1802.3333990997635;1802.4829037999734;1802.4829037999734;1802.5237732999958;1802.5237732999958;None;8;0;0.3695534002035856;1802.5237732999958;None;1804.024017599877;None;['7'];[0.3011519997380674];1804.024017599877;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;033_o_m_s_a.jpg;sad;7;4;m;004_o_m_h_a.jpg;happy;incongruent;9;match;;130;150;;3;224;block3_Pilot_2;33;s_h;s_h_strong;;;;;0;2;2;2;0;21;21;21;;;;;;;;;1807.0242531001568;None;1808.8987350999378;1809.1916701002046;1809.1916701002046;1809.216384800151;1809.216384800151;1809.2572082001716;1809.2572082001716;None;8;0;0.516011499799788;1809.2572082001716;None;1810.7573203998618;None;['8'];[0.6319857998751104];1810.7573203998618;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;033_o_m_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;141;block3_Pilot_2;33;n_s;n_s_weak;;;;;0;2;2;2;0;22;22;22;;;;;;;;;1813.7581464000978;None;1814.9543078001589;1815.250504199881;1815.250504199881;1815.2665121997707;1815.2665121997707;1815.3074441999197;1815.3074441999197;None;8;0;0.5456337002106011;1815.3074441999197;None;1816.8074930999428;None;['7'];[0.5818105000071228];1816.8074930999428;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;18;164;block3_Pilot_2;4;h_h;h_h_weak;;;;;0;2;2;2;0;23;23;23;;;;;;;;;1819.8090948997997;None;1821.1943916999735;1821.4840266997926;1821.4840266997926;1821.6333351000212;1821.6333351000212;1821.6740132998675;1821.6740132998675;None;9;1;0.4591401000507176;1821.6740132998675;None;1823.1740751997568;None;['7'];[0.46333379996940494];1823.1740751997568;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;016_y_m_n_a.jpg;neutral;8;21;f;021_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;1;238;block3_Pilot_2;16;n_s;n_s_strong;;;;;0;2;2;2;0;24;24;24;;;;;;;;;1826.175058899913;None;1828.1778445001692;1828.4673021999188;1828.4673021999188;1828.4751837998629;1828.4751837998629;1828.5157910999842;1828.5157910999842;None;None;0;;1828.5157910999842;None;1830.015980000142;None;['9'];[0.4612397002056241];1830.015980000142;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;004_o_m_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;match;;130;150;;2;187;block3_Pilot_2;4;s_h;s_h_weak;;;;;0;2;2;2;0;25;25;25;;;;;;;;;1833.0167318000458;None;1834.5943725998513;1834.8838999997824;1834.8838999997824;1834.9003995000385;1834.9003995000385;1834.9411722999066;1834.9411722999066;None;7;0;0.8560777003876865;1834.9411722999066;None;1836.4411403001286;None;['7'];[0.6359282997436821];1836.4411403001286;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
