Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;92.5801406999999;None;94.57091939999964;94.86381729999994;94.86381729999994;94.87205219999987;94.87205219999987;94.91274619999967;94.91274619999967;None;None;0;;94.91274619999967;None;96.41266649999989;None;['9'];[0.3927327999999761];96.41266649999989;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;99.41423859999986;None;101.42656709999983;101.7225454999998;101.7225454999998;101.87217059999966;101.87217059999966;101.9129326999996;101.9129326999996;None;8;1;0.6843310999997811;101.9129326999996;None;103.41384689999995;None;['7'];[0.38367609999977503];103.41384689999995;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;106.41381969999975;None;108.4044144999998;108.69740060000004;108.69740060000004;108.70566699999972;108.70566699999972;108.74638359999972;108.74638359999972;None;None;0;;108.74638359999972;None;110.24631239999962;None;['9'];[0.5031452999996873];110.24631239999962;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;113.24732619999986;None;114.93042709999963;115.22278329999972;115.22278329999972;115.24718499999972;115.24718499999972;115.28815609999992;115.28815609999992;None;9;0;0.5812983999999233;115.28815609999992;None;116.78811299999961;None;['7'];[0.3533209000001989];116.78811299999961;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;119.7892695999999;None;121.0457865999997;121.33956089999992;121.33956089999992;121.4889435;121.4889435;121.5299301;121.5299301;None;9;0;0.41960759999983566;121.5299301;None;123.03015449999975;None;['7'];[0.3032642999996824];123.03015449999975;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;126.03008950000003;None;128.02157659999966;128.31437329999972;128.31437329999972;128.3226639999998;128.3226639999998;128.3634864999999;128.3634864999999;None;None;0;;128.3634864999999;None;129.86342579999973;None;['9'];[0.486017400000037];129.86342579999973;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;132.8643632999997;None;134.05558459999975;134.34795469999972;134.34795469999972;134.49773179999966;134.49773179999966;134.53864309999972;134.53864309999972;None;7;1;0.7228035999996791;134.53864309999972;None;136.03849889999992;None;['7'];[0.31084629999986646];136.03849889999992;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;139.0390127999999;None;140.48568449999993;140.7817181999999;140.7817181999999;140.8061958999997;140.8061958999997;140.8469745999996;140.8469745999996;None;8;0;0.662411300000258;140.8469745999996;None;142.34695769999962;None;['7'];[0.3465515000002597];142.34695769999962;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;145.34793330000002;None;147.12999869999976;147.42314689999967;147.42314689999967;147.44795639999984;147.44795639999984;147.4887721;147.4887721;None;9;1;0.5166414000000259;147.4887721;None;148.98884599999974;None;['7'];[0.31255070000042906];148.98884599999974;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;151.99031549999972;None;153.44544189999988;153.7398737999997;153.7398737999997;153.76474229999985;153.76474229999985;153.80562650000002;153.80562650000002;None;8;1;1.0317623000000822;153.80562650000002;None;155.30562220000002;None;['8'];[0.26772299999993265];155.30562220000002;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
