Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;113.59844160010107;None;115.58921730006114;115.88285940000787;115.88285940000787;115.89088240009733;115.89088240009733;115.93164670001715;115.93164670001715;None;None;0;115.93164670001715;None;117.43160140002146;None;['9'];[0.4303985999431461];117.43160140002146;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;120.43173369998112;None;122.43728479999118;122.73318099998869;122.73318099998869;122.88263780018315;122.88263780018315;122.9235932000447;122.9235932000447;None;8;1;122.9235932000447;None;124.42364230006933;None;['7'];[0.4145344002172351];124.42364230006933;None;0.5545488998759538;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;127.42352510010824;None;129.41511130006984;129.70782020012848;129.70782020012848;129.71632850007154;129.71632850007154;129.757012499962;129.757012499962;None;None;0;129.757012499962;None;131.25698120007291;None;['9'];[0.38910589995794];131.25698120007291;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;134.25806500017643;None;135.928254700033;136.2166655000765;136.2166655000765;136.24127520015463;136.24127520015463;136.28215960017405;136.28215960017405;None;9;0;136.28215960017405;None;137.78232780005783;None;['7'];[0.3916303999722004];137.78232780005783;None;0.547820599982515;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;140.78282040008344;None;142.04001060011797;142.3331886001397;142.3331886001397;142.48311080015264;142.48311080015264;142.52395229996182;142.52395229996182;None;9;0;142.52395229996182;None;144.02433110005222;None;['7'];[0.3817245999816805];144.02433110005222;None;0.4661570000462234;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;147.02471700008027;None;149.01565199997276;149.30826630000956;149.30826630000956;149.31651390017942;149.31651390017942;149.3574188000057;149.3574188000057;None;None;0;149.3574188000057;None;150.85759280016646;None;['9'];[0.4444387999828905];150.85759280016646;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;153.85818810015917;None;155.04912950005382;155.34178650006652;155.34178650006652;155.49166040006094;155.49166040006094;155.53245549998246;155.53245549998246;None;7;1;155.53245549998246;None;157.03251500008628;None;['7'];[0.39754340006038547];157.03251500008628;None;0.7136258999817073;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;160.03333710017614;None;161.4784423999954;161.76743240002543;161.76743240002543;161.79175149998628;161.79175149998628;161.83262730017304;161.83262730017304;None;9;1;161.83262730017304;None;163.33289159997366;None;['8'];[0.9130293000489473];163.33289159997366;None;1.2213259998243302;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;166.3329090999905;None;168.115831800038;168.40915019996464;168.40915019996464;168.4333801001776;168.4333801001776;168.47450110013597;168.47450110013597;None;9;1;168.47450110013597;None;169.97455910011195;None;['7'];[0.43151569995097816];169.97455910011195;None;0.5076690998394042;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;172.97545350017026;None;174.4305867999792;174.72568290005438;174.72568290005438;174.75033159996383;174.75033159996383;174.791173200123;174.791173200123;None;None;0;174.791173200123;None;176.29124579997733;None;None;;176.29124579997733;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
