Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;417.9591247001663;None;419.9587612003088;420.25115620018914;420.25115620018914;420.25931430002674;420.25931430002674;420.29998560016975;420.29998560016975;None;None;0;;420.29998560016975;None;421.80006420006976;None;['9'];[0.3656431999988854];421.80006420006976;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;424.8004509001039;None;426.8145649000071;427.10990240005776;427.10990240005776;427.2594264000654;427.2594264000654;427.3002137001604;427.3002137001604;None;8;1;0.465455399826169;427.3002137001604;None;428.80031650001183;None;['7'];[0.3013087003491819];428.80031650001183;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;431.80178290000185;None;433.7988699004054;434.0930071002804;434.0930071002804;434.10117420041934;434.10117420041934;434.1420410000719;434.1420410000719;None;None;0;;434.1420410000719;None;435.6422212002799;None;['9'];[0.48335180012509227];435.6422212002799;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;438.64279830036685;None;440.3181726001203;440.610170900356;440.610170900356;440.6346971001476;440.6346971001476;440.6754196002148;440.6754196002148;None;9;0;0.5622568000108004;440.6754196002148;None;442.175363200251;None;['8'];[0.25434349989518523];442.175363200251;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;445.17627930035815;None;446.44052470009774;446.73482330003753;446.73482330003753;446.88471440039575;446.88471440039575;446.9256771001965;446.9256771001965;None;9;0;0.49583370005711913;446.9256771001965;None;448.42557810014114;None;['7'];[0.2680927999317646];448.42557810014114;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;451.4259610003792;None;453.42442430043593;453.7182078002952;453.7182078002952;453.7265392001718;453.7265392001718;453.7674879003316;453.7674879003316;None;None;0;;453.7674879003316;None;455.2674665004015;None;['9'];[0.37804089998826385];455.2674665004015;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;458.2682931004092;None;459.46556200040504;459.7601585001685;459.7601585001685;459.91018940042704;459.91018940042704;459.9509680001065;459.9509680001065;None;7;1;0.862587200012058;459.9509680001065;None;461.4509412003681;None;['7'];[0.6346888998523355];461.4509412003681;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;464.4511446002871;None;465.9089701003395;466.2026037001051;466.2026037001051;466.22685920028016;466.22685920028016;466.2677498999983;466.2677498999983;None;8;0;0.5697786998935044;466.2677498999983;None;467.76782640023157;None;['8'];[0.25366410007700324];467.76782640023157;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;470.768592200242;None;472.55087590031326;472.84368780022487;472.84368780022487;472.86846520006657;472.86846520006657;472.90954950032756;472.90954950032756;None;9;1;0.5039543001912534;472.90954950032756;None;474.4100585002452;None;['7'];[0.27558570029214025];474.4100585002452;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;477.41048160009086;None;478.8714892002754;479.16056780004874;479.16056780004874;479.1854662001133;479.1854662001133;479.226309500169;479.226309500169;None;None;0;;479.226309500169;None;480.72635370027274;None;['9'];[0.9112813998945057];480.72635370027274;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;483.72709880024195;None;485.7378374002874;486.0276913000271;486.0276913000271;486.0522058000788;486.0522058000788;486.0931051000953;486.0931051000953;None;8;0;0.6244433000683784;486.0931051000953;None;487.5932463002391;None;['8'];[0.2283166996203363];487.5932463002391;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;490.5932849003002;None;492.4462732002139;492.7360995002091;492.7360995002091;492.88570890016854;492.88570890016854;492.9265415002592;492.9265415002592;None;8;0;0.3910419000312686;492.9265415002592;None;494.4266121000983;None;['7'];[0.39503859961405396];494.4266121000983;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;497.4279539003037;None;498.9015120002441;499.1942901001312;499.1942901001312;499.219015000388;499.219015000388;499.2600426003337;499.2600426003337;None;9;0;0.585589500144124;499.2600426003337;None;500.7602265002206;None;['7'];[0.31734889978542924];500.7602265002206;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;503.76095060026273;None;504.9001325001009;505.1942420001142;505.1942420001142;505.3442979003303;505.3442979003303;505.3850868004374;505.3850868004374;None;9;0;0.3564618001691997;505.3850868004374;None;506.88543880032375;None;['7'];[0.22420179983600974];506.88543880032375;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;509.88572140038013;None;511.0223747002892;511.31160600017756;511.31160600017756;511.32772050006315;511.32772050006315;511.36880760034546;511.36880760034546;None;8;0;0.6367114996537566;511.36880760034546;None;512.8687822003849;None;['8'];[0.21686050016433];512.8687822003849;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
