Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;028_y_f_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;230;block3_Pilot_2;28;n_s;n_s_weak;;;;;0;2;2;2;0;76;76;76;;;;;;;;;2173.9913792000007;None;2175.9296220000006;2176.2258352;2176.2258352;2176.2421504000004;2176.2421504000004;2176.2828525000004;2176.2828525000004;None;8;0;0.6247080000002825;2176.2828525000004;None;2177.7830697;None;['7'];[0.4604322000004686];2177.7830697;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;027_o_m_h_a.jpg;happy;9;21;f;021_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;194;block3_Pilot_2;27;h_s;h_s_weak;;;;;0;2;2;2;0;77;77;77;;;;;;;;;2180.7837523;None;2182.420556;2182.7095255000004;2182.7095255000004;2182.7253815000004;2182.7253815000004;2182.7664842000004;2182.7664842000004;None;None;0;;2182.7664842000004;None;2184.2665941000005;None;['9'];[0.45692830000007234];2184.2665941000005;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;033_o_m_s_a.jpg;sad;7;19;f;019_m_f_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;18;129;block3_Pilot_2;33;s_h;s_h_strong;;;;;0;2;2;2;0;78;78;78;;;;;;;;;2187.2666841;None;2188.3496966000002;2188.6424502;2188.6424502;2188.792265;2188.792265;2188.8332179;2188.8332179;None;8;0;0.6984000000002197;2188.8332179;None;2190.3331745000005;None;['7'];[0.3743515000005573];2190.3331745000005;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;021_o_f_n_a.jpg;neutral;8;16;m;016_y_m_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;1;238;block3_Pilot_2;21;n_s;n_s_strong;;;;;0;2;2;2;0;79;79;79;;;;;;;;;2193.3334876;None;2195.3615564;2195.6514777;2195.6514777;2195.6589846000006;2195.6589846000006;2195.6998427;2195.6998427;None;None;0;;2195.6998427;None;2197.2000561000004;None;['9'];[0.4196073000002798];2197.2000561000004;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;013_y_m_s_a.jpg;sad;7;21;f;021_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;18;230;block3_Pilot_2;13;s_n;s_n_strong;;;;;0;2;2;2;0;80;80;80;;;;;;;;;2200.2009952;None;2202.1260557000005;2202.4177071000004;2202.4177071000004;2202.5675710000005;2202.5675710000005;2202.6084659;2202.6084659;None;8;1;1.09914420000041;2202.6084659;None;2204.1085080000003;None;['7'];[0.478889099999833];2204.1085080000003;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;008_y_m_h_a.jpg;happy;9;30;f;030_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;173;block3_Pilot_2;8;h_h;h_h_weak;;;;;0;2;2;2;0;81;81;81;;;;;;;;;2207.108623;None;2208.5591457;2208.8513583000004;2208.8513583000004;2208.8677209000007;2208.8677209000007;2208.9085347;2208.9085347;None;9;1;0.631082900000365;2208.9085347;None;2210.4085162;None;['8'];[0.36297840000042925];2210.4085162;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;019_m_f_s_a.jpg;sad;7;30;f;030_o_f_s_a.jpg;sad;congruent;7;match;;130;160;;18;174;block3_Pilot_2;19;s_s;s_s_weak;;;;;0;2;2;2;0;82;82;82;;;;;;;;;2213.4095262;None;2214.9098190000004;2215.2018713000007;2215.2018713000007;2215.3512395000007;2215.3512395000007;2215.3919461000005;2215.3919461000005;None;7;1;0.5076520000002347;2215.3919461000005;None;2216.8920583;None;['7'];[0.3675143999998909];2216.8920583;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;004_o_m_n_a.jpg;neutral;8;12;f;012_o_f_n_a.jpg;neutral;congruent;8;mismatch;;140;170;;1;238;block3_Pilot_2;4;n_n;n_n_weak;;;;;0;2;2;2;0;83;83;83;;;;;;;;;2219.8922731000002;None;2221.8988574000005;2222.1937541000007;2222.1937541000007;2222.2013421;2222.2013421;2222.2422207;2222.2422207;None;None;0;;2222.2422207;None;2223.7423424;None;['9'];[0.3972754000005807];2223.7423424;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;027_o_m_s_a.jpg;sad;7;19;f;019_m_f_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;238;block3_Pilot_2;27;s_s;s_s_weak;;;;;0;2;2;2;0;84;84;84;;;;;;;;;2226.7423582;None;2228.7343872;2229.0267309;2229.0267309;2229.1765811000005;2229.1765811000005;2229.2172824;2229.2172824;None;7;1;0.5943753000001379;2229.2172824;None;2230.7176292000004;None;['7'];[0.4060084000002462];2230.7176292000004;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;028_y_f_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block3_Pilot_2;28;h_s;h_s_strong;;;;;0;2;2;2;0;85;85;85;;;;;;;;;2233.7183919;None;2235.7103607;2236.0018175000005;2236.0018175000005;2236.009948;2236.009948;2236.0507896;2236.0507896;None;None;0;;2236.0507896;None;2237.5522351;None;['9'];[0.4594140999997762];2237.5522351;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;033_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block3_Pilot_2;33;h_n;h_n_strong;;;;;0;2;2;2;0;86;86;86;;;;;;;;;2240.5510161;None;2242.5602265000007;2242.8520371000004;2242.8520371000004;2243.0019685000007;2243.0019685000007;2243.0422799000007;2243.0422799000007;None;9;0;0.4252464000001055;2243.0422799000007;None;2244.5436071000004;None;['7'];[0.3880005999999412];2244.5436071000004;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;18;238;block3_Pilot_2;21;n_h;n_h_weak;;;;;0;2;2;2;0;87;87;87;;;;;;;;;2247.5433085000004;None;2249.5933633000004;2249.8859687000004;2249.8859687000004;2250.0354063000004;2250.0354063000004;2250.0761502000005;2250.0761502000005;None;8;0;0.5352754999994431;2250.0761502000005;None;2251.5770305000005;None;['7'];[0.7704014000000825];2251.5770305000005;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;008_y_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;1;238;block3_Pilot_2;8;h_h;h_h_weak;;;;;0;2;2;2;0;88;88;88;;;;;;;;;2254.5762352;None;2256.5704419000003;2256.8605350000007;2256.8605350000007;2256.8685439;2256.8685439;2256.9097056;2256.9097056;None;None;0;;2256.9097056;None;2258.4095955000003;None;['9'];[0.37805870000011055];2258.4095955000003;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;016_y_m_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;mismatch;;140;150;;1;238;block3_Pilot_2;16;n_h;n_h_weak;;;;;0;2;2;2;0;89;89;89;;;;;;;;;2261.4100382000006;None;2263.4443816000003;2263.7359937;2263.7359937;2263.7437389000006;2263.7437389000006;2263.7848049000004;2263.7848049000004;None;None;0;;2263.7848049000004;None;2265.2848978;None;['9'];[0.3666057999998884];2265.2848978;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;012_o_f_n_a.jpg;neutral;8;13;m;013_y_m_n_a.jpg;neutral;congruent;8;mismatch;;140;170;;3;234;block3_Pilot_2;12;n_n;n_n_weak;;;;;0;2;2;2;0;90;90;90;;;;;;;;;2268.2850871;None;2270.2562838000003;2270.5531351;2270.5531351;2270.5775212;2270.5775212;2270.6181703;2270.6181703;None;8;1;0.8574073999998291;2270.6181703;None;2272.1183112;None;['8'];[0.35728179999932763];2272.1183112;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;019_m_f_s_a.jpg;sad;7;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;130;150;;18;238;block3_Pilot_2;19;s_h;s_h_strong;;;;;0;2;2;2;0;91;91;91;;;;;;;;;2275.1188433000007;None;2277.1229366000007;2277.4197707000003;2277.4197707000003;2277.5691602000006;2277.5691602000006;2277.6099462;2277.6099462;None;7;0;0.6174176000004081;2277.6099462;None;2279.1099529000003;None;['7'];[0.357717999999295];2279.1099529000003;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;012_o_f_n_a.jpg;neutral;8;13;m;013_y_m_h_a.jpg;happy;incongruent;9;mismatch;;140;150;;1;238;block3_Pilot_2;12;n_h;n_h_weak;;;;;0;2;2;2;0;92;92;92;;;;;;;;;2282.1108010000007;None;2284.1137227;2284.4033698000003;2284.4033698000003;2284.4109319;2284.4109319;2284.4518945;2284.4518945;None;None;0;;2284.4518945;None;2285.9519693;None;['9'];[0.3156000999997559];2285.9519693;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;027_o_m_h_a.jpg;happy;9;8;m;008_y_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;2;165;block3_Pilot_2;27;h_n;h_n_weak;;;;;0;2;2;2;0;93;93;93;;;;;;;;;2288.9526061000006;None;2290.3464149;2290.6367437;2290.6367437;2290.6526998;2290.6526998;2290.6935767000004;2290.6935767000004;None;9;0;0.8378578000001653;2290.6935767000004;None;2292.1937247000005;None;['8'];[0.2579755999995541];2292.1937247000005;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;198;block3_Pilot_2;8;h_n;h_n_strong;;;;;0;2;2;2;0;94;94;94;;;;;;;;;2295.1939009000007;None;2296.8625964000003;2297.1530209000002;2297.1530209000002;2297.3029037000006;2297.3029037000006;2297.3437832;2297.3437832;None;9;0;0.36384170000019367;2297.3437832;None;2298.8437650000005;None;['7'];[0.2718199999999342];2298.8437650000005;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;019_m_f_h_a.jpg;happy;9;21;f;021_o_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;3;196;block3_Pilot_2;19;h_n;h_n_weak;;;;;0;2;2;2;0;95;95;95;;;;;;;;;2301.8451678;None;2303.486068;2303.7782029;2303.7782029;2303.8029951;2303.8029951;2303.8439204000006;2303.8439204000006;None;9;0;0.5036819999995714;2303.8439204000006;None;2305.3442402;None;['7'];[0.32333830000061425];2305.3442402;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;013_y_m_h_a.jpg;happy;9;40;f;040_y_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;222;block3_Pilot_2;13;h_h;h_h_weak;;;;;0;2;2;2;0;96;96;96;;;;;;;;;2308.3445341000006;None;2310.2446442;2310.537066;2310.537066;2310.5616092;2310.5616092;2310.6023927000006;2310.6023927000006;None;9;1;0.5052106000002823;2310.6023927000006;None;2312.1026023000004;None;['7'];[0.32497520000015356];2312.1026023000004;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;028_y_f_h_a.jpg;happy;9;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;156;block3_Pilot_2;28;h_n;h_n_strong;;;;;0;2;2;2;0;97;97;97;;;;;;;;;2315.1025618000003;None;2316.4129793;2316.7035314000004;2316.7035314000004;2316.7283370000005;2316.7283370000005;2316.7691122000006;2316.7691122000006;None;9;0;0.5383808000005956;2316.7691122000006;None;2318.2693094000006;None;['7'];[0.40638359999957174];2318.2693094000006;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;028_y_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;1;238;block3_Pilot_2;28;h_h;h_h_weak;;;;;0;2;2;2;0;98;98;98;;;;;;;;;2321.2691898000003;None;2323.2617854;2323.5536632000003;2323.5536632000003;2323.5618055000004;2323.5618055000004;2323.6025761;2323.6025761;None;None;0;;2323.6025761;None;2325.1024193000003;None;['9'];[0.3331129999996847];2325.1024193000003;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;030_o_f_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;match;;120;160;;2;168;block3_Pilot_2;30;h_s;h_s_strong;;;;;0;2;2;2;0;99;99;99;;;;;;;;;2328.1034136;None;2329.5361174;2329.8293456;2329.8293456;2329.8451675000006;2329.8451675000006;2329.8861152;2329.8861152;None;9;0;0.5974894999999378;2329.8861152;None;2331.3860819;None;['8'];[0.3774757999999565];2331.3860819;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
