Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157.94186850000006;162.91101959999833;162.91101959999833;None;space;14.328270700001667;157.94186850000006;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;172.30039419999957;None;173.56421769999906;173.87197719999858;173.87197719999858;173.90336659999957;173.90336659999957;173.93629449999935;173.93629449999935;None;None;0;173.93629449999935;None;175.43638889999966;None;"['7', '7']";"[0.17762539999966975, 2.7218255999996472]";175.43638889999966;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;178.43561969999973;None;180.08231179999893;180.37783729999865;180.37783729999865;180.52741979999882;180.52741979999882;180.56812309999987;180.56812309999987;None;9;0;180.56812309999987;None;182.06829679999828;None;['7'];[1.5458798999989085];182.06829679999828;None;1.0861773000015091;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;185.068491;None;186.20708339999874;186.5029115999987;186.5029115999987;186.65247959999942;186.65247959999942;186.69334629999867;186.69334629999867;None;None;0;186.69334629999867;None;188.19344920000003;None;None;;188.19344920000003;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;192.2264013999993;None;194.22943069999928;194.5194036999983;194.5194036999983;194.66927959999884;194.66927959999884;194.71013719999974;194.71013719999974;None;9;0;194.71013719999974;None;196.21108829999866;None;['7'];[0.7871410000007018];196.21108829999866;None;1.048063700000057;191.19413059999897;None;None;None;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;199.21102289999908;None;201.0844776999984;201.3782253999998;201.3782253999998;201.39449759999843;201.39449759999843;201.43528669999978;201.43528669999978;None;9;1;201.43528669999978;None;202.93534829999953;None;['8'];[1.4548673999997845];202.93534829999953;None;1.2509370000007038;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;205.93642909999835;None;207.1110117999997;207.4030659;207.4030659;207.41955929999858;207.41955929999858;207.46038950000002;207.46038950000002;None;None;0;207.46038950000002;None;208.96067269999912;None;['8'];[1.9334222999987105];208.96067269999912;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;211.96119199999885;None;213.60173319999922;213.8951737999996;213.8951737999996;213.9113140999998;213.9113140999998;213.95207969999865;213.95207969999865;None;8;0;213.95207969999865;None;215.45236359999944;None;['8'];[0.5618919000007736];215.45236359999944;None;1.2940785999999207;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;218.45375199999944;None;219.75493859999915;220.04490169999917;220.04490169999917;220.0697833999984;220.0697833999984;220.11057719999917;220.11057719999917;None;None;0;220.11057719999917;None;221.61092089999875;None;"['7', '8']";"[0.051202099999500206, 1.0670609000007971]";221.61092089999875;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;224.6108482999989;None;226.41963209999994;226.7116274;226.7116274;226.72830459999932;226.72830459999932;226.76922119999836;226.76922119999836;None;9;1;226.76922119999836;None;228.2691520999997;None;['8'];[0.7690067000003182];228.2691520999997;None;0.7649803000003885;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;231.27022429999852;None;233.26036879999992;233.5538592999983;233.5538592999983;233.56178409999848;233.56178409999848;233.60251619999872;233.60251619999872;None;None;0;233.60251619999872;None;235.1025551999992;None;['8'];[1.1516363999999157];235.1025551999992;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;238.1027809999996;None;240.1334186999993;240.42901339999844;240.42901339999844;240.57843460000004;240.57843460000004;240.6193895999986;240.6193895999986;None;None;0;240.6193895999986;None;242.11944119999862;None;['7'];[1.478747299999668];242.11944119999862;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;245.1202988999994;None;247.11286719999953;247.4037475999994;247.4037475999994;247.41206909999892;247.41206909999892;247.4530410999996;247.4530410999996;None;None;0;247.4530410999996;None;248.9529765999996;None;['9'];[1.3012524000005214];248.9529765999996;None;;;;;;;;Emoconpilot043;2022_Jan_07_1453;BackwardMask;2020.2.8;120.04571340811813;
