Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213.53257609996945;218.50104700005613;218.50104700005613;None;7;19.910748399910517;213.53257609996945;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;233.50959040003363;None;234.78391770005692;235.09543290000875;235.09543290000875;235.1256832999643;235.1256832999643;235.15954600006808;235.15954600006808;None;None;0;235.15954600006808;None;236.65933100006077;None;"['8', '7']";"[0.26395319995936006, 1.688031299971044]";236.65933100006077;None;;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;239.65876759996172;None;241.3111311000539;241.60097050003242;241.60097050003242;241.75043090002146;241.75043090002146;241.7914534000447;241.7914534000447;None;None;0;241.7914534000447;None;243.29137310001533;None;"['9', '8']";"[0.0798058999935165, 0.7279791999608278]";243.29137310001533;None;;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;246.2914926999947;None;247.4378155999584;247.73456859996077;247.73456859996077;247.8839628000278;247.8839628000278;247.92488489998505;247.92488489998505;None;8;1;247.92488489998505;None;249.42486090003513;None;['7'];[0.39431430003605783];249.42486090003513;None;0.8623462000396103;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;253.47137260006275;None;255.47185219998937;255.76780210004654;255.76780210004654;255.9173129000701;255.9173129000701;255.95827850000933;255.95827850000933;None;9;0;255.95827850000933;None;257.45922770001926;None;['7'];[0.6560644999844953];257.45922770001926;None;1.0450509999645874;252.42526569997426;None;None;None;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;260.4592849999899;None;262.34469090006314;262.6348711999599;262.6348711999599;262.65086549997795;262.65086549997795;262.69184390001465;262.69184390001465;None;None;0;262.69184390001465;None;264.19208730000537;None;['9'];[1.7950545999919996];264.19208730000537;None;;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;267.19207099999767;None;268.3756140000187;268.6679206000408;268.6679206000408;268.6845575000625;268.6845575000625;268.7252567000687;268.7252567000687;None;9;1;268.7252567000687;None;270.2253745000344;None;['8'];[0.9778830000432208];270.2253745000344;None;1.4218964000465348;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;273.2263301999774;None;274.8591093000723;275.15185050002765;275.15185050002765;275.16782400000375;275.16782400000375;275.20865000004414;275.20865000004414;None;9;1;275.20865000004414;None;276.70875350001734;None;['8'];[0.4784802000503987];276.70875350001734;None;1.354364699916914;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;279.7095413999632;None;281.01780230004806;281.3099410000723;281.3099410000723;281.33467170002405;281.33467170002405;281.37570360000245;281.37570360000245;None;None;0;281.37570360000245;None;282.8756934000412;None;['7'];[0.2713827999541536];282.8756934000412;None;;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;285.87636230001226;None;287.6855137000093;287.97665500000585;287.97665500000585;287.9932048000628;287.9932048000628;288.03410230006557;288.03410230006557;None;9;1;288.03410230006557;None;289.5341681999853;None;['7'];[2.4129254000727087];289.5341681999853;None;1.43307259993162;;;;;;;Emoconpilot048;2022_Jan_19_1237;BackwardMask;2020.2.8;120.44260236807746;
