Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;342.471833900001;None;344.466713400001;344.7560489999996;344.7560489999996;344.76404209999964;344.76404209999964;344.80512799999997;344.80512799999997;None;None;0;344.80512799999997;None;346.3049952000001;None;['9'];[0.7194677000006777];346.3049952000001;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;349.3056581000001;None;351.42129229999955;351.71497980000095;351.71497980000095;351.86412949999976;351.86412949999976;351.9049259000003;351.9049259000003;None;8;1;351.9049259000003;None;353.40654220000033;None;['7'];[0.8260290999987774];353.40654220000033;None;;;;;1.2473605999985011;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;356.40541870000015;None;358.4006212000004;358.6896321000004;358.6896321000004;358.69788400000107;358.69788400000107;358.7387279000013;358.7387279000013;None;None;0;358.7387279000013;None;360.2393466000012;None;['9'];[0.7051912999995693];360.2393466000012;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;363.2387995000008;None;364.9138175999997;365.2066969000007;365.2066969000007;365.2313052999998;365.2313052999998;365.2720468999996;365.2720468999996;None;9;0;365.2720468999996;None;366.77215740000065;None;['7'];[0.6042311000001064];366.77215740000065;None;;;;;1.104278599999816;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;369.77333440000075;None;371.03407160000097;371.32327740000073;371.32327740000073;371.4729563000001;371.4729563000001;371.51399560000027;371.51399560000027;None;9;0;371.51399560000027;None;373.01404080000066;None;['7'];[1.618446500000573];373.01404080000066;None;;;;;1.3665065999994113;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;376.0150637000006;None;378.0082308000001;378.29841529999976;378.29841529999976;378.3067234000009;378.3067234000009;378.3474898000004;378.3474898000004;None;None;0;378.3474898000004;None;379.8474962;None;['9'];[0.48091759999988426];379.8474962;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;382.8481601000003;None;384.04276740000023;384.3319423000012;384.3319423000012;384.4816533000012;384.4816533000012;384.5224936000013;384.5224936000013;None;7;1;384.5224936000013;None;386.0225054000002;None;['7'];[1.705850799999098];386.0225054000002;None;;;;;1.189962899999955;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;389.0235541000002;None;390.47438669999974;390.76578640000116;390.76578640000116;390.790222900001;390.790222900001;390.8310407000008;390.8310407000008;None;None;0;390.8310407000008;None;392.3311558000005;None;"['8', '8']";"[0.021287500001562876, 1.1412734000005003]";392.3311558000005;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;395.3319646;None;397.11445170000115;397.4073248000004;397.4073248000004;397.43197500000133;397.43197500000133;397.4727703999997;397.4727703999997;None;9;1;397.4727703999997;None;398.97297360000084;None;['8'];[0.8594358000009379];398.97297360000084;None;;;;;1.4077118999994127;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;401.9738156000003;None;403.4348332999998;403.7239361000011;403.7239361000011;403.7487507000005;403.7487507000005;403.78948930000115;403.78948930000115;None;None;0;403.78948930000115;None;405.29041940000025;None;"['9', '8']";"[0.014032600000064122, 0.7100459000012052]";405.29041940000025;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;408.29045080000105;None;410.3132053999998;410.60776910000095;410.60776910000095;410.6322517999997;410.6322517999997;410.6731036000001;410.6731036000001;None;8;0;410.6731036000001;None;412.1731553000009;None;['8'];[0.5393246000003273];412.1731553000009;None;;;;;1.0153477999992901;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;415.17420909999964;None;417.02151120000053;417.3163295000013;417.3163295000013;417.46564390000094;417.46564390000094;417.50654209999993;417.50654209999993;None;8;0;417.50654209999993;None;419.00647560000107;None;['7'];[1.1539150999997219];419.00647560000107;None;;;;;0.8858782999996038;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;422.0075906000002;None;423.48176290000083;423.7744197000011;423.7744197000011;423.79920090000087;423.79920090000087;423.84001030000036;423.84001030000036;None;9;0;423.84001030000036;None;425.3399975000011;None;['8'];[0.7164668000004895];425.3399975000011;None;;;;;1.0964425000001938;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;428.341112600001;None;429.48108390000016;429.7743205000006;429.7743205000006;429.92427230000067;429.92427230000067;429.9651752999998;429.9651752999998;None;9;0;429.9651752999998;None;431.4651878000004;None;['7'];[0.45511160000023665];431.4651878000004;None;;;;;1.1232085999999981;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;434.46597570000085;None;435.6099226000006;435.9000735999998;435.9000735999998;435.91602740000053;435.91602740000053;435.95691389999956;435.95691389999956;None;None;0;435.95691389999956;None;437.45700729999953;None;['9'];[0.5354601999988517];437.45700729999953;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;440.45706319999954;None;441.92324259999987;442.2164079000013;442.2164079000013;442.23285100000066;442.23285100000066;442.2736703999999;442.2736703999999;None;None;0;442.2736703999999;None;443.77359140000044;None;"['9', '8']";"[0.09889159999875119, 0.674773799999457]";443.77359140000044;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;446.77485979999983;None;448.40922649999993;448.70026880000114;448.70026880000114;448.71630670000013;448.71630670000013;448.7571633000007;448.7571633000007;None;9;0;448.7571633000007;None;450.2575016999999;None;['8'];[0.41493850000006205];450.2575016999999;None;;;;;1.043310000000929;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;453.2583059999997;None;454.3219473999998;454.6166505000001;454.6166505000001;454.63321560000077;454.63321560000077;454.67389580000054;454.67389580000054;None;9;0;454.67389580000054;None;456.17419300000074;None;['8'];[0.5222530999999435];456.17419300000074;None;;;;;1.4225495999999112;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;459.1741103000004;None;460.4183544999996;460.7087736000012;460.7087736000012;460.73322870000084;460.73322870000084;460.774179;460.774179;None;9;0;460.774179;None;462.2741696000012;None;['8'];[0.5742687000001752];462.2741696000012;None;;;;;0.8262776999999915;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;465.2749014000001;None;466.3980343000003;466.69201650000105;466.69201650000105;466.7164891000011;466.7164891000011;466.7572519000005;466.7572519000005;None;8;1;466.7572519000005;None;468.2574263000006;None;['8'];[0.5510589999994409];468.2574263000006;None;;;;;1.0591038999991724;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;471.2585020000006;None;472.3013234000009;472.59241830000065;472.59241830000065;472.6085485000003;472.6085485000003;472.64945500000067;472.64945500000067;None;None;0;472.64945500000067;None;474.1492011999999;None;['9'];[0.6192931000005046];474.1492011999999;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;477.15107660000103;None;478.4868391;478.77532770000107;478.77532770000107;478.80028669999956;478.80028669999956;478.8409926000004;478.8409926000004;None;None;0;478.8409926000004;None;480.3413192000007;None;['9'];[0.6031768000011652];480.3413192000007;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;483.3422726000008;None;484.7407488000008;485.0338088999997;485.0338088999997;485.1837078000008;485.1837078000008;485.22471080000105;485.22471080000105;None;7;1;485.22471080000105;None;486.72520260000056;None;['7'];[0.7391552000008232];486.72520260000056;None;;;;;1.2476557000009052;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;489.72477210000034;None;491.30893240000114;491.6010201000008;491.6010201000008;491.6172161000013;491.6172161000013;491.65801509999983;491.65801509999983;None;8;0;491.65801509999983;None;493.1581075000013;None;['7'];[0.9143401000001177];493.1581075000013;None;;;;;0.8785227999997005;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;496.15852280000036;None;497.75128010000117;498.04292329999953;498.04292329999953;498.05913710000095;498.05913710000095;498.10000200000104;498.10000200000104;None;None;0;498.10000200000104;None;499.59982780000064;None;['9'];[0.3445551000004343];499.59982780000064;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;012_o_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;162;block1_Pilot_2;12;s_n;s_n_strong;;;;;0;0;0;0;0;31;31;31;;;;;;;;;502.6007798999999;None;503.95395550000103;504.2508120000002;504.2508120000002;504.2757609;504.2757609;504.3166653999997;504.3166653999997;None;None;0;504.3166653999997;None;505.81671350000033;None;['9'];[0.5517539000011311];505.81671350000033;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
