name;number of reactions;number of correct answers;total trials;happy;sad;neutral;8ms;16ms;25ms;141ms;8ms happy;8ms sad;8ms neutral;16ms happy;16ms sad;16ms neutral;25ms happy;25ms sad;25ms neutral;141ms happy;141ms sad;141ms neutral;study_number
9;355;275;0.614725283;0.530138672;0.707916862;0.607492693;0.630402443;0.712564533;0.73695419;0.538163368;0.595016673;0.685709769;0.625564705;0.6830267;0.747068871;0.697759048;0.657138242;0.840142543;0.717617831;0.42836509;0.653856562;0.535810765;study1
24;358;262;0.545579561;0.518502705;0.585935155;0.532411478;0.528851417;0.62543539;0.709805385;0.470614489;0.558947864;0.533505518;0.496400529;0.624624275;0.642686614;0.616770204;0.6478186;0.737090004;0.748067225;0.437349143;0.534026783;0.449925697;study1
3;302;244;0.815299526;0.707192995;0.857951095;0.903755878;0.850246329;0.922878084;0.982896202;0.731992315;0.751284767;0.808328733;0.934576024;0.803595433;1.145157837;0.968296687;0.90559071;1.073612424;1.0032061;0.602627452;0.755413033;0.864554426;study1
14;219;203;0.620806959;0.588571611;0.713628121;0.589343895;1.0738975;0.82796365;0.77476023;0.57148683;1.0738975;0;0;0.6635529;0.965089633;1.129266333;0.68084058;1.055409112;0.70140062;0.540529716;0.636102956;0.555804649;study1
22;310;251;0.855084014;0.767528654;0.88596691;0.909396857;1.111849665;1.071575525;0.98474003;0.703530727;1.117286329;1.118873625;1.101654317;0.9834257;1.119932553;1.107810744;0.860953785;0.992772837;1.115140028;0.62982079;0.720242417;0.758821631;study1
6;352;253;0.557212314;0.485520623;0.622988294;0.563740776;0.647654428;0.650955661;0.648863489;0.465271966;0.64114035;0.597901829;0.709501068;0.535959433;0.764512922;0.669500165;0.557302685;0.686632306;0.7094623;0.387147802;0.570217965;0.43402311;study1
2;352;290;0.658802929;0.546262532;0.742573036;0.688535103;0.73234148;0.808106311;0.756264398;0.555151297;0.708464283;0.68137183;0.801350171;0.67941745;0.886724126;0.871638;0.611276638;0.84521605;0.82844506;0.428499378;0.686532688;0.548195022;study1
4;281;230;0.706519403;0.600343215;0.792680799;0.743819963;0.991608375;0.97645235;0.81131924;0.593584226;0.970410533;1.0552019;0;0.887224325;1.005482027;1.023700124;0.703698122;0.930543907;0.821948536;0.484024937;0.690412537;0.625662617;study1
8;355;302;0.608794449;0.511473529;0.697743358;0.617309572;0.89491824;0.745684437;0.632197702;0.464083571;0.777816894;0.951437714;0.92925387;0.616396505;0.815701465;0.798441987;0.531269291;0.710858505;0.676829473;0.401468072;0.570938568;0.41939815;study1
18;333;259;0.806904055;0.818265998;0.858808215;0.744733687;0.846506818;0.856325209;0.837233416;0.766938016;0.889187983;0.854480355;0.787526894;0.822166105;0.932011229;0.84010921;0.891118186;0.865051305;0.72470422;0.763694413;0.83852954;0.708727389;study1
15;294;269;0.675374844;0.546077563;0.711368032;0.793024157;0.958110444;0.838013518;0.769474735;0.586927139;0.8508046;0.850058533;1.0928023;0.703865785;0.818557235;0.936807676;0.652782989;0.865472905;0.785738629;0.48416677;0.626674908;0.702030547;study1
7;234;196;0.85917993;0.795174851;0.949264852;0.855265458;1.133894971;0.962330984;0.934822133;0.804452462;1.0562768;0;1.237385867;0.974995;1.00242835;0.9083032;0.927802495;1.04098216;0.913132833;0.688099713;0.929848743;0.799788898;study1
20;330;278;0.700178535;0.589154305;0.768726146;0.753021075;0.908508378;0.802412544;0.764842022;0.583659972;0.884426719;0.906603545;0.932030778;0.687895348;0.875151507;0.871738325;0.543834053;0.985102707;0.824524767;0.490207043;0.621801608;0.643691977;study1
21;354;295;0.670276262;0.596121481;0.703464445;0.711309343;0.815131115;0.777562044;0.763818197;0.556087752;0.783153155;0.80491569;0.8573245;0.65466146;0.834343936;0.849869226;0.677937288;0.856977494;0.796954353;0.464860572;0.608301804;0.578622577;study1
1;354;275;0.59438231;0.580099952;0.610428897;0.592618083;0.608246456;0.656899302;0.720882251;0.527665801;0.68587851;0.540276926;0.593734233;0.63090446;0.6987632;0.6503808;0.672965532;0.847331432;0.616912011;0.497115081;0.523669598;0.562348186;study1
