trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,253.16723209999964,256.15679768999945,256.16145119999965,262.2050830899996,None,256.16145119999965,262.2050830899996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
,,,,,,,,,,,,,,,,,,,262.20879650000006,265.7159394899998,a,3.4992622999998275,262.20879650000006,265.7159394899998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,265.7234996999996,266.0152557899999,266.24209379999957,266.26802968999965,266.2725743000001,266.30780898999984,266.3081755000003,267.7195457899996,a,1,1.399509300000318,1399.509300000318,266.3081755000003,267.7195457899996,267.7236482999997,269.54852938999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,269.55055470000025,269.8485375899998,270.0499096000003,270.0770746899996,270.07791819999966,270.11427498999984,270.1140399999995,270.9647988899995,s,0,0.8418277000000671,841.8277000000671,270.1140399999995,270.9647988899995,270.9696543,272.0152568900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,272.01671220000026,272.3153477899994,272.5095369999999,272.6684161900001,272.6712368999997,272.71247638999995,272.7154187999995,273.2594755899998,s,1,0.5283228999996936,528.3228999996936,272.7154187999995,273.2594755899998,273.26200659999995,274.7320679900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,274.7334222999998,275.03197508999966,275.2338168999995,275.2600740899996,275.2603988999999,275.2952233899994,275.29564690000007,276.02768258999987,d,1,0.7161463000002186,716.1463000002186,275.29564690000007,276.02768258999987,276.0288568999995,277.36541028999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,277.3672749999996,277.66518308999986,277.86799189999965,278.0214158899997,278.0217455000002,278.05796898999944,278.05789559999994,278.6238655899995,s,1,0.5536655999994764,553.6655999994764,278.05789559999994,278.6238655899995,278.6247480000002,279.73224739000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.7783340999995,282.7656387899995,282.7693395999995,293.8627410899997,a,11.082427600000301,11082.427600000301,282.7693395999995,293.8627410899997,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,293.86977019999995,294.1575087899999,294.4226222999996,294.5923347899996,294.59711030000017,294.63714968999994,294.6451113000003,295.31289458999964,a,1,0.6548148000001675,654.8148000001675,294.6451113000003,295.31289458999964,295.3220355000003,296.3491506899998,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,296.3545928000003,296.6492158899999,296.84804189999977,297.0164889899996,297.02140859999963,297.0624957899998,297.0676020000001,297.74631738999943,s,1,0.6641083000004073,664.1083000004073,297.0676020000001,297.74631738999943,297.75083619999987,298.93254228999996,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,298.9369264999996,299.23248788999973,299.4597170999996,299.4867010899996,299.4904733000003,299.5272824900001,299.53081959999963,300.52435579000013,a,1,0.985138599999118,985.138599999118,299.53081959999963,300.52435579000013,300.5349927999996,302.0825314900001,EMOCONPILOT001,2020_Dec_12_1126,EmoCon_Pilot_120Hz,2020.2.4,120.07641663111632,
