trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,201.06235049990937,204.0510545899393,204.05492899985984,209.71522569006774,None,204.05492899985984,209.71522569006774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
,,,,,,,,,,,,,,,,,,,209.71914159995504,212.90156589008402,a,3.1669991000089794,209.71914159995504,212.90156589008402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,212.90552489995025,213.19271778992842,213.4328067000024,213.4581001899438,213.46264149993658,213.497154389997,213.4983294000849,215.10521278998348,None,0,213.4983294000849,215.10521278998348,215.10807679989375,216.259477489884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,216.26241800002754,216.55957328996155,216.76999489986338,216.92682648987974,216.92959730001166,216.9699096898781,216.97295630001463,217.64366849001962,d,0,216.97295630001463,217.64366849001962,217.64631680003367,219.11797108992468,0.6570824000518769,657.0824000518769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,219.12051719985902,219.4178630900802,219.62514030002058,219.65115989001933,219.65143459988758,219.6862599898828,219.68697150005028,220.74602688990998,s,1,219.68697150005028,220.74602688990998,220.74868369987234,221.85956679007504,1.0470367998350412,1047.0367998350412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,221.86073939991184,222.15956998991314,222.36049930006266,222.52018019000533,222.52258129999973,222.560224589915,222.5631361999549,223.19710388991516,a,0,222.5631361999549,223.19710388991516,223.19736459990963,224.6346179899061,0.6188513000961393,618.8513000961393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,224.63606410007924,224.93467878994997,225.1429431999568,225.16930608989205,225.16968789999373,225.2058189900359,225.2063491998706,226.76421879001427,None,0,225.2063491998706,226.76421879001427,226.76484599988908,228.5097416900331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.55259469989687,231.5432379900245,231.547699799994,234.46972038995008,a,2.906559499911964,2906.559499911964,231.547699799994,234.46972038995008,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,234.47843779996037,234.76829168994445,235.03305420000106,235.1856597899692,235.1890658000484,235.2274236900499,235.23335370002314,235.9198417898966,d,0,0.6766139999963343,676.6139999963343,235.23335370002314,235.9198417898966,235.92798729985952,237.56827169007155,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,237.57349779992364,237.86828028995077,238.07474839990027,238.23400558999273,238.23707149992697,238.2737299900269,238.2768699999433,239.95324919002596,None,0,,,238.2768699999433,239.95324919002596,239.96015860000625,241.40994338996242,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,241.41285869991407,241.70997479001525,241.94527189992368,242.1078853900777,242.11216760007665,242.15319619004148,242.15821349993348,243.05485688990447,a,1,0.8877439999487251,887.7439999487251,242.15821349993348,243.05485688990447,243.06070449994877,244.23494938996154,EMOCONPILOT021,2021_Jan_04_1612,EmoCon_Pilot_120Hz,2020.2.4,119.96074876756988,
