trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,5.0,m,027_o_m_n_a.jpg,neutral,s,1,3,787.4496224,787.7496715699999,787.9498192000001,787.9581457700001,787.9580965,787.9943460700001,787.9943374,788.77545207,s,1,0.7719858999998905,771.9858999998905,787.9943374,788.77545207,788.7790262999999,790.5248069700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,6.0,m,033_o_m_n_a.jpg,neutral,s,1,3,790.5255770000001,790.82479917,791.0280090000001,791.0363355700001,791.0368596000001,791.07326377,791.0732178999999,791.64224797,s,1,0.5570725999998558,557.0725999998558,791.0732178999999,791.64224797,791.6452392000001,793.0497374700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11.0,f,030_o_f_h_a.jpg,happy,d,17,3,793.0498153999999,793.34984347,793.5701830999999,793.7324778699999,793.7327938000001,793.76916287,793.7689458,794.21700267,d,1,0.43742599999995946,437.42599999995946,793.7689458,794.21700267,794.2203698999999,795.74135677,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,10.0,f,028_y_f_s_a.jpg,sad,a,1,3,795.7413953,796.04152447,796.0576754000001,796.0660019700001,796.0665077000001,796.10261317,796.1025366000001,796.7335950700001,s,0,0.615768700000217,615.768700000217,796.1025366000001,796.7335950700001,796.7415619000001,798.5168568700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4.0,m,016_y_m_h_a.jpg,happy,d,1,3,798.5167535,798.81654127,798.8267621,798.83508867,798.8357659999999,798.8719878700001,798.8721036,799.41377347,s,0,0.5341157999998813,534.1157999998813,798.8721036,799.41377347,799.4171200999999,800.99146567,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12.0,f,040_y_f_h_a.jpg,happy,d,17,3,800.9921420000001,801.29170037,801.3040226999999,801.43569637,801.4359283000001,801.47622247,801.4771894999999,801.8929753699999,d,1,0.4010671999999431,401.0671999999431,801.4771894999999,801.8929753699999,801.8962339,803.32496857,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4.0,m,016_y_m_s_a.jpg,sad,a,17,3,803.3252872,803.6249833700001,803.6358448999999,803.76823737,803.7684412000001,803.8095531700001,803.8087900999999,804.2087834700001,a,1,0.3894932000000608,389.4932000000608,803.8087900999999,804.2087834700001,804.212188,805.95827577,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1.0,m,004_o_m_n_a.jpg,neutral,s,17,3,805.9588248,806.2583710700001,806.7229353,806.87406037,806.8745183999999,806.91070887,806.9108561999999,807.56736327,s,1,0.6474510999998984,647.4510999998984,806.9108561999999,807.56736327,807.5705402000001,808.61680127,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,7.0,f,012_o_f_s_a.jpg,sad,a,17,3,808.6167608999999,808.9165950700001,808.9270056,809.0602883700001,809.0605376999999,809.1013196700001,809.100772,809.6091927699999,s,0,0.49750459999995655,497.50459999995655,809.100772,809.6091927699999,809.6122395,810.6918698700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3.0,m,013_y_m_s_a.jpg,sad,a,1,3,810.6922821999999,810.9918100699999,811.0021449000001,811.0104714700001,811.0107466,811.0470369699999,811.0470974,811.69220647,s,0,0.6311703000001216,631.1703000001216,811.0470974,811.69220647,811.6947121999999,812.96674807,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3.0,m,013_y_m_h_a.jpg,happy,d,1,3,812.9668730999999,813.2667113699999,813.5154646999999,813.52379127,813.524054,813.56047577,813.5604410000001,814.1759845700001,s,0,0.6058541999998397,605.8541999998397,813.5604410000001,814.1759845700001,814.1790817000001,815.5001022700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1.0,m,004_o_m_n_a.jpg,neutral,s,17,3,815.5004166000001,815.8005362700001,815.9939244,816.1555403699999,816.160474,816.2013367700001,816.2062091,816.71068457,s,1,0.4961201999999503,496.1201999999503,816.2062091,816.71068457,816.7170747,818.5088116700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,12.0,f,040_y_f_h_a.jpg,happy,d,17,3,818.5118008,818.8089228700001,818.8307419,818.9693263700001,818.9702227,819.0106159700001,819.0111440000001,819.4592280700001,d,1,0.4351122000000487,435.1122000000487,819.0111440000001,819.4592280700001,819.4616968,821.35913497,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1.0,m,004_o_m_s_a.jpg,sad,a,17,3,821.3593696,821.6586796700001,821.6711836,821.8023781700001,821.8032318999999,821.8432994699999,821.843243,822.35937947,a,1,0.5071871000000101,507.1871000000101,821.843243,822.35937947,822.3726594,824.0004055700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,4.0,m,016_y_m_n_a.jpg,neutral,s,17,3,824.0009098,824.3005434700001,824.9047663000001,825.0564161699999,825.0569873,825.09344577,825.0931132999999,825.5765136699999,s,1,0.47326109999994515,473.26109999994515,825.0931132999999,825.5765136699999,825.5794721,827.55066717,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1.0,m,004_o_m_s_a.jpg,sad,a,17,3,827.5508471,827.85071227,827.8619510999999,827.99407447,827.9947338,828.03512787,828.0343865,828.46847037,a,1,0.41984660000002805,419.84660000002805,828.0343865,828.46847037,828.4717452,830.0588397700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,830.0594639000001,830.3589198699999,830.3757491000001,830.51060717,830.5107081000001,830.5517919700001,830.5516093000001,831.05146917,d,1,0.4865121000000272,486.5121000000272,830.5516093000001,831.05146917,831.0549811000001,832.7173604699999,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
