trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,3.0,m,013_y_m_h_a.jpg,happy,d,2,2,3322.2701377000194,3322.566004669998,3322.785954400024,3322.8031470699993,3322.8037002999918,3322.8390786700243,3322.8394252000144,3323.5201291699836,d,1,0.6701112000155263,670.1112000155263,3322.8394252000144,3323.5201291699836,3323.527385800029,3325.0328048699944,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,1,0,1,0,116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,5.0,m,027_o_m_n_a.jpg,neutral,s,2,2,3325.039921400021,3325.3328666699877,3325.5368640000233,3325.5543597699784,3325.555393000017,3325.5922935699987,3325.5922654999886,3326.2761616699922,s,1,0.6693462999537587,669.3462999537587,3325.5922654999886,3326.2761616699922,3326.2825549999834,3327.374507970008,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,1,0,1,0,117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1.0,m,004_o_m_n_a.jpg,neutral,s,2,2,3327.3797635000083,3327.6744859700034,3327.8656176999793,3327.8826961700165,3327.8832250999985,3327.9195416700154,3327.92006829998,3328.4442946700206,s,1,0.5176318000303581,517.6318000303581,3327.92006829998,3328.4442946700206,3328.452950600011,3330.282846570021,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,1,0,1,0,118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,11.0,f,030_o_f_n_a.jpg,neutral,s,2,2,3330.2868124999804,3330.5828477700184,3330.7780619999976,3330.795324269979,3330.795501900022,3330.8315524699924,3330.831858200021,3331.352359369985,s,1,0.5100260999752209,510.02609997522086,3330.831858200021,3331.352359369985,3331.363966499979,3332.4496778699745,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,1,0,1,0,119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,10.0,f,028_y_f_s_a.jpg,sad,a,2,2,3332.453988399997,3332.7494811699785,3332.772311699984,3332.787825669983,3332.7885569999926,3332.8258675700113,3332.8256559,3333.9626854700095,s,0,1.1240692000137642,1124.0692000137642,3332.8256559,3333.9626854700095,3333.9705935000093,3335.508041170024,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335.657043299987,3352.371301169979,s,16.700561900041066,16700.561900041066,3335.657043299987,3352.371301169979,0,1.0,m,004_o_m_h_a.jpg,happy,d,1,3,3352.3774156,3352.66671387002,3352.8863473000238,3352.8946675700195,3352.895360000024,3352.933773670002,3352.9389914000058,3354.2947301699955,s,0,1.3468405000166968,1346.8405000166968,3352.9389914000058,3354.2947301699955,3354.307288000011,3355.758383670013,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0,m,027_o_m_h_a.jpg,happy,d,1,3,3355.764624500007,3356.058477070014,3356.26830950001,3356.276629770006,3356.2767525999807,3356.3114858699905,3356.311243199976,3357.383933170006,s,0,1.0625263000256382,1062.5263000256382,3356.311243199976,3357.383933170006,3357.3957509999746,3358.4252037699976,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.0,f,012_o_f_s_a.jpg,sad,a,17,3,3358.4309134000214,3358.7249664699834,3358.7411459999857,3358.876766869979,3358.8803563999827,3358.9212319700223,3358.9258584000054,3359.3927823699837,a,1,0.4558100000140257,455.8100000140257,3358.9258584000054,3359.3927823699837,3359.3962775000255,3360.883466370002,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,m,027_o_m_h_a.jpg,happy,d,17,3,3360.8876302000135,3361.183459569997,3361.3999492999865,3361.5586855699717,3361.5632529000286,3361.602470470016,3361.6077052999754,3361.9642554699735,d,1,0.34186859999317676,341.86859999317676,3361.6077052999754,3361.9642554699735,3361.975740700029,3363.6085108700267,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,3363.61268630001,3363.9085752699816,3363.9452998000197,3364.0768642699754,3364.081950300024,3364.122419269994,3364.1253326000297,3364.607326469972,a,1,0.4722732999944128,472.2732999944128,3364.1253326000297,3364.607326469972,3364.6160536999814,3366.5919085699775,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.0,f,012_o_f_n_a.jpg,neutral,s,1,3,3366.5970116999815,3366.8919021699753,3367.1146705999854,3367.122990869981,3367.1237258000183,3367.1598958700256,3367.1610791999847,3367.8715550699912,s,1,0.7007245999993756,700.7245999993756,3367.1610791999847,3367.8715550699912,3367.8851370000048,3369.0502692699724,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.0,m,013_y_m_n_a.jpg,neutral,s,1,3,3369.050858600007,3369.3502615700186,3369.5809428999783,3369.589263169974,3369.5893699000007,3369.6264751699696,3369.6261386999977,3370.1284908700095,s,1,0.491322299989406,491.322299989406,3369.6261386999977,3370.1284908700095,3370.1340453000157,3371.4170659700235,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
