trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,4.0,m,016_y_m_n_a.jpg,neutral,s,1,3,988.7118921000001,989.0112835799977,989.2486241999977,989.2569683799978,989.257233999997,989.2918554800002,989.2917662,991.0757724799972,None,0,989.2917662,991.0757724799972,991.0833521999994,992.7865319799988,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,5.0,m,027_o_m_s_a.jpg,sad,a,17,3,992.790734299997,993.0864309800003,993.1114693999989,993.2464858799998,993.2491923999987,993.2877861799992,993.2902469999972,994.4131032799982,a,1,993.2902469999972,994.4131032799982,994.4197526999997,996.1447510799975,1.1130759999978181,1113.0759999978181,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2.0,m,008_y_m_n_a.jpg,neutral,s,17,3,996.1476292999978,996.4447442799996,996.6872349999976,996.841733579999,996.8466584999987,996.887944479999,996.8930465999983,997.7052024799981,s,1,996.8930465999983,997.7052024799981,997.7125850999983,999.1865117799993,0.7982618000023649,798.2618000023649,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,8.0,f,019_m_f_h_a.jpg,happy,d,17,3,999.1903748999976,999.4865509799987,999.5078197999974,999.6382543799976,999.6411768999969,999.6795121799972,999.682551599999,1000.1656691800002,d,1,999.682551599999,1000.1656691800002,1000.176591899999,1002.0032119800002,0.472853600000235,472.853600000235,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2.0,m,008_y_m_n_a.jpg,neutral,s,17,3,1002.0032999999967,1002.3032053800001,1002.5475470999991,1002.7069406799986,1002.7108267999974,1002.7521166799983,1002.7573262999977,1003.4288487799989,s,1,1002.7573262999977,1003.4288487799989,1003.4403009999987,1005.2867652799999,0.6622500000012224,662.2500000012224,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,12.0,f,040_y_f_h_a.jpg,happy,d,17,3,1005.290758799998,1005.5866643799985,1005.597011599999,1005.7370604800002,1005.7414833999974,1005.7826842799972,1005.7872849999985,1006.2355417799976,d,1,1005.7872849999985,1006.2355417799976,1006.2482435999991,1007.93680858,0.44034240000110003,440.34240000110003,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.0,m,013_y_m_h_a.jpg,happy,d,17,3,1007.9419572999977,1008.2368296799999,1008.4815922999987,1008.6387475799987,1008.6435908999993,1008.6844666799974,1008.6896676999968,1009.1813524800003,d,1,1008.6896676999968,1009.1813524800003,1009.1852721999967,1010.6451323799978,0.4815602000016952,481.5602000016952,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,8.0,f,019_m_f_s_a.jpg,sad,a,1,3,1010.6491546999969,1010.9450928799982,1011.1818462999981,1011.1901904799983,1011.1908565999984,1011.2309902799992,1011.236059699997,1012.8868576799999,None,0,1011.236059699997,1012.8868576799999,1012.8918521999985,1013.9534925799984,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,10.0,f,028_y_f_h_a.jpg,happy,d,17,3,1013.9580958999977,1014.2534910799972,1014.2698850999986,1014.4052166799978,1014.4088823999991,1014.4465216800003,1014.4513603999985,1014.9049721799987,d,1,1014.4513603999985,1014.9049721799987,1014.9122424999987,1016.5785574799978,0.4399903000012273,439.9903000012273,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,4.0,m,016_y_m_s_a.jpg,sad,a,17,3,1016.5837567999988,1016.8785600799987,1016.901547999998,1017.0385430800001,1017.0406339999972,1017.0799066799976,1017.0816747999997,1017.6505066799967,a,1,1017.0816747999997,1017.6505066799967,1017.6578292999984,1018.845386479998,0.5537365999989561,553.7365999989561,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
