trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.951041399966925,18.937524929986104,18.939204399997834,24.724886829958997,None,18.939204399997834,24.724886829958997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
,,,,,,,,,,,,,,,,,,,24.72840029996587,27.3280754300009,a,2.5847391999559477,24.72840029996587,27.3280754300009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,27.337358099990524,27.629439229954734,27.882636499998625,28.053382729989245,28.06157689995598,28.09709842997254,28.09837319998769,29.706932729977417,None,0,28.09837319998769,29.706932729977417,29.709845699951984,31.02957932999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,31.0319011999527,31.329485129966635,31.543357499991544,31.70328822999145,31.706318699987605,31.747115229949124,31.75025529996492,32.475883329979844,a,1,31.75025529996492,32.475883329979844,32.479451399995014,33.896258929971374,0.7148218000074849,714.8218000074849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,33.899230299983174,34.19626272998867,34.40338959998917,34.430002329981654,34.43218689999776,34.472184629988625,34.47518599999603,36.03178282995359,s,1,34.47518599999603,36.03178282995359,36.03463029995328,37.72123702999088,1.5418599999975413,1541.8599999975413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,37.72250329999952,38.02123102999176,38.22345920000225,38.38808382994612,38.39075939997565,38.43000822996837,38.43285990000004,39.11482923000003,d,1,38.43285990000004,39.11482923000003,39.1196207999601,40.73810512996861,0.664434699981939,664.434699981939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,40.73958059999859,41.03808182995417,41.252920099999756,41.41405342996004,41.41643459995976,41.456607529945906,41.459597899985965,42.22156542998855,s,1,41.459597899985965,42.22156542998855,42.22268789994996,43.86315632995102,0.7493055000086315,749.3055000086315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90188489999855,46.89655062998063,46.89795519999461,50.30239092994598,a,3.391107900009956,3391.107900009956,46.89795519999461,50.30239092994598,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,50.308339899987914,50.596448029967725,50.858537399966735,50.885438330000035,50.88693419995252,50.92391512996401,50.92843410000205,52.45252852996928,s,0,1.5128684000228532,1512.8684000228532,50.92843410000205,52.45252852996928,52.46503500000108,53.47140712994733,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,53.473215199948754,53.7715918299451,53.977896699972916,54.00384782999172,54.004482099961024,54.03951532998472,54.0406207999913,55.59308143000235,None,0,,,54.0406207999913,55.59308143000235,55.598006599990185,56.888325629982866,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,56.893695699982345,57.18842002999154,57.43818709999323,57.607618129980985,57.61203319998458,57.65317372994614,57.65804809995461,58.38329472997575,a,1,0.711024499963969,711.024499963969,57.65804809995461,58.38329472997575,58.389913899998646,59.563412929995685,EMOCONPILOT004,2020_Dec_15_1203,EmoCon_Pilot_120Hz,2020.2.4,119.99990405522507,
