trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,578.1681788000001,578.4641734300001,578.6682108,578.69430113,578.6951154999999,578.7319198299999,578.7319910000001,579.4844128299999,d,1,0.7384879999999612,738.4879999999612,578.7319910000001,579.4844128299999,579.4917473,581.43087543,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,581.4352973,581.73087863,581.9355942,581.9617117299999,581.9625099,581.9988497300001,581.9989666000001,582.74971413,s,0,0.7433925999998792,743.3925999998792,581.9989666000001,582.74971413,582.7561564,584.1143817300001,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,584.1185724,584.41428453,584.6200096,584.78940173,584.7929773000001,584.83294933,584.8380149,585.77783703,a,1,0.9283258999998907,928.3258999998907,584.8380149,585.77783703,585.7836251000001,587.5559446299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,587.5589208000001,587.8559894299999,588.0679996000001,588.22768653,588.2313922000001,588.27191113,588.2771553,589.04631363,s,1,0.7611526000000595,761.1526000000595,588.2771553,589.04631363,589.0527162999999,590.34768603,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,590.3509848000001,590.64774853,590.8826534,591.0418513300001,591.0464240000001,591.0870937300001,591.092349,591.66363563,s,1,0.5621791999999459,562.1791999999459,591.092349,591.66363563,591.6694505,593.0061234299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,17,1,593.0103793999999,593.3061989299999,593.5395281000001,593.70904363,593.7135074,593.7545891299999,593.7594329000001,594.2619528299999,d,1,0.48706960000004074,487.06960000004074,593.7594329000001,594.2619528299999,594.2676587000001,595.6561402299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,595.6603769000001,595.95625823,596.2001471000001,596.36140523,596.3654892,596.40649033,596.4114725,596.8927996299999,s,1,0.4670277000000169,467.0277000000169,596.4114725,596.8927996299999,596.9041365,598.53125733,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,598.5347992,598.8312615299999,599.0342023000001,599.20362013,599.2084596,599.2497475299999,599.2548261,599.72521143,d,1,0.455685399999993,455.685399999993,599.2548261,599.72521143,599.7356030999999,600.7980063299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,600.8011223999999,601.0980209300001,601.1960798,601.3333707300001,601.3379428000001,601.3786880299999,601.3840136000001,602.34038373,a,1,0.9424702999999681,942.4702999999681,601.3840136000001,602.34038373,602.3471227,604.2646817299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,604.2689256000001,604.56465873,604.7895713,604.8151862299999,604.8158192999999,604.85028053,604.8500888000001,605.5459320299999,s,1,0.6843043999999736,684.3043999999736,604.8500888000001,605.5459320299999,605.5532621,606.6397014300001,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
