trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,479.2456661000615,479.54104239001174,479.74632420006674,479.9031464900705,479.90685530006886,479.9468565900694,479.95209070004057,480.57241529001624,d,1,0.6027184999547899,602.7184999547899,479.95209070004057,480.57241529001624,480.58198590006214,481.97453189009104,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,481.9786385000916,482.2744728900376,482.483263000031,482.6523754900205,482.6569095000159,482.696915990056,482.7020414000144,483.52474178998966,a,1,0.8127830000594258,812.7830000594258,482.7020414000144,483.52474178998966,483.5351297000889,484.9829271899886,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,484.98682240000926,485.28287229008276,485.488080500043,485.65000469001245,485.6547466000775,485.69440779004947,485.6987717000302,486.4196165901027,a,1,0.7041213000193238,704.1213000193238,485.6987717000302,486.4196165901027,486.43144359998405,487.97452049000424,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,487.9773007000331,488.2744904900552,488.49076329998206,488.6528125900892,488.6574930000352,488.69754519007404,488.70252030005213,489.34484399001815,s,1,0.6282362999627367,628.2362999627367,488.70252030005213,489.34484399001815,489.35614980000537,490.62470829006054,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,490.6290397000266,490.92474959007234,491.1702593000373,491.1967507900787,491.196787300054,491.234191290068,491.23564339999575,492.0525110900286,s,1,0.8072040000697598,807.2040000697598,491.23564339999575,492.0525110900286,492.0650099000195,493.1581546900212,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,493.1638871000614,493.45814359009967,493.6630205999827,493.6887436899939,493.6917084000306,493.73095299009003,493.73616420000326,494.53830869003434,d,1,0.7947439000708982,794.7439000708982,493.73616420000326,494.53830869003434,494.54981710005086,496.45814488999315,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,496.46364229999017,496.75813958999936,497.0076990000671,497.0336636900553,497.0340709000593,497.07018219000895,497.0706147000892,497.8743934899918,s,1,0.7882643000921234,788.2643000921234,497.0706147000892,497.8743934899918,497.8835198000306,499.2581570900162,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,499.26217630004976,499.55823579007995,499.76327750005294,499.78848688999426,499.7890661000274,499.82588609001834,499.8260321000125,500.5261388900341,d,1,0.6887007000623271,688.7007000623271,499.8260321000125,500.5261388900341,500.5335640000412,502.25003479010195,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,502.25526030000765,502.5499820900965,502.64847150002606,502.7848742900766,502.7880703000119,502.82610499005534,502.82973810005933,503.95927189007637,s,0,1.117203800007701,1117.203800007701,502.82973810005933,503.95927189007637,503.97068100003526,505.67500489003726,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,505.68041800009087,505.97510289001514,506.21850610000547,506.2446681900998,506.2447825000854,506.2794101900305,506.2791545999935,507.27771229002394,s,1,0.9875575000187382,987.5575000187382,506.2791545999935,507.27771229002394,507.28522930003237,509.20843989002753,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
