trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,59.72704829997383,60.02373090982437,60.23040280002169,60.38741820994765,60.39068419998512,60.431673309905456,60.43789129983634,61.147885010018946,d,1,0.7007581000216305,700.7581000216305,60.43789129983634,61.147885010018946,61.15755519992672,62.99038910996169,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,62.99538549990393,63.29043741002679,63.50257029989734,63.66424261000939,63.667970299953595,63.706142709963025,63.70931279985234,64.44381980984471,s,0,0.7252330998890102,725.2330998890102,63.70931279985234,64.44381980984471,64.44859179994091,65.64042481002397,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,65.64452919992618,65.94042730997316,66.1373415000271,66.16321980990469,66.16381959989667,66.19983980981632,66.19983039982617,66.80838030986487,s,0,0.5948646999895573,594.8646999895573,66.19983039982617,66.80838030986487,66.81422079983167,68.44885921003296,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,68.45289059984498,68.74891270990483,68.96334379981272,69.12240290981717,69.12663979991339,69.16764750997535,69.17163919983432,70.38628211002796,s,1,1.2068709000013769,1206.8709000013769,69.17163919983432,70.38628211002796,70.39294409984723,72.17396690989844,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,72.17841940000653,72.47397980992682,72.70886639994569,72.86766750984825,72.8723531998694,72.91313160993158,72.91828759992495,73.24408830995671,s,1,0.31658659991808236,316.58659991808236,72.91828759992495,73.24408830995671,73.25450849998742,75.01565620992332,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,75.0187513998244,75.31564380987547,75.52301090001129,75.54881880981847,75.5496694999747,75.58396371002308,75.58421020000242,76.59978830991312,d,1,1.0023372999858111,1002.3372999858111,75.58421020000242,76.59978830991312,76.60438969987445,77.80733640994876,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,77.81039280002005,78.10734241004101,78.35179779981263,78.51922570997849,78.52302979980595,78.56386700985021,78.56882659997791,79.52834480991586,s,1,0.9459520999807864,945.9520999807864,78.56882659997791,79.52834480991586,79.54015509993769,81.07410110989585,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,81.07828269992024,81.37417060988955,81.5699522998184,81.59573331000283,81.59624839993194,81.63360170987434,81.63475509989075,82.61838450995273,d,1,0.9680967999156564,968.0967999156564,81.63475509989075,82.61838450995273,82.6250979998149,83.79092550990171,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,83.79412939981557,84.09086830997839,84.18161650002003,84.31744430996477,84.32036649994552,84.35875550997443,84.36060499981977,85.32678400995209,a,1,0.9541464000940323,954.1464000940323,84.36060499981977,85.32678400995209,85.3384750999976,86.64091210989281,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,86.64419889985584,86.94093921002931,87.16943759983405,87.19566491004079,87.19939800002612,87.24009411004371,87.2454349999316,87.82766391001641,s,1,0.5653932997956872,565.3932997956872,87.2454349999316,87.82766391001641,87.83776739984751,89.50762781002558,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,89.51233079982921,89.80774321001954,89.8381518998649,89.97589530996046,89.97762000001967,90.01722100996412,90.01858359994367,90.81767881000414,d,1,0.784082000143826,784.082000143826,90.01858359994367,90.81767881000414,90.82583079999313,92.34099970981478,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,92.34654149995185,92.64100490990094,92.66426959983073,92.68693980984389,92.68770859995857,92.72556020985357,92.7266814999748,93.52251140996813,d,1,0.7878779999446124,787.8779999446124,92.7266814999748,93.52251140996813,93.52997579984367,95.04113190984353,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,95.04528709989972,95.34117280985228,95.57434309995733,95.60013470998965,95.60021679988131,95.63464020998217,95.63457320001908,96.24217500993981,s,1,0.6001442999113351,600.1442999113351,95.63457320001908,96.24217500993981,96.25183939980343,98.2162483098451,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,17,1,98.22211660002358,98.5161838099826,98.53977179992944,98.67615730981342,98.68113109981641,98.72172430986538,98.72687529982068,99.60737970997579,a,1,0.8676377001684159,867.6377001684159,98.72687529982068,99.60737970997579,99.6103588999249,101.07450790996663,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,17,1,101.07765559991822,101.37455621003173,101.39508379995823,101.52620870983228,101.52958049997687,101.56754920994862,101.57072569988668,103.06677671000361,s,0,1.4879841001238674,1487.9841001238674,101.57072569988668,103.06677671000361,103.07134189992212,104.48292750995606,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
