trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,135.364593999926,135.65872271000407,135.89983319980092,135.92574130990542,135.9259922998026,135.960675110016,135.9613357000053,136.73414481002837,s,0,0.761346299899742,761.346299899742,135.9613357000053,136.73414481002837,136.74166830000468,138.333733109897,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,17,1,138.33685670001432,138.63372790990397,138.8283841998782,138.98520250981673,138.99003749992698,139.02819151002913,139.03270359989256,139.5024395099841,s,1,0.45808640005998313,458.08640005998313,139.03270359989256,139.5024395099841,139.51066629984416,140.775380009925,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,140.77837089984678,141.07546880994923,141.29669189988635,141.4526611099951,141.4574001999572,141.4985110099893,141.50333689991385,141.84987781001254,s,1,0.331565200118348,331.565200118348,141.50333689991385,141.84987781001254,141.86124109989032,143.40044480995275,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,143.40321809984744,143.70049391002394,143.91206619981676,143.93885921002365,143.9398530998733,143.9767084099818,143.97788239992224,144.75592390997335,s,1,0.7687969000544399,768.7969000544399,143.97788239992224,144.75592390997335,144.76343169994652,146.38393140994012,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,146.3891888000071,146.68385951002128,146.9221861998085,146.94746411000378,146.94808049988933,146.98514530984684,146.98627280001529,147.5220504099503,s,1,0.5204627998173237,520.4627998173237,146.98627280001529,147.5220504099503,147.52792089991271,148.91721370993181,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,148.92128010001034,149.21721920990385,149.44726179982536,149.60580700999125,149.60920309997164,149.64974440997466,149.65498110000044,150.18254940994083,s,1,0.5156702001113445,515.6702001113445,149.65498110000044,150.18254940994083,150.19214940001257,152.17558581000193,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11.0,f,030_o_f_n_a.jpg,neutral,s,3,1,152.17936909990385,152.47570930994115,152.68269719998352,152.70990340984426,152.71320499991998,152.75072530996985,152.75255249999464,153.18394550997763,s,1,0.4181381000671536,418.1381000671536,152.75255249999464,153.18394550997763,153.1922159998212,154.5006586098112,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,154.5036805998534,154.80067210984416,155.01584129990079,155.184127709968,155.18890239996836,155.22993590999394,155.23442190000787,155.60116670993156,d,1,0.3523581000044942,352.3581000044942,155.23442190000787,155.60116670993156,155.61250809999183,157.49247660990804,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,157.49769179988652,157.7924381100107,157.99545939988457,158.02145440983585,158.0216276999563,158.05800700993277,158.05838499986567,158.74567590993829,s,0,0.6804523998871446,680.4523998871446,158.05838499986567,158.74567590993829,158.75304009998217,159.92591810985468,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,159.93137549981475,160.22582521000876,160.453927999828,160.48041030988097,160.48348869988695,160.52418120987713,160.52939039980993,161.05053430995903,s,1,0.5055807000026107,505.5807000026107,160.52939039980993,161.05053430995903,161.06200959999114,162.1008362098597,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9.0,f,021_o_f_s_a.jpg,sad,a,3,1,162.10400649998337,162.4007947099395,162.422986399848,162.44512501000426,162.4456453998573,162.48540270994417,162.48683269997127,162.95411310987546,d,0,0.45987469982355833,459.87469982355833,162.48683269997127,162.95411310987546,162.9606890999712,164.29265990983694,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,164.29654040001333,164.59263910995796,164.84071589983068,164.99756140997633,165.00140299997292,165.04272310985252,165.04784939996898,165.38578230994753,s,1,0.32292880001477897,322.928800014779,165.04784939996898,165.38578230994753,165.39625709992833,166.69272320987656,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,166.69820819981396,166.99262590999714,167.01689570001327,167.15263740988448,167.1577696998138,167.19680000995285,167.2014719999861,168.2187634100206,a,1,1.0092982000205666,1009.2982000205666,167.2014719999861,168.2187634100206,168.2239059000276,169.75933650988154,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,169.7625057999976,170.05925380988046,170.2692998999264,170.42937830989248,170.43313069990836,170.47400300987064,170.4789763998706,171.13748681000433,d,1,0.6516578998416662,651.6578998416662,170.4789763998706,171.13748681000433,171.14396279980429,172.5343327099923,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,172.5373030998744,172.83441940988413,172.85675709997304,172.99441970991901,172.99753870000131,173.03574211001396,173.03920200001448,173.82609720984473,d,1,0.7794586000964046,779.4586000964046,173.03920200001448,173.82609720984473,173.8346903999336,175.37613200992345,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1.0,m,004_o_m_s_a.jpg,sad,a,17,1,175.37909079995006,175.67614200981333,175.69767549983226,175.82828110982663,175.83177449996583,175.86951500982977,175.8729492998682,176.34320860998704,a,1,0.45800470001995564,458.00470001995564,175.8729492998682,176.34320860998704,176.35290209995583,177.7678402100224,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,177.77094189985655,178.067756209895,178.083242099965,178.10503840995952,178.10603939997964,178.14414610983803,178.14549799985252,179.31414510998874,d,1,1.1532760001718998,1153.2760001718998,178.14549799985252,179.31414510998874,179.32338820002042,181.11799970981664,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,7.0,f,012_o_f_s_a.jpg,sad,a,3,1,181.1224250998348,181.41791760982014,181.44116519996896,181.46384550994262,181.46421299991198,181.50253040986135,181.5025710000191,182.40572720989584,s,0,0.8922407999634743,892.2407999634743,181.5025710000191,182.40572720989584,182.41675459989347,183.97643040996044,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,183.98180509987287,184.2764053099323,184.5401928999927,184.69734950982965,184.7012843999546,184.74226930984295,184.74721880001016,185.78884681002236,s,1,1.0315523999743164,1031.5523999743164,184.74721880001016,185.78884681002236,185.8002011999488,187.3097424098756,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2.0,m,008_y_m_h_a.jpg,happy,d,3,1,187.3151940999087,187.60983411003835,187.62716489983723,187.6493223099038,187.64990739990026,187.6859439098276,187.6860256998334,188.47052620993927,d,1,0.7726740001235157,772.6740001235157,187.6860256998334,188.47052620993927,188.47919330000877,189.86812290982343,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,189.87345449998975,190.1681283099111,190.39051509997807,190.5483528099954,190.55176109983586,190.5924046099186,190.59658110002056,191.05646470994688,s,1,0.4465193999931216,446.5193999931216,190.59658110002056,191.05646470994688,191.06765499990433,192.56812631003558,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,11.0,f,030_o_f_n_a.jpg,neutral,s,3,1,192.57222229987383,192.86814671000465,193.07598129985854,193.10250570988282,193.10324899991974,193.13809230984188,193.13787259999663,193.69914380987174,s,1,0.5528618998359889,552.8618998359889,193.13787259999663,193.69914380987174,193.70675339992158,194.97657480989582,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,194.98272259999067,195.27654250981286,195.30400999984704,195.32666400996968,195.32730140001513,195.36329400995746,195.36373099987395,196.37066850988194,d,1,0.9909699000418186,990.9699000418186,195.36373099987395,196.37066850988194,196.37714679981582,197.41836730986833,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,197.42393219983205,197.71828370997682,197.97062229993753,197.9969449098222,197.99721980001777,198.0323568099644,198.03225649986416,199.0776114099659,s,1,1.0345133999362588,1034.5133999362588,198.03225649986416,199.0776114099659,199.08510909997858,200.8850659098476,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,200.8891087998636,201.1850172098726,201.40501370001584,201.57033580997958,201.5750098999124,201.6158250099048,201.62099449988455,202.80330620999447,s,1,1.1739656999707222,1173.9656999707222,201.62099449988455,202.80330620999447,202.810850400012,203.83518940992653,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,203.8383386998903,204.1352135100402,204.35431909980252,204.51524190991185,204.51896399981342,204.55653331000357,204.56093789986335,205.1760283099953,d,1,0.6017521999310702,601.7521999310702,204.56093789986335,205.1760283099953,205.18323759990744,206.5185501099564,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2.0,m,008_y_m_n_a.jpg,neutral,s,17,1,206.5240555999335,206.81849200990982,207.05798339983448,207.214144109888,207.21754270000383,207.25755291003733,207.26272149989381,207.88946291003376,s,1,0.6118495999835432,611.8495999835432,207.26272149989381,207.88946291003376,207.89234329992905,209.81847970993257,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10.0,f,028_y_f_n_a.jpg,neutral,s,17,1,209.81890559988096,210.11860851002857,210.32005569990724,210.47750080996192,210.48229079996236,210.52305780993774,210.52835759986192,211.00219951001927,s,1,0.4663738999515772,466.3738999515772,210.52835759986192,211.00219951001927,211.01067029987462,212.6769556099549,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,212.68094819993712,212.97699480983428,213.00324969994836,213.1372447099071,213.14188569993712,213.182609009929,213.18805280001834,214.04543960993178,d,1,0.8466762998141348,846.6762998141348,213.18805280001834,214.04543960993178,214.05301859998144,215.91031030998565,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2.0,m,008_y_m_n_a.jpg,neutral,s,3,1,215.91436819988303,216.21034850985743,216.45085549983196,216.47648140988312,216.47642419999465,216.51212700982578,216.5117217998486,217.5744536099024,s,1,1.0512155001051724,1051.2155001051724,216.5117217998486,217.5744536099024,217.58412289991975,218.6188203100115,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,218.62455619988032,218.91874350993893,219.13383219996467,219.15965000996366,219.16063349996693,219.19549501002766,219.19512169994414,220.0077250098344,s,1,0.7995621999725699,799.5621999725699,219.19512169994414,220.0077250098344,220.01341130002402,221.0771025099326,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,221.08059019991197,221.37717211004346,221.61130039999261,221.6373692100402,221.63816039985977,221.6726296098437,221.6731632000301,222.41960210995748,s,1,0.7298758001998067,729.8758001998067,221.6731632000301,222.41960210995748,222.43089149985462,223.48555350992828,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.0,m,033_o_m_s_a.jpg,sad,a,17,1,223.48984329984523,223.78555791000835,223.8017625999637,223.93715210994705,223.94068509992212,223.97831700989045,223.98098349990323,224.5861998099368,s,0,0.5899185999296606,589.9185999296606,223.98098349990323,224.5861998099368,224.59474789979868,225.7688865099568,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,7.0,f,012_o_f_n_a.jpg,neutral,s,17,1,225.77403429988772,226.0689029098954,226.2912090998143,226.4529273099266,226.45646799984388,226.4965803098399,226.50160129996948,227.14711830988526,s,1,0.6370763001032174,637.0763001032174,226.50160129996948,227.14711830988526,227.15070809982717,228.677298410004,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2.0,m,008_y_m_h_a.jpg,happy,d,3,1,228.6827600998804,228.9772990098223,229.00298559991643,229.02549030994996,229.02626209985465,229.06179760992526,229.06166929984465,229.98974910997785,d,1,0.917089199880138,917.089199880138,229.06166929984465,229.98974910997785,229.9974193999078,231.5107818098273,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,231.5149095999077,231.81065200981683,231.8328050998971,231.85447380985133,231.85466159996577,231.89525290988385,231.89535219990648,232.54538480998016,d,1,0.6354515000712126,635.4515000712126,231.89535219990648,232.54538480998016,232.55010629980825,233.72747541000135,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,233.73290199995972,234.0272317099385,234.03971459995955,234.17073951000347,234.17250250000507,234.21194370989687,234.21351449983194,234.76092020994983,d,1,0.5334369000047445,533.4369000047445,234.21351449983194,234.76092020994983,234.77053259988315,236.5774197100196,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,9.0,f,021_o_f_s_a.jpg,sad,a,3,1,236.5815799999982,236.87741810982115,236.89702829997987,236.92032560999505,236.92098969989456,236.95532810981385,236.95637529995292,238.46931790993548,None,0,,,236.95637529995292,238.46931790993548,238.47335230000317,239.52745800991542,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,239.5274975998327,239.82749230987392,239.84674740000628,239.86961471000686,239.87028289982118,239.90707000987604,239.9074775998015,241.4090059098322,None,0,,,239.9074775998015,241.4090059098322,241.4119160999544,243.30265650982037,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,243.3068770999089,243.6026644100435,243.83837189991027,243.86643891003914,243.8664735998027,243.9036270099692,243.9035692999605,244.97958340998738,d,1,1.0672029999550432,1067.2029999550432,243.9035692999605,244.97958340998738,244.98600719985552,246.21941220983862,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,246.2250085999258,246.51928790998645,246.5496973998379,246.68769601001404,246.6893601999618,246.72894130987115,246.7305426998064,247.36831861003301,d,1,0.6243825999554247,624.3825999554247,246.7305426998064,247.36831861003301,247.3739330000244,248.8943532099016,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,9.0,f,021_o_f_s_a.jpg,sad,a,3,1,248.8972008000128,249.19443270997144,249.2135122998152,249.23621490984223,249.23668630002066,249.2727493100334,249.2732573999092,250.8762418098282,None,0,,,249.2732573999092,250.8762418098282,250.88121959986165,252.427777009923,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2.0,m,008_y_m_h_a.jpg,happy,d,3,1,252.43193049984984,252.72773640989325,252.74923239997588,252.77185230995528,252.77189460000955,252.80636310987174,252.80634170002304,253.85229381001554,d,1,1.036430599866435,1036.430599866435,252.80634170002304,253.85229381001554,253.86043769982643,254.86960170990787,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,254.87438689987175,255.16950330990366,255.38044159999117,255.40654760985635,255.40672519989312,255.44214270999655,255.4436110998504,256.09415690987373,d,1,0.6392029998824,639.2029998824,255.4436110998504,256.09415690987373,256.1016596998088,257.5029560098425,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,257.50699449982494,257.8029696099926,258.0034560000058,258.1601932099089,258.1630410000216,258.20293420986275,258.2079824998509,258.8287625099998,d,1,0.6109899000730366,610.9899000730366,258.2079824998509,258.8287625099998,258.83929479983635,260.3779801099096,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,260.3822574999649,260.6779020099435,260.91842599981464,261.08793920991013,261.0926377000287,261.1324013098143,261.1375615999568,261.65882840999404,a,1,0.5055472999811172,505.54729998111725,261.1375615999568,261.65882840999404,261.6703916999977,263.00302950982007,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,263.008417399833,263.3029973098543,263.5135132998694,263.54035991001876,263.54143769992515,263.5792085099034,263.5812140000053,264.2920051099733,d,1,0.7015953999944031,701.5953999944031,263.5812140000053,264.2920051099733,264.2954679999966,265.37796900994147,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,265.3795290000271,265.678060609987,265.9188600999769,265.94551340993496,265.9456888998393,265.97988780997696,265.9808678999543,266.71483460990714,a,1,0.7260483000427485,726.0483000427485,265.9808678999543,266.71483460990714,266.7211341999937,267.8281771099661,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,7.0,f,012_o_f_n_a.jpg,neutral,s,3,1,267.8323648998048,268.1280724100303,268.3396886999253,268.3667423100211,268.3701045999769,268.41134440982717,268.4163281999063,269.05988830993886,s,1,0.634584000101313,634.584000101313,268.4163281999063,269.05988830993886,269.0716923000291,270.26149380989375,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
