trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,70.10632909997366,70.40338568009902,70.6055780001916,70.76157987995539,70.76651530014351,70.80593118018005,70.81100230012089,71.36152048006188,d,1,70.81100230012089,71.36152048006188,71.37399270012975,72.76177997996565,0.5364887001924217,536.4887001924217,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,72.76592130004428,73.06186768009793,73.28986480017193,73.44662738002371,73.45163100003265,73.4924046801636,73.49781020008959,74.36390108002816,s,0,73.49781020008959,74.36390108002816,74.37222330016084,75.54520328009967,0.8576056999154389,857.6056999154389,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,75.54813080001622,75.84519748010207,76.04943090002052,76.0771982799517,76.08159980014898,76.12264788004104,76.12762340018526,76.94342558009085,s,0,76.12762340018526,76.94342558009085,76.95525550004095,78.47859448001255,0.8039114000275731,803.9114000275731,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,78.48290790012106,78.77858018006664,79.01562339998782,79.04256398014259,79.04310670006089,79.07976418004837,79.0812890001107,79.83416108011734,s,1,79.0812890001107,79.83416108011734,79.8374744001776,81.01194508017507,0.7380526000633836,738.0526000633836,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,81.01633330015466,81.31205498001073,81.5585407000035,81.58461357995402,81.58927130000666,81.63005157995504,81.63530170009471,82.22662378002424,s,1,81.63530170009471,82.22662378002424,82.23831930011511,83.77872428011615,0.576440499862656,576.440499862656,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,17,1,83.78357350011356,84.07867598014418,84.29357820004225,84.45523578014691,84.45995070016943,84.50083257996012,84.50486350012943,85.06690348002594,d,1,84.50486350012943,85.06690348002594,85.07857030001469,86.80386138001923,0.5547529000323266,554.7529000323266,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,86.8093604000751,87.10386908000801,87.34942640014924,87.51709738017526,87.52177430014126,87.56282178002876,87.56787400017492,88.08617457996588,s,1,87.56787400017492,88.08617457996588,88.09664660017006,89.22054038003553,0.5077366998884827,507.7366998884827,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,89.22592570004053,89.52059878006112,89.7232753999997,89.7497379800072,89.74998200009577,89.7855239800876,89.78585500014015,91.35514758008067,d,1,89.78585500014015,91.35514758008067,91.36458020005375,93.13729758018162,1.561647400027141,1561.647400027141,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,93.14168020011857,93.43718807997648,93.53513480001129,93.6721627800027,93.67542660003528,93.71344858005178,93.71696780016646,94.73846498008352,a,1,93.71696780016646,94.73846498008352,94.74315200001001,95.82903098005336,1.0064655998721719,1006.4655998721719,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,95.83228520001285,96.12894528002944,96.3592234000098,96.51396398006473,96.51868350012228,96.55956408001948,96.56487310002558,97.58912698009517,s,1,96.56487310002558,97.58912698009517,97.60084019997157,98.94565947998781,1.014620800036937,1014.620800036937,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
