trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,38.50395120005123,41.494327500031794,41.49504039995372,47.25664860001998,None,41.49504039995372,47.25664860001998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
,,,,,,,,,,,,,,,,,,,47.26089479995426,51.21905150000239,a,3.9496365999802947,47.26089479995426,51.21905150000239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,51.225280400016345,51.519917800009715,52.281086200033315,52.44761920002056,52.4524073000066,52.48757220004918,52.48867919994518,54.17680229995167,None,0,52.48867919994518,54.17680229995167,54.18041140004061,55.328352200018706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,55.33023740001954,55.62833460004767,55.839304200024344,55.86453439997276,55.864731100038625,55.90105080002686,55.90149219997693,57.48444970002165,None,0,55.90149219997693,57.48444970002165,57.48535540001467,58.74503929998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,58.7466794999782,59.04515279995976,59.246814899961464,59.41238190004369,59.414467700058594,59.453788399964104,59.45729619998019,61.14482480000006,None,0,59.45729619998019,61.14482480000006,61.14550690003671,62.33669269996462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,62.337675599963404,62.63670539999148,62.83997269999236,62.86734350005863,62.87015329999849,62.910971300012896,62.91429840005003,64.20000740004471,s,0,62.91429840005003,64.20000740004471,64.2027302000206,65.61190699998988,1.2722119999816641,1272.2119999816641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,65.6135400000494,65.91190430001589,66.11686950002331,66.14223389994586,66.14277929998934,66.17951449999819,66.17969709995668,67.54562729996397,s,1,66.17969709995668,67.54562729996397,67.5484809000045,68.87869980003452,1.35091919999104,1350.91919999104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.92911609995645,71.92044509997359,71.92408829997294,74.12716840001522,s,2.190325399977155,2190.325399977155,71.92408829997294,74.12716840001522,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,74.12954840005841,74.4200839000172,75.18716149998363,75.21278560002102,75.21372020000126,75.24815519995755,75.2499986999901,76.04329650002765,s,0,0.7847714000381529,784.7714000381529,75.2499986999901,76.04329650002765,76.05271850002464,77.81210899996805,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,77.81752609997056,78.11215310000117,78.32251029997133,78.3494885999593,78.35049980005715,78.38824989999412,78.38909529999364,78.83965230003233,s,1,0.4374761999351904,437.4761999351904,78.38909529999364,78.83965230003233,78.84648469998501,80.53733390002745,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,80.54279430001043,80.83720360001317,81.08299539994914,81.10974340004614,81.11346709995996,81.15254189997214,81.15776319999713,82.4289507000125,a,1,1.2608012999407947,1260.8012999407947,81.15776319999713,82.4289507000125,82.43631659995299,84.31223159997026,EMOCONPILOT003,2020_Dec_30_1304,EmoCon_Pilot_120Hz,2020.2.4,120.26921069094792,
