trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,4.0,m,016_y_m_s_a.jpg,sad,a,17,3,1152.9447077000514,1153.239334459859,1153.2555448999628,1153.3909853598802,1153.394164599944,1153.4339434599738,1153.4384769999888,1154.343470660015,s,0,1153.4384769999888,1154.343470660015,1154.3552250999492,1155.6559884599178,0.8914723000489175,891.4723000489175,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,1155.6601733998396,1155.9560045599706,1155.9801572998986,1156.1159831599566,1156.1191237999592,1156.1572964598658,1156.1605227000546,1156.9058670599247,d,1,1156.1605227000546,1156.9058670599247,1156.917421199847,1158.6978634600296,0.7374615001026541,737.4615001026541,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,1.0,m,004_o_m_n_a.jpg,neutral,s,17,3,1158.7031397998799,1158.997788159852,1159.1985406000167,1159.3562483598712,1159.3609175998718,1159.4004719599384,1159.404070599936,1159.8509847598384,s,1,1159.404070599936,1159.8509847598384,1159.8617316000164,1161.4145778598963,0.43836969998665154,438.36969998665154,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,7.0,f,012_o_f_h_a.jpg,happy,d,1,3,1161.4199665000197,1161.7144765599865,1161.7358408998698,1161.7441970598652,1161.7448882998433,1161.7823180600303,1161.7822606998961,1163.4036290598801,None,0,1161.7822606998961,1163.4036290598801,1163.4083424999844,1164.764647859824,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,9.0,f,021_o_f_h_a.jpg,happy,d,1,3,1164.7687194000464,1165.0645538598533,1165.2720415999647,1165.2803977599601,1165.2811956999358,1165.3163316598861,1165.3166260998696,1166.919405559986,None,0,1165.3166260998696,1166.919405559986,1166.9241820999887,1167.973074760032,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,10.0,f,028_y_f_h_a.jpg,happy,d,1,3,1167.9785441998392,1168.2729934600416,1168.2890443999786,1168.297400559974,1168.2975440998562,1168.3323430600344,1168.3338085999712,1169.9423300600379,None,0,1168.3338085999712,1169.9423300600379,1169.9473965000361,1171.8147030598252,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4.0,m,016_y_m_s_a.jpg,sad,a,1,3,1171.8189755999483,1172.1147110599327,1172.1357908998616,1172.144147059857,1172.1448933999054,1172.1824578598375,1172.182469899999,1173.8064548598836,None,0,1172.182469899999,1173.8064548598836,1173.8113901999313,1175.5482496600366,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,1175.5534129999578,1175.8481447598665,1175.8713014000095,1176.008136459836,1176.013115099864,1176.052704659966,1176.0578882999253,1176.6750385600376,s,0,1176.0578882999253,1176.6750385600376,1176.6829055999406,1178.439914460038,0.6079804000910372,607.9804000910372,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,12.0,f,040_y_f_s_a.jpg,sad,a,1,3,1178.4441325999796,1178.7398503599456,1178.7650210999418,1178.7733772599372,1178.7733960000332,1178.8095006600256,1178.8098998998757,1180.3337242598413,None,0,1178.8098998998757,1180.3337242598413,1180.3387048998848,1181.5732394598658,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,3.0,m,013_y_m_s_a.jpg,sad,a,17,3,1181.577383399941,1181.8732596598334,1181.888523499947,1182.0248727600324,1182.0276830999646,1182.0660544598709,1182.0687926998362,1182.8765070598806,a,1,1182.0687926998362,1182.8765070598806,1182.8849675999954,1184.2733917599312,0.7971592000685632,797.1592000685632,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
