trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3.0,m,013_y_m_s_a.jpg,sad,a,1,3,1569.4024579999968,1569.696545499959,1569.7198443999514,1569.7281918999506,1569.7285633999854,1569.7656612999272,1569.7651599999517,1571.4207457000157,None,0,1569.7651599999517,1571.4207457000157,1571.4256361000007,1573.1548630000325,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3.0,m,013_y_m_h_a.jpg,happy,d,1,3,1573.1603572999593,1573.454876099946,1573.6956716999412,1573.7040191999404,1573.7050516000018,1573.7413987999316,1573.7454852999654,1575.5740468000295,None,0,1573.7454852999654,1575.5740468000295,1575.5815816000104,1577.0383009000216,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1.0,m,004_o_m_n_a.jpg,neutral,s,17,3,1577.0432132999413,1577.3382558999583,1577.54014009994,1577.6968801999465,1577.701615500031,1577.7427235000068,1577.747880199924,1579.3336239999626,s,1,1577.747880199924,1579.3336239999626,1579.3451578000095,1580.830139699974,1.578817999921739,1578.817999921739,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,12.0,f,040_y_f_h_a.jpg,happy,d,17,3,1580.8356798000168,1581.130032200017,1581.1529660000233,1581.290021099965,1581.295196000021,1581.3362041999353,1581.3412734000012,1582.3779889999423,d,1,1581.3412734000012,1582.3779889999423,1582.3895278000273,1583.6468094999436,1.0252981999656186,1025.2981999656186,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1.0,m,004_o_m_s_a.jpg,sad,a,17,3,1583.6528058999684,1583.946871799999,1583.9691265999572,1584.1067125999834,1584.10853279999,1584.147992299986,1584.149820099934,1584.7265990999294,a,1,1584.149820099934,1584.7265990999294,1584.7363288999768,1585.8219108999474,0.5604950999841094,560.4950999841094,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,4.0,m,016_y_m_n_a.jpg,neutral,s,17,3,1585.827524399967,1586.1219199999468,1586.353096100036,1586.5110216999892,1586.5137195999268,1586.5503000000026,1586.553229299956,1587.4736588000087,s,1,1586.553229299956,1587.4736588000087,1587.4829765999457,1588.6801382999402,0.9090801000129431,909.0801000129431,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1.0,m,004_o_m_s_a.jpg,sad,a,1,3,1588.6842186999274,1588.9801600000355,1589.0023852000013,1589.0107327000005,1589.0111750999931,1589.0480652999831,1589.0481883999892,1590.822561900015,None,0,1589.0481883999892,1590.822561900015,1590.8296998000005,1592.455283600022,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,1592.460841299966,1592.7553962999955,1592.7795828999951,1592.9155018000165,1592.919269099948,1592.9601816999493,1592.9654375000391,1594.7930602999404,None,0,1592.9654375000391,1594.7930602999404,1594.799591399962,1596.046969500021,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9.0,f,021_o_f_s_a.jpg,sad,a,17,3,1596.0509975999594,1596.3470914999489,1596.3616430999245,1596.4986929999432,1596.5029623999726,1596.541715499945,1596.5471113999374,1598.100273799966,a,1,1596.5471113999374,1598.100273799966,1598.1105706000235,1599.2720921,1.5392385000595823,1539.2385000595823,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,7.0,f,012_o_f_n_a.jpg,neutral,s,1,3,1599.2781613999978,1599.5721851999406,1599.8030940999743,1599.8114415999735,1599.8120797999436,1599.8482511999318,1599.8480806000298,1601.431472599972,None,0,1599.8480806000298,1601.431472599972,1601.436443899991,1603.18881219998,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
