trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,9.0,f,021_o_f_s_a.jpg,sad,a,3,1,463.8630726000001,464.1602576399997,464.1708343,464.1932877400001,464.19388309999977,464.23010553999995,464.2306171,465.14726294000013,a,1,464.2306171,465.14726294000013,465.1554237999999,466.1602983400004,0.9013339000002816,901.3339000002816,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,5.0,m,027_o_m_s_a.jpg,sad,a,17,1,466.16329419999965,466.4603234399998,466.4825299000004,466.62027163999994,466.6235372000001,466.66160593999996,466.66465059999973,467.79567733999977,a,1,466.66465059999973,467.79567733999977,467.8040586999996,468.92701613999964,1.1232385999992403,1123.2385999992403,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,468.9307507000003,469.2270647399997,469.2486520000002,469.2717311399998,469.2722450000001,469.31157313999995,469.31308759999956,469.95711034,d,1,469.31308759999956,469.95711034,469.9654279999995,471.7522016400004,0.6347492000004422,634.7492000004422,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,3.0,m,013_y_m_s_a.jpg,sad,a,3,1,471.75767579999956,472.05210734000013,472.0735590000004,472.09577544000024,472.0962006,472.13047324,472.1309900999995,473.37371333999965,s,0,472.1309900999995,473.37371333999965,473.3810983000003,474.4438115400004,1.23278929999924,1232.78929999924,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,5.0,m,027_o_m_s_a.jpg,sad,a,3,1,474.4478210999996,474.7438154400003,474.7637241000002,474.78667224000003,474.7872271999995,474.8225877399997,474.8238760000004,475.90829624000037,a,1,474.8238760000004,475.90829624000037,475.9164952000001,476.9771675400003,1.0681089999998221,1068.1089999998221,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,476.9799839999996,477.2771000400004,477.28929770000013,477.3123231400001,477.31394439999985,477.3502355400002,477.35299980000036,478.11686194000015,s,0,477.35299980000036,478.11686194000015,478.12514029999966,479.81883163999976,0.754829499999687,754.829499999687,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,479.8217029999996,480.11891293999963,480.3511330000001,480.51203143999976,480.51653069999975,480.55747803999986,480.5627039000001,481.38030554,s,1,480.5627039000001,481.38030554,481.3859795999997,483.3689820400001,0.8091137000001254,809.1137000001254,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,3.0,m,013_y_m_h_a.jpg,happy,d,3,1,483.37195280000014,483.6689102400002,483.8991070000002,483.92598323999994,483.92885430000024,483.96871883999995,483.9735764999996,485.40375654,d,1,483.9735764999996,485.40375654,485.41295139999966,486.57739754000033,1.414350299999569,1414.350299999569,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,5.0,m,027_o_m_s_a.jpg,sad,a,17,1,486.5819585999998,486.87734413999954,486.89068059999954,487.0290494400002,487.0321334999999,487.07138223999993,487.07535670000016,487.7531949399996,s,0,487.07535670000016,487.7531949399996,487.76309930000025,489.72747494,0.664472399999795,664.472399999795,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,5.0,m,027_o_m_s_a.jpg,sad,a,3,1,489.73282310000013,490.02747383999997,490.05070259999957,490.07327683999995,490.07409649999954,490.11195594000003,490.11352929999975,491.91840474,None,0,490.11352929999975,491.91840474,491.9258221,493.0691872399999,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
