trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,133.6446787,133.94033281000029,134.1412481000002,134.16753801000013,134.16844660000015,134.2029556100002,134.20351070000015,134.98737571,s,0,0.7750541000000339,775.0541000000339,134.20351070000015,134.98737571,134.9969974999999,136.2654080100002,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,136.2707206,136.5654062100003,136.76833560000023,136.93768680999992,136.94265870000027,136.98345260999994,136.9873878000003,137.32427801000003,a,1,0.32727939999995215,327.27939999995215,136.9873878000003,137.32427801000003,137.33572589999994,138.58214051000013,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,138.58603429999994,138.8820700100001,139.0931856000002,139.12069811,139.12418460000026,139.1647844099999,139.1698825000003,140.13034891000015,d,0,0.9447070999999596,944.7070999999596,139.1698825000003,140.13034891000015,140.13993010000013,141.5237909100002,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,141.52791690000004,141.82394050999991,142.0621959,142.21810491000005,142.21964460000027,142.25692241000033,142.2595467000001,142.72556541000003,s,1,0.45514630000025136,455.14630000025136,142.2595467000001,142.72556541000003,142.7319964000003,144.5904379100003,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,144.5905885000002,144.89063681000025,145.11304210000026,145.1385213100003,145.14247920000025,145.18234341000024,145.18732099999988,145.87017191000004,d,1,0.67126399999961,671.26399999961,145.18732099999988,145.87017191000004,145.88213110000015,147.74897831000007,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,147.75441900000033,148.04908951000024,148.29155119999996,148.31816991000014,148.31845500000009,148.35252550999994,148.35317780000014,150.1794334100001,None,0,,,148.35317780000014,150.1794334100001,150.18703480000022,152.0324147100001,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,152.03794490000018,152.3324110100003,152.53994890000013,152.5660719100002,152.56691870000031,152.6026144100002,152.60335280000027,153.2664283099999,d,1,0.6474210000001221,647.4210000001221,152.60335280000027,153.2664283099999,153.2756991000001,155.0991085100005,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,155.10335420000047,155.3992050099997,155.49643060000017,155.63415190999976,155.63762730000053,155.67872261000056,155.68399599999975,156.13333581000015,a,1,0.4387431999994078,438.7431999994078,155.68399599999975,156.13333581000015,156.1448166,157.96589391000006,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,157.97022620000007,158.2658026099999,158.49415899999985,158.6534805100001,158.65822790000038,158.69943561000045,158.70427610000024,159.1523579100004,s,1,0.43449909999981173,434.49909999981173,158.70427610000024,159.1523579100004,159.16348149999976,160.56600011000054,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,3,1,160.57160470000053,160.86601451000033,160.89203429999998,160.9150532100003,160.91587460000028,160.95052501000018,160.95060889999968,161.49061190999973,d,1,0.5238799999997354,523.8799999997354,160.95060889999968,161.49061190999973,161.4990883999999,163.20772191000023,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,17,1,163.2135212000003,163.50765991000034,163.53089770000042,163.66758381000008,163.67059810000046,163.7089179100004,163.71206090000032,164.1053145100005,d,1,0.3784413000003042,378.4413000003042,163.71206090000032,164.1053145100005,164.11201840000012,165.8326798099998,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,17,1,165.8359218000005,166.1326830099998,166.35625489999984,166.51761341000028,166.5222530000001,166.56304870999983,166.56834450000042,166.9445991100002,s,1,0.3622070999999778,362.2070999999778,166.56834450000042,166.9445991100002,166.95760520000022,168.20783880999997,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,3,1,168.21323680000023,168.50772110999978,168.53108940000038,168.55383111,168.5548971999997,168.59234111000032,168.59349949999978,169.73973330999988,s,0,1.1372166000001016,1137.2166000001016,168.59349949999978,169.73973330999988,169.74801130000014,171.23287881000041,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,171.2371578000002,171.5327704100001,171.55308510000032,171.5753084099998,171.5760151000004,171.61163231000054,171.61204739999994,172.09628901000005,d,1,0.470437299999503,470.437299999503,171.61204739999994,172.09628901000005,172.1030227000001,173.82457341000017,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,173.83073760000025,174.12458610999974,174.33947809999972,174.36630931000045,174.3693062000002,174.40809971000007,174.4119464000005,174.90024101000026,d,1,0.4788528999997652,478.8528999997652,174.4119464000005,174.90024101000026,174.9127857000003,176.25797161,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,3,1,176.2622405000002,176.55787960999996,176.58095310000044,176.6043670099999,176.6048652999998,176.64246431,176.6425747000003,177.25329550999967,d,1,0.6000715999998647,600.0715999998647,176.6425747000003,177.25329550999967,177.2628190000005,178.6078827100001,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,178.61188159999983,178.90789801000037,179.1184542000001,179.14411541000035,179.14470520000032,179.18281311000018,179.18791620000047,179.65613541000047,d,1,0.45459780000055616,454.59780000055616,179.18791620000047,179.65613541000047,179.66388629999983,181.0997248100003,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,181.10575900000003,181.39968141000017,181.63661950000005,181.66214210999996,181.6624922000001,181.69823411000024,181.6985762000004,182.2613200100005,a,1,0.5520218000001478,552.0218000001478,181.6985762000004,182.2613200100005,182.2706379000001,183.84135840999997,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,183.84549229999993,184.14146541,184.16334490000008,184.18640931000036,184.1870125000005,184.22593271000014,184.2270993000002,184.82581841000055,s,0,0.5837493999997605,583.7493999997605,184.2270993000002,184.82581841000055,184.8342702,185.94143240999992,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,185.94555860000037,186.24142511,186.26778920000015,186.29011791000002,186.29096170000048,186.32585651000053,186.32586059999994,186.86154461000032,d,1,0.524655299999722,524.655299999722,186.32586059999994,186.86154461000032,186.86896419999994,188.83319760999993,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,188.83881949999977,189.13323881000005,189.1609166999997,189.29316781000043,189.29752280000048,189.33852691,189.34383040000012,189.65991671000037,d,1,0.30674809999982244,306.74809999982244,189.34383040000012,189.65991671000037,189.67140420000032,191.50810121000004,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,191.51102300000002,191.80830600999988,192.0645531,192.22284881000004,192.22735639999974,192.26841321000038,192.27277709999998,192.71246451000033,s,1,0.42578279999997903,425.78279999997903,192.27277709999998,192.71246451000033,192.72440090000055,193.78334391000053,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,193.7877193000004,194.08322770999993,194.10769810000056,194.24326781000045,194.24659229999997,194.28448530999967,194.2892850999997,194.60312581000025,s,0,0.29734280000047875,297.34280000047875,194.2892850999997,194.60312581000025,194.61373090000052,195.69999771000047,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,195.7040616000004,195.99985080999986,196.0124262999998,196.0352519099998,196.0351139000004,196.07098981000044,196.07274700000016,196.51807971000025,d,1,0.4339341999993849,433.9341999993849,196.07274700000016,196.51807971000025,196.5264930000003,197.7001346099997,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,197.70639680000022,197.9998060099998,198.23384570000053,198.25979380999988,198.2599024000001,198.29523050999987,198.29559440000048,198.89026551000015,a,1,0.5870459999996456,587.0459999996456,198.29559440000048,198.89026551000015,198.90036210000017,200.03336340999985,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,17,1,200.03736490000028,200.33338140999976,200.5375813999999,200.69693041000036,200.70066529999986,200.73779080999984,200.7409190999997,201.1378045100001,s,1,0.3896181999998589,389.6181999998589,200.7409190999997,201.1378045100001,201.14544260000002,202.6917679099998,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,202.69467220000024,202.9917694100005,203.2131900000004,203.23893400999995,203.2390531000001,203.27620201,203.27636940000048,203.97991101000034,s,1,0.6943084000004092,694.3084000004092,203.27636940000048,203.97991101000034,203.9894578000003,205.9085579100002,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,205.91284540000015,206.2085555100003,206.41047200000048,206.57202420999974,206.57683369999995,206.6174963100003,206.62255470000036,207.09050830999976,s,1,0.4600595000001704,460.0595000001704,206.62255470000036,207.09050830999976,207.10110170000007,209.00855970999973,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,209.01285139999982,209.3085696099998,209.55445500000042,209.71375421000002,209.71887119999974,209.75819830999998,209.76195890000054,210.16318431000045,s,1,0.3927446999996391,392.7446999996391,209.76195890000054,210.16318431000045,210.1715610000001,212.11700330999983,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,212.12022220000017,212.4168625100002,212.64529800000037,212.81118381000041,212.8157239000002,212.8569059100001,212.8618948000003,213.13824640999982,s,1,0.26079289999961475,260.79289999961475,212.8618948000003,213.13824640999982,213.14894619999995,215.04200491000037,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11.0,f,030_o_f_n_a.jpg,neutral,s,17,1,215.0462051000004,215.34200790999975,215.54684960000031,215.71050071,215.71505890000026,215.7558445100004,215.76097089999985,216.21004320999972,s,1,0.43369199999960983,433.69199999960983,215.76097089999985,216.21004320999972,216.22064200000023,217.61710271,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,217.62091359999977,217.9171242100002,218.1298568000002,218.15651550999982,218.15963459999966,218.20060901000042,218.20386430000053,218.74441121000027,d,1,0.5266405000002123,526.6405000002123,218.20386430000053,218.74441121000027,218.7525297000002,219.78382451000024,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,219.78773509999974,220.0838437100002,220.2892836000001,220.45975901000028,220.4644748999999,220.50563811000038,220.51066119999996,220.95928921000004,a,1,0.43622549999963667,436.22549999963667,220.51066119999996,220.95928921000004,220.9708986000005,222.81728460999975,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,222.82159860000047,223.11722911000024,223.33049850000043,223.4937326099999,223.49861070000043,223.53928661000018,223.5445553999998,223.90025591000003,s,1,0.34615709999980027,346.15709999980027,223.5445553999998,223.90025591000003,223.9116623,225.43391571000038,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,225.44012380000004,225.73394080999978,225.75982790000035,225.89395191000048,225.8989787999999,225.9394331100003,225.94438809999974,226.8686838100003,a,1,0.9141970000000583,914.1970000000583,225.94438809999974,226.8686838100003,226.8763125000005,228.75064801000016,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,228.7549608999998,229.05070201000044,229.28816610000013,229.31386051000035,229.31475930000033,229.35181630999986,229.35339139999996,229.8610485099999,s,1,0.49713489999976446,497.13489999976446,229.35339139999996,229.8610485099999,229.86857150000014,231.1756386099997,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
