trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,90.40921170000001,93.39803281000022,93.40255789999992,99.22251291000029,None,93.40255789999992,99.22251291000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,,,,,,,,,,,,,,,,99.22302770000033,101.5376887100002,d,2.307597900000019,99.22302770000033,101.5376887100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,101.54172999999992,101.83123540999995,102.06001680000008,102.08805450999998,102.09604590000026,102.1324717100002,102.13303360000009,103.44834651000028,s,0,1.301521800000046,1301.521800000046,102.13303360000009,103.44834651000028,103.45352230000026,105.29812661000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,105.30053050000015,105.59810901,105.79185140000027,105.95083891000021,105.95377170000029,105.9943838099999,105.99769370000013,107.03707801000027,a,1,1.0288471999997455,1028.8471999997455,105.99769370000013,107.03707801000027,107.04037740000012,108.3315827100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,108.33301269999993,108.63158991000009,108.82418760000019,108.97799661000008,108.98091810000005,109.02084470999998,109.02394060000006,109.63597861000025,s,1,0.6026244000004226,602.6244000004226,109.02394060000006,109.63597861000025,109.64142179999999,110.90661740999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,110.9080097000001,111.20662351000018,111.40067910000016,111.56437791000016,111.56718060000003,111.60719311000011,111.61007380000001,112.04414011000026,d,1,0.42452110000022003,424.52110000022003,111.61007380000001,112.04414011000026,112.04756889999999,113.23167451000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,113.23369230000026,113.53164690999992,113.72575910000023,113.75245161000029,113.75479600000017,113.79375901000012,113.79694070000005,114.34801840999998,s,1,0.5418371000000661,541.8371000000661,113.79694070000005,114.34801840999998,114.35332860000017,115.71497460999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.75609430000031,118.74843870999993,118.74995530000024,121.7729594100002,d,3.012531300000319,3012.531300000319,118.74995530000024,121.7729594100002,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,121.77808159999995,122.06508501000016,122.30929130000004,122.33667191000004,122.33799820000013,122.37484400999992,122.37836700000025,123.52034261000026,a,1,1.1281104999998206,1128.1104999998206,122.37836700000025,123.52034261000026,123.52979159999995,125.09848780999991,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,125.10510870000007,125.39854101,125.59711040000002,125.75519820999997,125.75982210000029,125.80017310999992,125.8052144000003,126.17223131,s,1,0.3573252000001048,357.3252000001048,125.8052144000003,126.17223131,126.18382130000009,128.07358140999995,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,128.07745730000033,128.37356511000016,128.60278640000024,128.76073811000023,128.7648419000002,128.80545020999998,128.81030280000004,129.45092121000025,a,1,0.6324732000002768,632.4732000002768,128.81030280000004,129.45092121000025,129.46243099999992,131.01530001,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,131.0207660000001,131.31539561000008,131.5064937000002,131.53287661000022,131.53329650000023,131.56739491000016,131.5673812,132.08384491000024,d,1,0.507084500000019,507.08450000001903,131.5673812,132.08384491000024,132.0910113,133.64038801000024,EMOCONPILOT008,2020_Dec_12_1046,EmoCon_Pilot_120Hz,2020.2.4,119.97355782837421,
