trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,7.0,f,012_o_f_s_a.jpg,sad,a,17,2,678.5731627000496,678.8648257200839,678.911861200002,679.0479107199935,679.0481959000463,679.0897296200274,679.0916659000795,679.6975903200218,a,1,679.0916659000795,679.6975903200218,679.7079189000651,681.1063578200992,0.5963192000053823,596.3192000053823,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,12.0,f,040_y_f_n_a.jpg,neutral,s,17,2,681.1066001000581,681.4063805200858,682.0206813000841,682.1564420200884,682.1562798999948,682.197997820098,682.199468200095,682.5726934201084,s,1,682.199468200095,682.5726934201084,682.5744617000455,684.3729452200932,0.36024089995771646,360.24089995771646,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,6.0,m,033_o_m_h_a.jpg,happy,d,2,2,684.3731766000856,684.672942019999,684.7115601000842,684.7246009201044,684.7228272000793,684.7642684200546,684.7643876000075,685.9643796200398,d,1,684.7643876000075,685.9643796200398,685.9729610000504,687.2227396200178,1.187922800076194,1187.922800076194,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2.0,m,008_y_m_n_a.jpg,neutral,s,17,2,687.2227151000407,687.5227549200645,688.1513612000272,688.289590420085,688.2897187999915,688.3312887200154,688.3324797000969,688.9559203200042,s,1,688.3324797000969,688.9559203200042,688.9574087000219,690.3142793200677,0.6111581999575719,611.1581999575719,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,12.0,f,040_y_f_h_a.jpg,happy,d,2,2,690.3143448000774,690.6145909200422,690.6607964000432,690.6735718200216,690.6726504000835,690.714416920091,690.7145376000553,692.2145288200118,None,0,690.7145376000553,692.2145288200118,692.214335000026,693.4642655201023,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,9.0,f,021_o_f_h_a.jpg,happy,d,2,2,693.4643526000436,693.7645962201059,694.36999929999,694.3825113200583,694.3811672000447,694.4227735199966,694.4227163000032,695.5893450200092,a,0,694.4227163000032,695.5893450200092,695.590613800101,696.9312766200164,1.1530349000822753,1153.0349000822753,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,6.0,m,033_o_m_h_a.jpg,happy,d,17,2,696.9308632999891,697.2313441199949,697.2785836000694,697.4147251200629,697.4147118000546,697.4562247199938,697.4645803000312,697.9559766200837,d,1,697.4645803000312,697.9559766200837,697.9571253000759,699.5729799200781,0.4794880000408739,479.4880000408739,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,2.0,m,008_y_m_n_a.jpg,neutral,s,17,2,699.5731977000833,699.8729607200949,700.4926187000237,700.6313936200459,700.6311018000124,700.673056520056,700.6738688000478,701.1642231200822,s,1,700.6738688000478,701.1642231200822,701.1658174000913,702.3231706200168,0.4778215999249369,477.8215999249369,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,10.0,f,028_y_f_n_a.jpg,neutral,s,2,2,702.3253428000025,702.623022820102,702.7619217000902,702.7741472200723,702.7727946999948,702.8144180200761,702.8144453000277,703.8644200200215,s,1,702.8144453000277,703.8644200200215,703.8729680000106,705.6311882199952,1.0416064000455663,1041.6064000455663,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,6.0,m,033_o_m_h_a.jpg,happy,d,17,2,705.6315334000392,705.9311791200889,705.9673301000148,706.1064876200398,706.1064871000126,706.1481668200577,706.1495061999885,706.5059707200853,d,1,706.1495061999885,706.5059707200853,706.5075990000041,707.6229518200271,0.3462764999130741,346.2764999130741,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,5.0,m,027_o_m_s_a.jpg,sad,a,2,2,707.6228383000707,707.9229662200669,707.9530910000904,707.9653470200719,707.9644707000116,708.0062189199962,708.0061971000396,709.0228572200285,d,0,708.0061971000396,709.0228572200285,709.0312198000029,710.5479320200393,1.0016824000049382,1001.6824000049382,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,7.0,f,012_o_f_s_a.jpg,sad,a,2,2,710.5494002000196,710.8481085200328,710.8863538000733,710.8993620200781,710.8977854000404,710.9392665200867,710.9395309000975,711.8229116200237,d,0,710.9395309000975,711.8229116200237,711.8235092000104,713.1059599200962,0.8683264999417588,868.3264999417588,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2.0,m,008_y_m_h_a.jpg,happy,d,2,2,713.1061775000999,713.4063227199949,713.4331718999892,713.4478385200491,713.4478085000301,713.4894251200603,713.4893310000189,714.0228394200094,s,0,713.4893310000189,714.0228394200094,714.023175700102,715.6641189201036,0.5263091999804601,526.3091999804601,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,7.0,f,012_o_f_h_a.jpg,happy,d,17,2,715.6641721000196,715.9644586200593,715.9891459000064,716.122947020107,716.1229905000655,716.1646613200428,716.1644701000769,716.5729009200586,d,1,716.1644701000769,716.5729009200586,716.5756166999927,717.6479909199988,0.39527600002475083,395.27600002475083,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,10.0,f,028_y_f_s_a.jpg,sad,a,2,2,717.6482100000139,717.9474412200507,717.9707964000991,717.9832505200757,717.9810492000543,718.0226297200425,718.0227878000587,719.5228313200641,None,0,718.0227878000587,719.5228313200641,719.5226828000741,720.8979874200886,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,12.0,f,040_y_f_s_a.jpg,sad,a,2,2,720.8976664000656,721.1979316200595,721.2365310000023,721.2495446200483,721.247831900022,721.2895007201005,721.2895170000847,722.5643258200726,s,0,721.2895170000847,722.5643258200726,722.5659037000732,724.0394028200535,1.2621955999638885,1262.1955999638885,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,2.0,m,008_y_m_n_a.jpg,neutral,s,2,2,724.0394993000664,724.3398114200681,724.9612899000058,724.9736582200276,724.9726110000629,725.0144110200927,725.0145207000896,725.7478913200321,s,1,725.0145207000896,725.7478913200321,725.7487856000662,727.214614620083,0.7210727999918163,721.0727999918163,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,11.0,f,030_o_f_s_a.jpg,sad,a,17,2,727.2142863000045,727.5146103200968,727.6484656000976,727.7812608201057,727.7813021000475,727.8228374200407,727.8228763000807,728.8809166200226,a,1,727.8228763000807,728.8809166200226,728.8818889000686,730.0645973200444,1.0488927999977022,1048.8927999977022,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,9.0,f,021_o_f_n_a.jpg,neutral,s,17,2,730.0644022000488,730.3646360200364,730.500181700103,730.6396856200881,730.6395276000258,730.6811802200973,730.6811130000278,731.0975149200531,s,1,730.6811130000278,731.0975149200531,731.1081545000197,732.6646482200595,0.40669179998803884,406.69179998803884,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,6.0,m,033_o_m_h_a.jpg,happy,d,17,2,732.6730384000111,732.9644759200746,732.9983922000974,733.1311668200651,733.1313162000151,733.1729812200647,733.1734886000631,733.5725880200043,d,1,733.1734886000631,733.5725880200043,733.5738023000304,734.6309519200586,0.3865814000600949,386.5814000600949,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,3.0,m,013_y_m_s_a.jpg,sad,a,17,2,734.631059300038,734.9313067200128,734.9588284000056,735.098137020017,735.0981084000086,735.1396771200234,735.1415303000249,735.7559091200819,a,1,735.1415303000249,735.7559091200819,735.7573384999996,737.2811996201053,0.6021524000680074,602.1524000680074,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,12.0,f,040_y_f_s_a.jpg,sad,a,17,2,737.2816278000828,737.5812441200251,737.6160562000005,737.7563856201014,737.7562656000955,737.7979565201094,737.8064441999886,738.3814956200076,a,1,737.8064441999886,738.3814956200076,738.390826900024,740.1061413200805,0.5612377999350429,561.2377999350429,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,11.0,f,030_o_f_s_a.jpg,sad,a,17,2,740.1063069000375,740.4062641200144,741.0080111999996,741.1478565200232,741.1480146000395,741.1896571200341,741.1898104000138,741.656006520032,a,1,741.1898104000138,741.656006520032,741.6560968999984,743.1476693199947,0.4504549999255687,450.4549999255687,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8.0,f,019_m_f_n_a.jpg,neutral,s,2,2,743.147848600056,743.4477242199937,743.6162762000458,743.6310227200156,743.6310393000022,743.6727138200076,743.6728215999901,744.4394217201043,s,1,743.6728215999901,744.4394217201043,744.4404789000982,745.8311174201081,0.7590634999796748,759.0634999796748,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,6.0,m,033_o_m_h_a.jpg,happy,d,17,2,745.8311530000065,746.1312211200129,746.1745950999903,746.3146718200296,746.3144883000059,746.356349520036,746.3566883000312,746.6477638200158,d,1,746.3566883000312,746.6477638200158,746.6480783000588,748.5644803200848,0.2834095999132842,283.4095999132842,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,9.0,f,021_o_f_s_a.jpg,sad,a,17,2,748.5643305000849,748.8645187200746,748.9014607000863,749.0396545201074,749.0394943000283,749.0813263200689,749.0813717000419,749.9228487201035,a,1,749.0813717000419,749.9228487201035,749.9240276000928,751.3977185200201,0.8302523999009281,830.2523999009281,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,4.0,m,016_y_m_n_a.jpg,neutral,s,2,2,751.3977469000965,751.6978685200447,752.3302857000381,752.3421752200229,752.3392118000193,752.381020019995,752.3811361000407,752.972780720098,s,1,752.3811361000407,752.972780720098,752.9732507000444,754.4310675200541,0.5784591999836266,578.4591999836266,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,8.0,f,019_m_f_h_a.jpg,happy,d,2,2,754.4311045000795,754.7312615200644,754.7778134000255,754.7906799199991,754.7892403000733,754.8308733199956,754.8309653000906,755.2311382200569,s,0,754.8309653000906,755.2311382200569,755.2316668001004,756.3561757201096,0.38496099994517863,384.9609999451786,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,3.0,m,013_y_m_n_a.jpg,neutral,s,2,2,756.3645220000762,756.6563471200643,757.2833150000079,757.2977099200943,757.2976726000197,757.339339820086,757.3392931000562,757.7476872201078,s,1,757.3392931000562,757.7476872201078,757.7495724000037,759.2479765200987,0.3963860999792814,396.3860999792814,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,12.0,f,040_y_f_s_a.jpg,sad,a,2,2,759.2484266000101,759.5479514200706,759.5981663001003,759.6102230200777,759.6081090000225,759.6476595200365,759.6478096999926,760.1059381200466,s,0,759.6478096999926,760.1059381200466,760.1072057000129,761.7395236199955,0.44790089991874993,447.90089991874993,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,4.0,m,016_y_m_h_a.jpg,happy,d,2,2,761.7413533000508,762.039427820011,762.0531857000897,762.0659678200027,762.0642886999995,762.1060787200695,762.1061250000494,762.4141587200575,s,0,762.1061250000494,762.4141587200575,762.422843700042,764.2395091200015,0.29370479995850474,293.70479995850474,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,11.0,f,030_o_f_s_a.jpg,sad,a,2,2,764.2478841000702,764.5395467201015,765.1408801000798,765.1560145200929,765.1560338001,765.1977045200765,765.1977832000703,765.9560894200113,s,0,765.1977832000703,765.9560894200113,765.956454200088,767.8644958200166,0.7458474999293685,745.8474999293685,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,9.0,f,021_o_f_s_a.jpg,sad,a,2,2,767.8644441000652,768.1643228200264,768.2048889000434,768.2167480200296,768.214187100064,768.2559998200741,768.256040600012,768.9558654200519,s,0,768.256040600012,768.9558654200519,768.9567616001004,770.7313189200358,0.687587600084953,687.587600084953,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,9.0,f,021_o_f_h_a.jpg,happy,d,2,2,770.7312983000884,771.0310766201001,771.6318968000123,771.6434210200096,771.6411521000555,771.681079120026,771.6807323000394,772.4643487200374,s,0,771.6807323000394,772.4643487200374,772.4651773000369,774.1396112201037,0.7751308000879362,775.1308000879362,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,9.0,f,021_o_f_n_a.jpg,neutral,s,2,2,774.141202100087,774.4397241200786,774.5891404000577,774.600490820012,774.59779540007,774.6393313200679,774.6391493000556,775.4808394199936,s,1,774.6391493000556,775.4808394199936,775.4820081000216,776.9391181200044,0.8326385000254959,832.6385000254959,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,4.0,m,016_y_m_s_a.jpg,sad,a,2,2,776.9393257000484,777.2395158200525,777.2851460000966,777.2976167200832,777.2976020000642,777.3393197200494,777.3394119000295,778.4641497200355,s,0,777.3394119000295,778.4641497200355,778.4748062000144,779.8228305201046,1.1163663000334054,1116.3663000334054,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,10.0,f,028_y_f_h_a.jpg,happy,d,2,2,779.8229783000425,780.1230560200056,780.163217500085,780.1754826200195,780.17259010009,780.2143180200364,780.2144272000296,781.71419092,None,0,780.2144272000296,781.71419092,781.7143408000702,782.8063039201079,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,8.0,f,019_m_f_s_a.jpg,sad,a,2,2,782.807973899995,783.1062416200293,783.7399033000693,783.7514072200283,783.7489452000009,783.7894841200905,783.7921908000717,784.5810469200369,s,0,783.7921908000717,784.5810469200369,784.5821916999994,785.8645638200687,0.7756131999194622,775.6131999194622,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,3.0,m,013_y_m_h_a.jpg,happy,d,2,2,785.8647725000046,786.1645777201047,786.3197163000004,786.3318848200142,786.3309910000535,786.3726400200976,786.3727835000027,787.8726732200012,None,0,786.3727835000027,787.8726732200012,787.8726884000935,789.0477282200009,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,5.0,m,027_o_m_n_a.jpg,neutral,s,2,2,789.0476366000948,789.3477177200839,789.4929339000955,789.5059629200259,789.5060156000545,789.547540120082,789.5477780000074,790.8310070200823,s,1,789.5477780000074,790.8310070200823,790.8318187000696,792.5897765200352,1.275847600074485,1275.847600074485,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1.0,m,004_o_m_n_a.jpg,neutral,s,2,2,792.5911799999885,792.8895623200806,793.023010600009,793.0340887201019,793.0311262999894,793.0724781200988,793.0725447000004,794.5727299200371,None,0,793.0725447000004,794.5727299200371,794.5727246000897,796.3228747200919,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,11.0,f,030_o_f_n_a.jpg,neutral,s,2,2,796.3226145000663,796.6226987200789,796.7590521000093,796.7724632200552,796.7726637000451,796.8142851199955,796.8143152000848,797.4724892200902,s,1,796.8143152000848,797.4724892200902,797.473378600087,798.9977849200368,0.649406399927102,649.406399927102,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,10.0,f,028_y_f_s_a.jpg,sad,a,2,2,798.9975742000388,799.2978288200684,799.3402074000333,799.352131820051,799.3496120000491,799.3892834200524,799.389173500007,799.7893495199969,s,0,799.389173500007,799.7893495199969,799.7899370000232,801.514619720052,0.3864257000386715,386.4257000386715,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.6692897001049,824.9477189200697,s,23.26652780000586,23266.52780000586,801.6692897001049,824.9477189200697,0,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,824.9558967000339,825.2475835200166,825.8452846000437,825.9809949200135,825.9808459000196,826.0228052200982,826.0250110999914,826.5807237200206,d,1,826.0250110999914,826.5807237200206,826.5892048000824,828.3227795200655,0.5428323999512941,542.8323999512941,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0,m,027_o_m_h_a.jpg,happy,d,17,3,828.3243085000431,828.622880220064,828.7665649000555,828.9063169200672,828.9062221000204,828.9476554200519,828.9492111,829.4393755201017,d,1,828.9492111,829.4393755201017,829.43983570009,831.0975521201035,0.47453759994823486,474.53759994823486,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.0,f,012_o_f_s_a.jpg,sad,a,1,3,831.0977260000072,831.3977449201047,831.4391682000132,831.4474675200181,831.4447116000811,831.4809173200047,831.4808919000207,832.8227073200978,s,0,831.4808919000207,832.8227073200978,832.8240236000856,834.6229373200331,1.3268898000242189,1326.8898000242189,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,m,027_o_m_h_a.jpg,happy,d,1,3,834.6234522000886,834.9226740200538,835.5205521000316,835.5288514200365,835.5257326000137,835.5641073200386,835.5641218000092,837.0642684201011,None,0,835.5641218000092,837.0642684201011,837.0643822000129,838.6727313200245,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,838.6742930000182,838.9726499200333,839.0055506000062,839.1393579200376,839.1392996000359,839.1812324200291,839.1812301999889,839.7223171200603,s,0,839.1812301999889,839.7223171200603,839.7239600000903,840.8561278200941,0.5303940000012517,530.3940000012517,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
