trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5.0,m,027_o_m_h_a.jpg,happy,d,17,2,601.7152820000192,602.0148855200969,602.6154624000192,602.7482480200706,602.7480906000128,602.789981220034,602.7905524000525,603.1813139200676,d,1,602.7905524000525,603.1813139200676,603.1818683000747,604.2647891200613,0.3773490000749007,377.3490000749007,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,12.0,f,040_y_f_n_a.jpg,neutral,s,2,2,604.2646939000115,604.5647695200751,604.7165303000947,604.7310663200915,604.731257300009,604.7727465200005,604.7729877000675,605.631082620006,s,1,604.7729877000675,605.631082620006,605.6395142000401,607.2648327200441,0.8508152000140399,850.8152000140399,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2.0,m,008_y_m_h_a.jpg,happy,d,17,2,607.2653148000827,607.5648604200687,607.612538699992,607.7480403200025,607.7480437000049,607.7895203200169,607.7897269000532,608.1313737200107,d,1,607.7897269000532,608.1313737200107,608.1318374000257,609.6644826200791,0.3301384999649599,330.1384999649599,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,6.0,m,033_o_m_h_a.jpg,happy,d,17,2,609.6645338000963,609.9645859200973,609.9926502000308,610.1313299200265,610.1313457000069,610.1732163201086,610.1815307000652,610.7646604200127,d,1,610.1815307000652,610.7646604200127,610.7665234000888,611.9392827200936,0.5702209000010043,570.2209000010043,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2.0,m,008_y_m_h_a.jpg,happy,d,17,2,611.9396711000009,612.2397596200462,612.2791440000292,612.4148706200067,612.4146433999995,612.4565144201042,612.4567076000385,612.9980051200837,d,1,612.4567076000385,612.9980051200837,612.9993756000185,614.9064183200244,0.5269361999817193,526.9361999817193,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,12.0,f,040_y_f_h_a.jpg,happy,d,17,2,614.906402099994,615.2064702200005,615.2436241999967,615.3814619201003,615.3814556000289,615.4231438200222,615.4228975001024,616.0142940200167,d,1,615.4228975001024,616.0142940200167,616.015675600036,617.4398755200673,0.5767357000149786,576.7357000149786,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,10.0,f,028_y_f_n_a.jpg,neutral,s,17,2,617.4400556000182,617.7398298199987,618.3296389000025,618.464624520042,618.4648177000927,618.5062532200245,618.5064218000043,618.964684620034,s,1,618.5064218000043,618.964684620034,618.9655808000825,620.5565054200124,0.44533579994458705,445.33579994458705,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,12.0,f,040_y_f_s_a.jpg,sad,a,17,2,620.557333100005,620.8565293200081,620.9053517000284,621.0396189200692,621.0397439000662,621.0813916201005,621.0811984000029,621.6562325200066,a,1,621.0811984000029,621.6562325200066,621.6645533000119,623.598179420107,0.56664550001733,566.64550001733,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5.0,m,027_o_m_n_a.jpg,neutral,s,2,2,623.6065959000262,623.898102820036,624.5043245000998,624.5164893200854,624.5144767001038,624.5562105200952,624.5563104000175,626.0562455200125,None,0,624.5563104000175,626.0562455200125,626.0563036000822,627.2562416200526,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4.0,m,016_y_m_s_a.jpg,sad,a,17,2,627.2561581000919,627.5565574200591,627.6049419000046,627.7397205200978,627.7397214000812,627.7812858200632,627.781365300063,628.3726934200386,a,1,627.781365300063,628.3726934200386,628.3734923000447,629.6647104200674,0.5785668001044542,578.5668001044542,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5.0,m,027_o_m_n_a.jpg,neutral,s,2,2,629.6646122999955,629.9651971200947,630.5779540000949,630.5904169200221,630.589534800034,630.6311580199981,630.6313103000866,631.2810660200194,s,1,630.6313103000866,631.2810660200194,631.2897117000539,632.531312820036,0.6406905999174342,640.6905999174342,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10.0,f,028_y_f_s_a.jpg,sad,a,17,2,632.5313558999915,632.8311313200975,632.866616900079,633.0063438200159,633.006302600028,633.0481723200064,633.0483348000562,634.0893598200055,d,0,633.0483348000562,634.0893598200055,634.0902555000503,635.3981067200657,1.0313974000746384,1031.3974000746384,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,3.0,m,013_y_m_n_a.jpg,neutral,s,17,2,635.3978863999946,635.698110420024,636.3256456000963,636.4647500200663,636.465547400061,636.5066087200539,636.5070547000505,636.9980070200982,s,1,636.5070547000505,636.9980070200982,636.9992856000317,638.5065638200613,0.4769126999890432,476.9126999890432,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,4.0,m,016_y_m_s_a.jpg,sad,a,17,2,638.5078309000237,638.8062823200598,638.853496100055,638.9898932200158,638.9980540000834,639.0313523201039,639.0313001000322,639.4480370200472,a,1,639.0313001000322,639.4480370200472,639.4484447001014,641.3646425200859,0.4084565999219194,408.4565999219194,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,12.0,f,040_y_f_h_a.jpg,happy,d,17,2,641.3645495000528,641.6646044200752,641.6692592999898,641.8065047200071,641.8063846000005,641.8481671200134,641.8488916000351,642.2394133200869,d,1,641.8488916000351,642.2394133200869,642.2399232999887,644.006424220046,0.3750199000351131,375.0199000351131,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,5.0,m,027_o_m_n_a.jpg,neutral,s,2,2,644.0065465000225,644.3063877200475,644.9111073000822,644.9226012200816,644.922887600027,644.9645004200283,644.9645774000091,646.2146695200354,a,0,644.9645774000091,646.2146695200354,646.2157955000876,647.6729996200884,1.2353991999989375,1235.3991999989375,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6.0,m,033_o_m_s_a.jpg,sad,a,2,2,647.681377400062,647.9729377200129,648.0089005000191,648.0228579200339,648.0227662000107,648.0643379200483,648.0644589000149,648.9392788200639,d,0,648.0644589000149,648.9392788200639,648.9395038000075,650.0645027200226,0.8631068000104278,863.1068000104278,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,6.0,m,033_o_m_h_a.jpg,happy,d,2,2,650.0646631000564,650.3645256200107,650.3736493000761,650.3853830200387,650.383916700026,650.4229484200478,650.423027300043,651.2810083200457,s,0,650.423027300043,651.2810083200457,651.2825711000478,652.5231589199975,0.8488132000202313,848.8132000202313,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,2.0,m,008_y_m_s_a.jpg,sad,a,17,2,652.5253264000639,652.8229551200056,653.4529154000338,653.5897293200251,653.5895622000098,653.6313810200663,653.6315576999914,654.089308320079,a,1,653.6315576999914,654.089308320079,654.0894196000881,655.472562220064,0.4482193000148982,448.2193000148982,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,1.0,m,004_o_m_n_a.jpg,neutral,s,2,2,655.4725571000017,655.7728296200512,655.9052677000873,655.916543420055,655.9145261000376,655.9561602200847,655.9562701000832,657.1062254200224,d,0,655.9562701000832,657.1062254200224,657.1070770000806,659.0064508200157,1.1394503000192344,1139.4503000192344,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2.0,m,008_y_m_s_a.jpg,sad,a,2,2,659.0148123000981,659.3062981200637,659.4671804000391,659.4811478200136,659.4811903000809,659.5228146200534,659.5229383000406,660.2643658200977,s,0,659.5229383000406,660.2643658200977,660.2645630000625,661.9231037200661,0.7330447999993339,733.0447999993339,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,11.0,f,030_o_f_n_a.jpg,neutral,s,17,2,661.9234717000509,662.2230171200354,662.3611156000989,662.497972620069,662.4979658999946,662.5395273200702,662.5401834000368,663.1646606200375,s,1,662.5401834000368,663.1646606200375,663.1730119000422,664.6395630200859,0.6116805999772623,611.6805999772623,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,11.0,f,030_o_f_n_a.jpg,neutral,s,2,2,664.639602900017,664.9392263200134,665.067805300001,665.0811175201088,665.081199200009,665.1228232200956,665.1229309000773,665.7561911200173,s,1,665.1229309000773,665.7561911200173,665.7571603000397,666.8481948201079,0.6207742999540642,620.7742999540642,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2.0,m,008_y_m_s_a.jpg,sad,a,2,2,666.8500457000919,667.1478158200625,667.3109885000158,667.3227208200842,667.322841300047,667.3644727200735,667.3644129000604,667.8146079200087,s,0,667.3644129000604,667.8146079200087,667.8164348000428,669.2481128200889,0.43552549998275936,435.52549998275936,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,11.0,f,030_o_f_n_a.jpg,neutral,s,2,2,669.2493706000969,669.5477475200314,669.675810100045,669.6894627200672,669.6895163001027,669.7310987201054,669.7312092999928,670.8144073199946,s,1,669.7312092999928,670.8144073199946,670.8154896000633,672.7230088200886,1.0686956000281498,1068.6956000281498,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1.0,m,004_o_m_s_a.jpg,sad,a,2,2,672.7228340000147,673.0228590200422,673.0606946999906,673.0729011200601,673.0728172000963,673.1144624199951,673.1146072000265,674.6144363200292,None,0,673.1146072000265,674.6144363200292,674.6143576999893,675.6812677200651,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,1,0,1,0,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,3.0,m,013_y_m_n_a.jpg,neutral,s,17,2,675.681278700009,675.981230620062,676.6010550000938,676.7395348200807,676.7395646000514,676.7813647200819,676.7897478000959,677.3560296200449,s,1,676.7897478000959,677.3560296200449,677.3572733000619,678.5647172200261,0.5540257999673486,554.0257999673486,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
