trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,7.0,f,012_o_f_s_a.jpg,sad,a,1,3,1140.894264100003,1141.1912458100473,1141.2014230000786,1141.2097643100774,1141.2106113000773,1141.246682010044,1141.248155200039,1141.818654809997,s,0,0.5546233999775723,554.6233999775723,1141.248155200039,1141.818654809997,1141.8253354000626,1143.7415255100118,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3.0,m,013_y_m_s_a.jpg,sad,a,1,3,1143.745782300015,1144.0416049100809,1144.0670230999822,1144.075364409981,1144.0771158999996,1144.1112799099997,1144.1111816000193,1144.56657200997,s,0,0.4435958999674767,443.5958999674767,1144.1111816000193,1144.56657200997,1144.575089400052,1146.5082619099762,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3.0,m,013_y_m_h_a.jpg,happy,d,17,3,1146.5124387000687,1146.8083412100445,1147.0499842000427,1147.20856951006,1147.213649500045,1147.2543169099722,1147.2589046000503,1147.787225010025,d,1,0.5199512999970466,519.9512999970466,1147.2589046000503,1147.787225010025,1147.7950003000442,1149.59999560999,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1.0,m,004_o_m_n_a.jpg,neutral,s,1,3,1149.6053228999954,1149.9000766100712,1150.0983652999857,1150.1067066099845,1150.1065913999919,1150.1428926099675,1150.1426192000508,1150.682987010025,d,0,0.5241562000010163,524.1562000010163,1150.1426192000508,1150.682987010025,1150.6901932000183,1151.8500700099744,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,12.0,f,040_y_f_h_a.jpg,happy,d,1,3,1151.8530596999917,1152.149977510015,1152.172053800081,1152.1803951100796,1152.1806242000312,1152.2179252100527,1152.2177768000402,1152.6654133099714,d,1,0.43313599994871765,433.13599994871765,1152.2177768000402,1152.6654133099714,1152.6740598999895,1154.650133010035,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1.0,m,004_o_m_s_a.jpg,sad,a,1,3,1154.6557427999796,1154.9502452100046,1154.9744784000795,1154.9828197100783,1154.9848914999748,1155.0219284100808,1155.0218494000146,1155.5314023100423,d,0,0.500905100023374,500.90510002337396,1155.0218494000146,1155.5314023100423,1155.5398223000811,1157.0502217100352,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,4.0,m,016_y_m_n_a.jpg,neutral,s,17,3,1157.0540775000118,1157.3502561099945,1157.5896522999974,1157.7467138100533,1157.749589300016,1157.7869060100406,1157.78994529997,1158.3884892099654,s,1,0.588855899986811,588.855899986811,1157.78994529997,1158.3884892099654,1158.396802800009,1159.5251850099653,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1.0,m,004_o_m_s_a.jpg,sad,a,17,3,1159.5292239000555,1159.8252857100802,1159.8391632999992,1159.9768481100095,1159.9800344000105,1160.0182132100804,1160.0219074999914,1160.5143078100286,a,1,0.4849486999446526,484.9486999446526,1160.0219074999914,1160.5143078100286,1160.5253828000277,1162.1170150100138,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,1162.1202080000658,1162.4169796100236,1162.4378824000014,1162.5686121100211,1162.5717292000772,1162.6100879100036,1162.6141027000267,1163.2183394100634,d,1,0.5967091999482363,596.7091999482363,1162.6141027000267,1163.2183394100634,1163.229434399982,1165.108792110032,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9.0,f,021_o_f_s_a.jpg,sad,a,17,3,1165.1145737000043,1165.4087496099878,1165.421060499968,1165.5520385100158,1165.555674500065,1165.5947639099672,1165.597969800001,1166.479218310013,a,1,0.8691053999355063,869.1053999355063,1165.597969800001,1166.479218310013,1166.4897255999967,1168.4754682099797,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
