trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,67.95787479984574,68.25348967988975,68.45236300001852,68.47801108006388,68.48144939984195,68.52090668003075,68.52620269986801,69.83773837983608,d,1,68.52620269986801,69.83773837983608,69.84901769994758,71.11203637998551,1.2949706998188049,1294.9706998188049,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,71.1163055000361,71.41203738003969,71.61104639992118,71.76831567985937,71.77122520003468,71.80852057994343,71.81195879983716,73.13488758006133,a,1,71.81195879983716,73.13488758006133,73.14408889994957,74.14531897986308,1.312962100142613,1312.962100142613,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,74.1481220999267,74.44531908002682,74.646037499886,74.67338597984053,74.67830889998004,74.71829638001509,74.72330549987964,75.99201248004101,s,0,74.72330549987964,75.99201248004101,76.0041579999961,77.42033437988721,1.2577774999663234,1257.7774999663234,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,77.42316080001183,77.72041587997228,77.92956890002824,77.9561260798946,77.95935829984955,77.99834657995962,78.00273970002308,79.1464278800413,s,1,78.00273970002308,79.1464278800413,79.15484139998443,80.64541677990928,1.13019649987109,1130.19649987109,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,80.64830700005405,80.94550248002633,81.18319149990566,81.20894737984054,81.20911669987254,81.24669467983767,81.24790099984966,82.61864667991176,s,1,81.24790099984966,82.61864667991176,82.63013599999249,84.09563247999176,1.3571313000284135,1357.1313000284135,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,17,1,84.10007729986683,84.39564618002623,84.60491059999913,84.76504557998851,84.76864299993031,84.80600757990032,84.80966899986379,85.75207448005676,d,1,84.80966899986379,85.75207448005676,85.76075719995424,86.81225497997366,0.9313208998646587,931.3208998646587,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,86.81636709999293,87.11227727984078,87.357737199869,87.52904607984237,87.53367489995435,87.57498747995123,87.57914419984445,88.50739937997423,s,1,87.57914419984445,88.50739937997423,88.51844320003875,90.07066927989945,0.9139282000251114,913.9282000251114,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,90.0748926999513,90.37073507998139,90.57131009991281,90.59726947988383,90.60172559996136,90.64040117990226,90.64566769986413,91.45706148003228,d,1,90.64566769986413,91.45706148003228,91.46385549986735,93.4040884799324,0.7993435999378562,799.3435999378562,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,17,1,93.40834959992208,93.70411098003387,93.79171769996174,93.9223956798669,93.92538919998333,93.96372077986598,93.96743909991346,95.1567727799993,a,1,93.96743909991346,95.1567727799993,95.16715410002507,96.92090887995437,1.1734999001491815,1173.4999001491815,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,96.92558749997988,97.22083358000964,97.44293789984658,97.46851187990978,97.4685865000356,97.50534997996874,97.50530469999649,98.36087187984958,s,1,97.50530469999649,98.36087187984958,98.36815089988522,99.89602387999184,0.8436396999750286,843.6396999750286,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,99.90128430002369,100.19592928001657,100.21581609989516,100.34763427986763,100.35216389992274,100.3886176799424,100.38849320006557,100.94621627987362,d,1,100.38849320006557,100.94621627987362,100.94859709986486,101.9542691798415,0.544414000120014,544.414000120014,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,101.958498199936,102.25432427995838,102.27331830002367,102.29638927988708,102.29705900000408,102.33184217987582,102.3314970000647,103.0788063800428,d,1,102.3314970000647,103.0788063800428,103.09020429989323,104.0793980800081,0.7296774999704212,729.6774999704212,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,104.08332680002786,104.37935367994942,104.60008649993688,104.62638957984746,104.62705729994923,104.66390218003653,104.66515129990876,106.25067147985101,None,0,104.66515129990876,106.25067147985101,106.2558480000589,107.57947698002681,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,3,1,107.58338139997795,107.87949627987109,107.89861129992642,107.92093957983889,107.92138749989681,107.9561234798748,107.95676980004646,108.69668687996455,s,0,107.95676980004646,108.69668687996455,108.70415679994039,109.78773547988385,0.7280874000862241,728.0874000862241,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,17,1,109.79074059985578,110.08778447983786,110.10572159988806,110.23942998005077,110.24395400006324,110.2847211798653,110.29024380003102,110.9227040798869,d,1,110.29024380003102,110.9227040798869,110.93007800006308,111.97106488002464,0.619050299981609,619.050299981609,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,111.97101660002954,112.27118837996386,112.51511869998649,112.54175597988069,112.5425962000154,112.57840267987922,112.58020319999196,113.26062797987834,d,1,112.58020319999196,113.26062797987834,113.27023279992864,114.95451198006049,0.6727928000036627,672.7928000036627,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,17,1,114.95756120001897,115.25451368000358,115.27265589986928,115.40626607998274,115.41108909994364,115.45163707993925,115.45664689992554,116.04763737996109,d,1,115.45664689992554,116.04763737996109,116.05400449992158,117.94631427992135,0.5802144999615848,580.2144999615848,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,17,1,117.95165649987757,118.24631027993746,118.45089420001023,118.60818157996982,118.61191159998998,118.65302567998879,118.65799620002508,118.97423358005472,d,1,118.65799620002508,118.97423358005472,118.98096359986812,120.76309698005207,0.3071296000853181,307.1296000853181,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,120.76863039983436,121.06311518000439,121.31333499983884,121.33891257992946,121.34310599998571,121.38362698000856,121.38803169992752,122.4481177800335,a,1,121.38803169992752,122.4481177800335,122.45962139987387,123.92151707992889,1.0490053000394255,1049.0053000394255,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,17,1,123.92688629985787,124.22148417984135,124.2414487998467,124.37308747996576,124.37574259983376,124.41438347985968,124.41742990002967,125.15654608001933,a,1,124.41742990002967,125.15654608001933,125.16596419992857,126.30476167984307,0.7314861998893321,731.486199889332,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,126.30876379995607,126.60477127996273,126.62388179986738,126.64699518005364,126.64763839985244,126.68252447992563,126.68221929995343,127.50419258000329,d,1,126.68221929995343,127.50419258000329,127.51589959999546,128.61320727993734,0.8108086998108774,810.8086998108774,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,128.61726469988935,128.91322107985616,128.93414320005104,128.95707318000495,128.9572002000641,128.9932160798926,128.99460259987973,129.86500097997487,d,1,128.99460259987973,129.86500097997487,129.87654879991896,131.70487978006713,0.8584872998762876,858.4872998762876,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,131.70881649991497,132.0049601800274,132.2557428998407,132.28094697999768,132.28142150002532,132.3168800799176,132.31844659987837,133.422491180012,s,1,132.31844659987837,133.422491180012,133.43178440001793,134.77175997989252,1.0945285998750478,1094.5285998750478,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,134.77745949989185,135.07175617991015,135.09217369998805,135.11543858004734,135.1159144998528,135.15002407995053,135.14974449994043,135.85857037990354,d,1,135.14974449994043,135.85857037990354,135.869295099983,137.55514387995936,0.6952589999418706,695.2589999418706,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,137.55938820005395,137.85511917993426,137.87982019991614,138.01498798001558,138.01807260001078,138.05629127984866,138.05951129994355,138.52441937988624,d,1,138.05951129994355,138.52441937988624,138.5348785999231,140.2885112799704,0.4499909000005573,449.9909000005573,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,140.29287240002304,140.58849107986316,140.84121560002677,140.86825247993693,140.86830069986172,140.90452087996528,140.90433779987507,142.5029242800083,None,0,140.90433779987507,142.5029242800083,142.50245829997584,143.76352897984907,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,3,1,143.76886640000157,144.06354787992314,144.26473039994016,144.28986168000847,144.29032589984126,144.32952388003469,144.33375160000287,145.19653158006258,s,1,144.33375160000287,145.19653158006258,145.20806079986505,146.39692297996953,0.8553307999391109,855.3307999391109,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,146.40190689987503,146.69688228005543,146.91626209998503,147.07844487996772,147.08319919998758,147.12287848000415,147.12795839994214,147.7639156798832,s,1,147.12795839994214,147.7639156798832,147.76966640003957,149.69712588004768,0.6288336999714375,628.8336999714375,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,149.7024206998758,149.99703187984414,150.20878500002436,150.23530827998184,150.23591990000568,150.27309287991375,150.27458800002933,151.0562081800308,s,1,150.27458800002933,151.0562081800308,151.06599699985236,152.172059079865,0.7704207999631763,770.4207999631763,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,152.1773738998454,152.47202137997374,152.7165639998857,152.74384188000113,152.74500430002809,152.781906979857,152.7832764000632,153.5303595799487,s,1,152.7832764000632,153.5303595799487,153.53953900001943,155.40546118002385,0.733958899974823,733.958899974823,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,155.41096229990944,155.7055374798365,155.9356708000414,155.96068047988228,155.96140230004676,155.9982687800657,155.99935439997353,157.66842017997988,None,0,155.99935439997353,157.66842017997988,157.67348590004258,159.27225747983903,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
