Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;107.02649300009944;None;109.01935870014131;109.31034180009738;109.31034180009738;109.31857940019108;109.31857940019108;109.35932180006057;109.35932180006057;None;None;0;109.35932180006057;None;110.8598446000833;None;None;110.8598446000833;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;113.85942760016769;None;115.8679849000182;116.16090510017239;116.16090510017239;116.31033960008062;116.31033960008062;116.35107780015096;116.35107780015096;None;None;0;116.35107780015096;None;117.85136650013737;None;None;117.85136650013737;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;120.85191950015724;None;122.84691540012136;123.13554690009914;123.13554690009914;123.1436107000336;123.1436107000336;123.18465080019087;123.18465080019087;None;None;0;123.18465080019087;None;124.68482170021161;None;None;124.68482170021161;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;127.68484480003826;None;129.3599450001493;129.65279480000027;129.65279480000027;129.677271499997;129.677271499997;129.71807420020923;129.71807420020923;None;None;0;129.71807420020923;None;131.21802890021354;None;None;131.21802890021354;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;134.2181583000347;None;135.47803730005398;135.76923279999755;135.76923279999755;135.9190585000906;135.9190585000906;135.95992600009777;135.95992600009777;None;None;0;135.95992600009777;None;137.45984280016273;None;None;137.45984280016273;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;140.46024350007065;None;142.45317770005204;142.74441080004908;142.74441080004908;142.7524970001541;142.7524970001541;142.79314490011893;142.79314490011893;None;None;0;142.79314490011893;None;144.2933460001368;None;None;144.2933460001368;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;147.29362900019623;None;148.48778730002232;148.77765200007707;148.77765200007707;148.9276511000935;148.9276511000935;148.96849090000615;148.96849090000615;None;None;0;148.96849090000615;None;150.468672899995;None;None;150.468672899995;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;153.46845020004548;None;154.9177631000057;155.21173150022514;155.21173150022514;155.2360780001618;155.2360780001618;155.27703800005838;155.27703800005838;None;None;0;155.27703800005838;None;156.77709180000238;None;None;156.77709180000238;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;159.77717890008353;None;161.56034910003655;161.85314080002718;161.85314080002718;161.877670600079;161.877670600079;161.91874220012687;161.91874220012687;None;None;0;161.91874220012687;None;163.41927980002947;None;None;163.41927980002947;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;166.41880149999633;None;167.8779213000089;168.16976990015246;168.16976990015246;168.19456050009467;168.19456050009467;168.23554210015573;168.23554210015573;None;None;0;168.23554210015573;None;169.7355719001498;None;None;169.7355719001498;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
