Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.rt,key_resp_Rating.started,key_resp_Rating.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.906147700035945,28.873747100122273,28.873747100122273,None,7,21.593719699885696,23.906147700035945,None,,,,,,,,,,,,,,,,,,,,,,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
2,f,1113_y_f_s_a.jpg,sad,7,1,m,1111_m_m_h_a.jpg,happy,incongruent,9,mix,s+h,130,150,1,2,148,,,,,0,0,0,0,,,,,,,,,,,,,,,,,45.53184780012816,None,46.81144229997881,47.12701880000532,47.12701880000532,47.15754709998146,47.15754709998146,47.189055600203574,47.189055600203574,None,7,0,0.9428673998918384,47.189055600203574,None,48.689282700186595,None,['7'],[1.2426110999658704],48.689282700186595,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
2,f,1111_m_m_h_a.jpg,happy,9,3,f,1113_y_f_s_a.jpg,sad,incongruent,7,mix,h+s,120,160,9,18,195,,,,,0,1,1,1,,,,,,,,,,,,,,,,,51.689812400145456,None,53.334873700048774,53.62379670003429,53.62379670003429,53.77327990019694,53.77327990019694,53.814082600176334,53.814082600176334,None,9,0,0.8059029001742601,53.814082600176334,None,55.314305800013244,None,['7'],[0.5456067000050098],55.314305800013244,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
2,f,1112_m_f_n_a.jpg,neutral,8,2,f,1112_m_f_n_a.jpg,neutral,congruent,8,match,n+n,140,170,9,18,134,,,,,0,2,2,2,,,,,,,,,,,,,,,,,58.31500820000656,None,59.45173970004544,59.74084200011566,59.74084200011566,59.890170300146565,59.890170300146565,59.931095500011,59.931095500011,None,8,1,0.6088675998616964,59.931095500011,None,61.43099550018087,None,['7'],[0.8689079000614583],61.43099550018087,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,m,033_o_m_h_a.jpg,happy,9,30,f,030_o_f_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,18,238,block1_Pilot_2,33,h_n,h_n_strong,,,,,0,0,0,0,0,0,0,0,,,,,,,,,65.46752659999765,None,67.45313500007614,67.74874459998682,67.74874459998682,67.8985646001529,67.8985646001529,67.93941170000471,67.93941170000471,None,9,0,0.49650210002437234,67.93941170000471,None,69.43988770013675,None,['7'],[0.291987800039351],69.43988770013675,None,64.43101479997858,None,None,None,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,m,004_o_m_h_a.jpg,happy,9,12,f,012_o_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,218,block1_Pilot_2,4,h_h,h_h_weak,,,,,0,0,0,0,0,1,1,1,,,,,,,,,72.43979159998707,None,74.3190476000309,74.60764160007238,74.60764160007238,74.62392980000004,74.62392980000004,74.66450940002687,74.66450940002687,None,8,0,0.8353973000776023,74.66450940002687,None,76.16472580004483,None,['8'],[0.263204799965024],76.16472580004483,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,f,012_o_f_h_a.jpg,happy,9,33,m,033_o_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,140,block1_Pilot_2,12,h_h,h_h_weak,,,,,0,0,0,0,0,2,2,2,,,,,,,,,79.16485140006989,None,80.33991950005293,80.6324299001135,80.6324299001135,80.64891810016707,80.64891810016707,80.68957230006345,80.68957230006345,None,9,1,0.6985750000458211,80.68957230006345,None,82.18986900011078,None,['8'],[0.3660871998872608],82.18986900011078,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,f,040_y_f_n_a.jpg,neutral,8,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,192,block1_Pilot_2,40,n_h,n_h_weak,,,,,0,0,0,0,0,3,3,3,,,,,,,,,85.19004330015741,None,86.81361469998956,87.1077412001323,87.1077412001323,87.12399990018457,87.12399990018457,87.16486560017802,87.16486560017802,None,None,0,,87.16486560017802,None,88.66502430010587,None,['9'],[0.2829644000157714],88.66502430010587,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,m,013_y_m_s_a.jpg,sad,7,16,m,016_y_m_n_a.jpg,neutral,incongruent,8,match,,130,170,,3,155,block1_Pilot_2,13,s_n,s_n_weak,,,,,0,0,0,0,0,4,4,4,,,,,,,,,91.66501110000536,None,92.96487260004506,93.25763680017553,93.25763680017553,93.28252460015938,93.28252460015938,93.32328210002743,93.32328210002743,None,8,1,0.712701000040397,93.32328210002743,None,94.82333240006119,None,['8'],[0.2846756998915225],94.82333240006119,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,f,012_o_f_h_a.jpg,happy,9,21,f,021_o_f_h_a.jpg,happy,congruent,9,match,,120,150,,2,216,block1_Pilot_2,12,h_h,h_h_strong,,,,,0,0,0,0,0,5,5,5,,,,,,,,,97.82350410008803,None,99.6310141000431,99.92440390004776,99.92440390004776,99.94115610001609,99.94115610001609,99.98173180012964,99.98173180012964,None,None,0,,99.98173180012964,None,101.48189140018076,None,['9'],[0.7700700000859797],101.48189140018076,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
,f,040_y_f_s_a.jpg,sad,7,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,130,150,,1,238,block1_Pilot_2,40,s_h,s_h_weak,,,,,0,0,0,0,0,6,6,6,,,,,,,,,104.48301560012624,None,106.47361420001835,106.76661400008015,106.76661400008015,106.77460420015268,106.77460420015268,106.8156785001047,106.8156785001047,None,None,0,,106.8156785001047,None,108.31591710005887,None,['9'],[0.3200393000151962],108.31591710005887,None,,,,,Emoconpilot037,2021_Nov_10_1338,BackwardMask,2020.2.8,120.04715443410903,
