Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.rt,key_resp_Rating.started,key_resp_Rating.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,f,019_m_f_h_a.jpg,happy,9,13,m,013_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,2,153,block3_Pilot_2,19,h_n,h_n_strong,,,,,0,2,2,2,0,108,108,108,,,,,,,,,2504.5264104000003,None,2505.8095687,2506.1025313,2506.1025313,2506.118826,2506.118826,2506.1597819,2506.1597819,None,9,0,2506.1597819,None,2507.6599374,None,['7'],[0.47575189999997747],2507.6599374,None,,,,,0.8798980999999912,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,030_o_f_h_a.jpg,happy,9,12,f,012_o_f_h_a.jpg,happy,congruent,9,match,,120,150,,18,188,block3_Pilot_2,30,h_h,h_h_strong,,,,,0,2,2,2,0,109,109,109,,,,,,,,,2510.6600371,None,2512.2681451,2512.5613598,2512.5613598,2512.7107594,2512.7107594,2512.7515529,2512.7515529,None,9,1,2512.7515529,None,2514.2516417,None,['7'],[0.5401666000002479],2514.2516417,None,,,,,0.6321843999999146,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,008_y_m_s_a.jpg,sad,7,13,m,013_y_m_h_a.jpg,happy,incongruent,9,match,,130,150,,1,238,block3_Pilot_2,8,s_h,s_h_strong,,,,,0,2,2,2,0,110,110,110,,,,,,,,,2517.2529351,None,2519.2571485,2519.5531054000003,2519.5531054000003,2519.5608099,2519.5608099,2519.6016698,2519.6016698,None,None,0,2519.6016698,None,2521.1018756,None,['9'],[2.953736899999967],2521.1018756,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,027_o_m_s_a.jpg,sad,7,19,f,019_m_f_s_a.jpg,sad,congruent,7,mismatch,,130,160,,3,144,block3_Pilot_2,27,s_s,s_s_weak,,,,,0,2,2,2,0,111,111,111,,,,,,,,,2524.1026257,None,2525.3095179,2525.6029107,2525.6029107,2525.6275309000002,2525.6275309000002,2525.6685359000003,2525.6685359000003,None,7,1,2525.6685359000003,None,2527.1688112,None,['7'],[0.7429670999999871],2527.1688112,None,,,,,1.099314599999616,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,016_y_m_h_a.jpg,happy,9,28,f,028_y_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,124,block3_Pilot_2,16,h_h,h_h_weak,,,,,0,2,2,2,0,112,112,112,,,,,,,,,2530.1692508,None,2531.2100684,2531.5031563000002,2531.5031563000002,2531.5194211000003,2531.5194211000003,2531.5603178,2531.5603178,None,9,1,2531.5603178,None,2533.0602138,None,['7'],[0.4597214999998869],2533.0602138,None,,,,,0.7195101000002069,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,008_y_m_h_a.jpg,happy,9,19,f,019_m_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,1,238,block3_Pilot_2,8,h_h,h_h_strong,,,,,0,2,2,2,0,113,113,113,,,,,,,,,2536.0617618,None,2538.0524269000002,2538.3446685,2538.3446685,2538.3529729,2538.3529729,2538.3936605,2538.3936605,None,None,0,2538.3936605,None,2539.8942104000002,None,['9'],[0.4096873999997115],2539.8942104000002,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,021_o_f_s_a.jpg,sad,7,16,m,016_y_m_s_a.jpg,sad,congruent,7,mismatch,,130,160,,2,151,block3_Pilot_2,21,s_s,s_s_strong,,,,,0,2,2,2,0,114,114,114,,,,,,,,,2542.8949182,None,2544.1703324,2544.4614377000003,2544.4614377000003,2544.4781261000003,2544.4781261000003,2544.5187056,2544.5187056,None,None,0,2544.5187056,None,2546.0188808000003,None,['9'],[0.7810322000000269],2546.0188808000003,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,030_o_f_s_a.jpg,sad,7,21,f,021_o_f_s_a.jpg,sad,congruent,7,match,,130,160,,18,238,block3_Pilot_2,30,s_s,s_s_weak,,,,,0,2,2,2,0,115,115,115,,,,,,,,,2549.019631,None,2551.0999674,2551.3953848,2551.3953848,2551.5448407,2551.5448407,2551.5857868000003,2551.5857868000003,None,7,1,2551.5857868000003,None,2553.0856816,None,"['9', '7']","[0.5061978000003364, 1.3300070000000233]",2553.0856816,None,,,,,1.134146299999884,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,019_m_f_h_a.jpg,happy,9,16,m,016_y_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block3_Pilot_2,19,h_s,h_s_weak,,,,,0,2,2,2,0,116,116,116,,,,,,,,,2556.0860322,None,2558.0788368,2558.3700672,2558.3700672,2558.3782832,2558.3782832,2558.4192139,2558.4192139,None,None,0,2558.4192139,None,2559.9191029,None,['9'],[1.160700099999758],2559.9191029,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,008_y_m_s_a.jpg,sad,7,12,f,012_o_f_s_a.jpg,sad,congruent,7,mismatch,,130,160,,1,238,block3_Pilot_2,8,s_s,s_s_weak,,,,,0,2,2,2,0,117,117,117,,,,,,,,,2562.9192544,None,2564.9336476,2565.2289102,2565.2289102,2565.2367714,2565.2367714,2565.2776695000002,2565.2776695000002,None,None,0,2565.2776695000002,None,2566.7780475,None,['9'],[1.2455725999998322],2566.7780475,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,040_y_f_h_a.jpg,happy,9,8,m,008_y_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,3,186,block3_Pilot_2,40,h_h,h_h_weak,,,,,0,2,2,2,0,118,118,118,,,,,,,,,2569.7787661,None,2571.3368471,2571.628756,2571.628756,2571.6536962,2571.6536962,2571.6944045,2571.6944045,None,9,1,2571.6944045,None,2573.1944921,None,['7'],[1.101135400000203],2573.1944921,None,,,,,0.6493701000003966,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,028_y_f_n_a.jpg,neutral,8,27,m,027_o_m_h_a.jpg,happy,incongruent,9,mismatch,,140,150,,18,238,block3_Pilot_2,28,n_h,n_h_strong,,,,,0,2,2,2,0,119,119,119,,,,,,,,,2576.1949385000003,None,2578.2202464,2578.5124908000003,2578.5124908000003,2578.6618974000003,2578.6618974000003,2578.7030211,2578.7030211,None,8,0,2578.7030211,None,2580.2029887,None,['7'],[0.38885389999995823],2580.2029887,None,,,,,0.5528214000000844,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
