Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.started,key_resp_Rating.stopped,key_resp_Rating.rt,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,f,040_y_f_s_a.jpg,sad,7,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,130,150,,1,238,block1_Pilot_2,40,s_h,s_h_weak,,,,,0,0,0,0,0,6,6,6,,,,,,,,,246.53295879997313,None,248.52535640005954,248.81677590007894,248.81677590007894,248.8250647999812,248.8250647999812,248.86565270018764,248.86565270018764,None,None,0,,248.86565270018764,None,250.36577410018072,None,['9'],250.36577410018072,None,[1.391772500006482],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_n_a.jpg,neutral,8,27,m,027_o_m_n_a.jpg,neutral,congruent,8,match,,140,170,,18,238,block1_Pilot_2,33,n_n,n_n_weak,,,,,0,0,0,0,0,7,7,7,,,,,,,,,253.36680950014852,None,255.37206279998645,255.66741800005548,255.66741800005548,255.81680160015821,255.81680160015821,255.85760580003262,255.85760580003262,None,8,1,1.4199730998370796,255.85760580003262,None,257.358457100112,None,['7'],257.358457100112,None,[1.0150484000332654],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_h_a.jpg,happy,9,19,f,019_m_f_n_a.jpg,neutral,incongruent,8,match,,120,170,,1,238,block1_Pilot_2,40,h_n,h_n_strong,,,,,0,0,0,0,0,8,8,8,,,,,,,,,260.35834550019354,None,262.35078620002605,262.6418608999811,262.6418608999811,262.6501754000783,262.6501754000783,262.69070790009573,262.69070790009573,None,None,0,,262.69070790009573,None,264.1911369001027,None,['9'],264.1911369001027,None,[1.0224036001600325],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_h_a.jpg,happy,9,12,f,012_o_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,3,198,block1_Pilot_2,13,h_s,h_s_weak,,,,,0,0,0,0,0,9,9,9,,,,,,,,,267.1913595001679,None,268.8644419000484,269.15916649997234,269.15916649997234,269.18370150006376,269.18370150006376,269.2245593999978,269.2245593999978,None,9,0,0.8529789000749588,269.2245593999978,None,270.7244794999715,None,['7'],270.7244794999715,None,[0.4650123999454081],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_h_a.jpg,happy,9,4,m,004_o_m_n_a.jpg,neutral,incongruent,8,match,,120,170,,18,150,block1_Pilot_2,8,h_n,h_n_strong,,,,,0,0,0,0,0,10,10,10,,,,,,,,,273.72541700000875,None,274.9843169001397,275.2756559001282,275.2756559001282,275.4255992001854,275.4255992001854,275.4664412001148,275.4664412001148,None,9,0,0.5549980001524091,275.4664412001148,None,276.9662695999723,None,['7'],276.9662695999723,None,[0.3593439001124352],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_h_a.jpg,happy,9,27,m,027_o_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block1_Pilot_2,19,h_s,h_s_weak,,,,,0,0,0,0,0,11,11,11,,,,,,,,,279.96666180016473,None,281.9593335001264,282.250762199983,282.250762199983,282.2589004000183,282.2589004000183,282.2996657001786,282.2996657001786,None,None,0,,282.2996657001786,None,283.7995492001064,None,['9'],283.7995492001064,None,[0.9017354999668896],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,016_y_m_s_a.jpg,sad,7,4,m,004_o_m_s_a.jpg,sad,congruent,7,match,,130,160,,18,142,block1_Pilot_2,16,s_s,s_s_strong,,,,,0,0,0,0,0,12,12,12,,,,,,,,,286.8006213000044,None,287.9933896001894,288.28421590011567,288.28421590011567,288.4340025000274,288.4340025000274,288.47499170014635,288.47499170014635,None,7,1,0.9465046001132578,288.47499170014635,None,289.975880500162,None,['7'],289.975880500162,None,[0.9095680001191795],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,021_o_f_n_a.jpg,neutral,8,21,f,021_o_f_h_a.jpg,happy,incongruent,9,match,,140,150,,3,171,block1_Pilot_2,21,n_h,n_h_weak,,,,,0,0,0,0,0,13,13,13,,,,,,,,,292.97583770006895,None,294.4235221000854,294.7181526001077,294.7181526001077,294.7421385999769,294.7421385999769,294.78290210012347,294.78290210012347,None,8,0,0.9344845998566598,294.78290210012347,None,296.28346950002015,None,['7'],296.28346950002015,None,[0.3538930001668632],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_h_a.jpg,happy,9,13,m,013_y_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,3,213,block1_Pilot_2,12,h_h,h_h_weak,,,,,0,0,0,0,0,14,14,14,,,,,,,,,299.2845334999729,None,301.06618420011364,301.35955810011365,301.35955810011365,301.3843447000254,301.3843447000254,301.4251471001189,301.4251471001189,None,9,1,0.7084066001698375,301.4251471001189,None,302.92526220018044,None,['7'],302.92526220018044,None,[0.32028109999373555],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,021_o_f_s_a.jpg,sad,7,27,m,027_o_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,3,174,block1_Pilot_2,21,s_n,s_n_weak,,,,,0,0,0,0,0,15,15,15,,,,,,,,,305.9252471001819,None,307.38307710015215,307.67634100001305,307.67634100001305,307.7010266999714,307.7010266999714,307.7419327001553,307.7419327001553,None,None,0,,307.7419327001553,None,309.2420713000465,None,"['9', '7', '7']",309.2420713000465,None,"[0.2194456998258829, 0.6915817998815328, 2.147427399875596]",,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
