Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.started,key_resp_Rating.stopped,key_resp_Rating.rt,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,m,016_y_m_n_a.jpg,neutral,8,16,m,016_y_m_h_a.jpg,happy,incongruent,9,match,,140,150,,18,193,block1_Pilot_2,16,n_h,n_h_strong,,,,,0,0,0,0,0,87,87,87,,,,,,,,,771.369062700076,None,772.9962767001707,773.2861093999818,773.2861093999818,773.4355826000683,773.4355826000683,773.4763960000128,773.4763960000128,None,8,0,0.4730501000303775,773.4763960000128,None,774.9765122001991,None,['7'],774.9765122001991,None,[0.31683210004121065],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_h_a.jpg,happy,9,4,m,004_o_m_h_a.jpg,happy,congruent,9,match,,120,150,,2,195,block1_Pilot_2,33,h_h,h_h_strong,,,,,0,0,0,0,0,88,88,88,,,,,,,,,777.9774925999809,None,779.6095155000221,779.9028808001895,779.9028808001895,779.919062100118,779.919062100118,779.9599142000079,779.9599142000079,None,9,1,0.7095504000317305,779.9599142000079,None,781.4598181999754,None,['7'],781.4598181999754,None,[0.2656729998998344],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,027_o_m_h_a.jpg,happy,9,16,m,016_y_m_h_a.jpg,happy,congruent,9,match,,120,150,,3,209,block1_Pilot_2,27,h_h,h_h_weak,,,,,0,0,0,0,0,89,89,89,,,,,,,,,784.460754300002,None,786.2237857000437,786.5199230001308,786.5199230001308,786.5442485001404,786.5442485001404,786.5845928001218,786.5845928001218,None,9,1,0.6048281001858413,786.5845928001218,None,788.085182200186,None,['7'],788.085182200186,None,[0.2642933998722583],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_s_a.jpg,sad,7,16,m,016_y_m_s_a.jpg,sad,congruent,7,match,,130,160,,3,128,block1_Pilot_2,33,s_s,s_s_strong,,,,,0,0,0,0,0,90,90,90,,,,,,,,,791.086104700109,None,792.1601788999978,792.4528960001189,792.4528960001189,792.477522399975,792.477522399975,792.5183974001557,792.5183974001557,None,8,0,1.4390157000161707,792.5183974001557,None,794.0186533001252,None,['7'],794.0186533001252,None,[0.45069439988583326],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,021_o_f_s_a.jpg,sad,7,30,f,030_o_f_s_a.jpg,sad,congruent,7,match,,130,160,,1,238,block1_Pilot_2,21,s_s,s_s_strong,,,,,0,0,0,0,0,91,91,91,,,,,,,,,797.0197237001266,None,799.0072099000681,799.303045200184,799.303045200184,799.3111337001901,799.3111337001901,799.3520500999875,799.3520500999875,None,None,0,,799.3520500999875,None,800.8520575000439,None,['9'],800.8520575000439,None,[0.3053670998197049],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_n_a.jpg,neutral,8,28,f,028_y_f_s_a.jpg,sad,incongruent,7,mismatch,,140,160,,18,166,block1_Pilot_2,33,n_s,n_s_strong,,,,,0,0,0,0,0,92,92,92,,,,,,,,,803.8529199999757,None,805.256995400181,805.5536958000157,805.5536958000157,805.7029550999869,805.7029550999869,805.7438395000063,805.7438395000063,None,8,0,0.4615209000185132,805.7438395000063,None,807.243985200068,None,['7'],807.243985200068,None,[0.36122710001654923],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_n_a.jpg,neutral,8,30,f,030_o_f_n_a.jpg,neutral,congruent,8,match,,140,170,,18,228,block1_Pilot_2,19,n_n,n_n_weak,,,,,0,0,0,0,0,93,93,93,,,,,,,,,810.244063799968,None,812.1633649000432,812.453664300032,812.453664300032,812.6031158000696,812.6031158000696,812.6438824001234,812.6438824001234,None,8,1,0.47361039998941123,812.6438824001234,None,814.1438937999774,None,['7'],814.1438937999774,None,[0.38153350003995],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_s_a.jpg,sad,7,12,f,012_o_f_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,3,130,block1_Pilot_2,8,s_h,s_h_weak,,,,,0,0,0,0,0,94,94,94,,,,,,,,,817.1453400000464,None,818.2553799001034,818.5453115999699,818.5453115999699,818.5698315000627,818.5698315000627,818.6107197001111,818.6107197001111,None,7,0,0.8025764999911189,818.6107197001111,None,820.1107058001217,None,['7'],820.1107058001217,None,[0.5108483999501914],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,016_y_m_n_a.jpg,neutral,8,28,f,028_y_f_n_a.jpg,neutral,congruent,8,mismatch,,140,170,,18,189,block1_Pilot_2,16,n_n,n_n_strong,,,,,0,0,0,0,0,95,95,95,,,,,,,,,823.1109695001505,None,824.7048072000034,824.9955848001409,824.9955848001409,825.1449399001431,825.1449399001431,825.1858417000622,825.1858417000622,None,8,1,0.5714800998102874,825.1858417000622,None,826.685819500126,None,['7'],826.685819500126,None,[0.2633899000938982],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_s_a.jpg,sad,7,16,m,016_y_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,3,238,block1_Pilot_2,12,s_h,s_h_strong,,,,,0,0,0,0,0,96,96,96,,,,,,,,,829.6867460000794,None,831.6784300000872,831.9702741000801,831.9702741000801,831.995366099989,831.995366099989,832.035932400031,832.035932400031,None,8,0,1.169446500018239,832.035932400031,None,833.5360451000743,None,['7'],833.5360451000743,None,[0.5093919998034835],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_h_a.jpg,happy,9,27,m,027_o_m_h_a.jpg,happy,congruent,9,match,,120,150,,18,238,block1_Pilot_2,13,h_h,h_h_strong,,,,,0,0,0,0,0,97,97,97,,,,,,,,,836.5361391999759,None,838.5407371001784,838.8373885001056,838.8373885001056,838.9869097000919,838.9869097000919,839.0277888001874,839.0277888001874,None,9,1,0.6337838999461383,839.0277888001874,None,840.5285679001827,None,['7'],840.5285679001827,None,[0.38892659987322986],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,016_y_m_s_a.jpg,sad,7,33,m,033_o_m_n_a.jpg,neutral,incongruent,8,match,,130,170,,1,238,block1_Pilot_2,16,s_n,s_n_weak,,,,,0,0,0,0,0,98,98,98,,,,,,,,,843.5287590001244,None,845.5189222001936,845.8123431000859,845.8123431000859,845.8205181001686,845.8205181001686,845.8612085999921,845.8612085999921,None,9,0,1.0642759001348168,845.8612085999921,None,847.3615342001431,None,['7'],847.3615342001431,None,[0.42793089989572763],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_n_a.jpg,neutral,8,30,f,030_o_f_n_a.jpg,neutral,congruent,8,mismatch,,140,170,,1,238,block1_Pilot_2,8,n_n,n_n_weak,,,,,0,0,0,0,0,99,99,99,,,,,,,,,850.3615282999817,None,852.379089300055,852.6711602001451,852.6711602001451,852.6787853999995,852.6787853999995,852.7196673001163,852.7196673001163,None,9,0,0.8217023001052439,852.7196673001163,None,854.2197952000424,None,['9'],854.2197952000424,None,[0.7937388001009822],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_s_a.jpg,sad,7,30,f,030_o_f_s_a.jpg,sad,congruent,7,mismatch,,130,160,,2,133,block1_Pilot_2,8,s_s,s_s_weak,,,,,0,0,0,0,0,100,100,100,,,,,,,,,857.2207035000902,None,858.3473735000007,858.6377129000612,858.6377129000612,858.6539259001147,858.6539259001147,858.6947300001048,858.6947300001048,None,7,1,0.990692300023511,858.6947300001048,None,860.1948506999761,None,['7'],860.1948506999761,None,[0.28261140012182295],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_n_a.jpg,neutral,8,30,f,030_o_f_s_a.jpg,sad,incongruent,7,match,,140,160,,3,197,block1_Pilot_2,40,n_s,n_s_strong,,,,,0,0,0,0,0,101,101,101,,,,,,,,,863.1956750000827,None,864.855641500093,865.1464609000832,865.1464609000832,865.1707912001293,865.1707912001293,865.211708100047,865.211708100047,None,None,0,,865.211708100047,None,866.7118787001818,None,"['7', '7']",866.7118787001818,None,"[0.06946559995412827, 0.6213187999092042]",,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,004_o_m_h_a.jpg,happy,9,30,f,030_o_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,3,121,block1_Pilot_2,4,h_s,h_s_strong,,,,,0,0,0,0,0,102,102,102,,,,,,,,,869.7126802001148,None,870.7446341000032,871.0381426000968,871.0381426000968,871.0628730000462,871.0628730000462,871.1033485000953,871.1033485000953,None,9,0,0.6140355002135038,871.1033485000953,None,872.6037465999834,None,['7'],872.6037465999834,None,[0.4175537000410259],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_h_a.jpg,happy,9,8,m,008_y_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,18,211,block1_Pilot_2,40,h_h,h_h_weak,,,,,0,0,0,0,0,103,103,103,,,,,,,,,875.604589600116,None,877.3742829000112,877.6627834001556,877.6627834001556,877.8127032001503,877.8127032001503,877.853654100094,877.853654100094,None,9,1,0.511764100054279,877.853654100094,None,879.3545750000048,None,['7'],879.3545750000048,None,[0.4587545001413673],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_s_a.jpg,sad,7,16,m,016_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,2,198,block1_Pilot_2,19,s_n,s_n_strong,,,,,0,0,0,0,0,104,104,104,,,,,,,,,882.3543993001804,None,884.064379000105,884.3549218000844,884.3549218000844,884.3709111001808,884.3709111001808,884.4117205000948,884.4117205000948,None,9,0,0.6901477000210434,884.4117205000948,None,885.9100600001402,None,['7'],885.9100600001402,None,[0.2710768000688404],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_s_a.jpg,sad,7,12,f,012_o_f_s_a.jpg,sad,congruent,7,match,,130,160,,18,240,block1_Pilot_2,40,s_s,s_s_strong,,,,,0,0,0,0,0,105,105,105,,,,,,,,,888.9107362001669,None,890.9183761000168,891.2120870000217,891.2120870000217,891.3621565001085,891.3621565001085,891.4029771999922,891.4029771999922,None,7,1,0.6262143000494689,891.4029771999922,None,892.9035422001034,None,['7'],892.9035422001034,None,[0.37377170007675886],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_n_a.jpg,neutral,8,33,m,033_o_m_s_a.jpg,sad,incongruent,7,mismatch,,140,160,,3,188,block1_Pilot_2,40,n_s,n_s_weak,,,,,0,0,0,0,0,106,106,106,,,,,,,,,895.9037212000694,None,897.5167122001294,897.8050810999703,897.8050810999703,897.8294061000925,897.8294061000925,897.8702562002,897.8702562002,None,8,0,1.1348991999402642,897.8702562002,None,899.3703068001196,None,['7'],899.3703068001196,None,[0.5309457001276314],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_h_a.jpg,happy,9,21,f,021_o_f_s_a.jpg,sad,incongruent,7,match,,120,160,,3,193,block1_Pilot_2,28,h_s,h_s_strong,,,,,0,0,0,0,0,107,107,107,,,,,,,,,902.3703995000105,None,903.9921614001505,904.2883165001404,904.2883165001404,904.3130320000928,904.3130320000928,904.353810200002,904.353810200002,None,9,0,0.731402900069952,904.353810200002,None,905.853720900137,None,['7'],905.853720900137,None,[0.2634709000121802],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_s_a.jpg,sad,7,13,m,013_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,2,198,block1_Pilot_2,40,s_n,s_n_strong,,,,,0,0,0,0,0,108,108,108,,,,,,,,,908.854016300058,None,910.5151907000691,910.8046796000563,910.8046796000563,910.8213585000485,910.8213585000485,910.8621438001283,910.8621438001283,None,8,1,0.8550601000897586,910.8621438001283,None,912.3622692001518,None,['7'],912.3622692001518,None,[0.31497250008396804],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,030_o_f_n_a.jpg,neutral,8,33,m,033_o_m_s_a.jpg,sad,incongruent,7,mismatch,,140,160,,1,238,block1_Pilot_2,30,n_s,n_s_strong,,,,,0,0,0,0,0,109,109,109,,,,,,,,,915.3624917999841,None,917.3687891000882,917.6638834001496,917.6638834001496,917.6715462000575,917.6715462000575,917.7124454001896,917.7124454001896,None,None,0,,917.7124454001896,None,919.2123903001193,None,['9'],919.2123903001193,None,[0.6088497000746429],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,021_o_f_h_a.jpg,happy,9,40,f,040_y_f_n_a.jpg,neutral,incongruent,8,match,,120,170,,2,125,block1_Pilot_2,21,h_n,h_n_weak,,,,,0,0,0,0,0,110,110,110,,,,,,,,,922.2125578001142,None,923.2743171001785,923.5639345000964,923.5639345000964,923.5800187001005,923.5800187001005,923.6207230000291,923.6207230000291,None,None,0,,923.6207230000291,None,925.1208222999703,None,['7'],925.1208222999703,None,[0.2203430999070406],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,021_o_f_h_a.jpg,happy,9,16,m,016_y_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block1_Pilot_2,21,h_s,h_s_strong,,,,,0,0,0,0,0,111,111,111,,,,,,,,,928.1210368000902,None,930.1248524000403,930.4143449000549,930.4143449000549,930.4219571000431,930.4219571000431,930.462537100073,930.462537100073,None,8,0,1.2546097999438643,930.462537100073,None,931.9627539999783,None,['9'],931.9627539999783,None,[0.874492600094527],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_h_a.jpg,happy,9,8,m,008_y_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block1_Pilot_2,12,h_s,h_s_weak,,,,,0,0,0,0,0,112,112,112,,,,,,,,,934.9629957000725,None,936.954517400125,937.2472894000821,937.2472894000821,937.2553070001304,937.2553070001304,937.2961290001404,937.2961290001404,None,None,0,,937.2961290001404,None,938.7964924999978,None,['9'],938.7964924999978,None,[0.43292900011874735],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_h_a.jpg,happy,9,16,m,016_y_m_s_a.jpg,sad,incongruent,7,match,,120,160,,3,202,block1_Pilot_2,13,h_s,h_s_weak,,,,,0,0,0,0,0,113,113,113,,,,,,,,,941.7965351000894,None,943.500737400027,943.7896058000624,943.7896058000624,943.8141009001993,943.8141009001993,943.855034600012,943.855034600012,None,9,0,0.5184729001484811,943.855034600012,None,945.3549250001088,None,['7'],945.3549250001088,None,[0.23451760015450418],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_s_a.jpg,sad,7,4,m,004_o_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,1,238,block1_Pilot_2,19,s_n,s_n_strong,,,,,0,0,0,0,0,114,114,114,,,,,,,,,948.3559254000429,None,950.356643800158,950.6480829999782,950.6480829999782,950.6557829000521,950.6557829000521,950.6965592000633,950.6965592000633,None,None,0,,950.6965592000633,None,952.1969660001341,None,['9'],952.1969660001341,None,[0.2643996998667717],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_n_a.jpg,neutral,8,27,m,027_o_m_s_a.jpg,sad,incongruent,7,mismatch,,140,160,,18,238,block1_Pilot_2,28,n_s,n_s_strong,,,,,0,0,0,0,0,115,115,115,,,,,,,,,955.1977825001813,None,957.1995730001945,957.4898608000949,957.4898608000949,957.6394067001529,957.6394067001529,957.6802725000307,957.6802725000307,None,8,0,0.5731762000359595,957.6802725000307,None,959.180241300026,None,['7'],959.180241300026,None,[0.20903409994207323],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_s_a.jpg,sad,7,12,f,012_o_f_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,1,238,block1_Pilot_2,13,s_h,s_h_strong,,,,,0,0,0,0,0,116,116,116,,,,,,,,,962.1813807000872,None,964.1769362001214,964.4729083001148,964.4729083001148,964.4812764001545,964.4812764001545,964.522077600006,964.522077600006,None,9,1,0.8913636000361294,964.522077600006,None,966.0221001000609,None,['7'],966.0221001000609,None,[0.5192426000721753],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,016_y_m_s_a.jpg,sad,7,19,f,019_m_f_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,1,238,block1_Pilot_2,16,s_h,s_h_strong,,,,,0,0,0,0,0,117,117,117,,,,,,,,,969.0222815000452,None,971.0125035000965,971.306365699973,971.306365699973,971.3144227000885,971.3144227000885,971.355545300059,971.355545300059,None,9,1,0.9538497999310493,971.355545300059,None,972.8555974999908,None,['8'],972.8555974999908,None,[0.8698674999177456],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_s_a.jpg,sad,7,21,f,021_o_f_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,18,238,block1_Pilot_2,13,s_h,s_h_strong,,,,,0,0,0,0,0,118,118,118,,,,,,,,,975.8560438000131,None,977.8477047001943,978.1399286000524,978.1399286000524,978.2897135000676,978.2897135000676,978.3306858001743,978.3306858001743,None,7,0,0.7067353001330048,978.3306858001743,None,979.8306090000551,None,['7'],979.8306090000551,None,[0.28673549997620285],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_s_a.jpg,sad,7,13,m,013_y_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,3,235,block1_Pilot_2,12,s_h,s_h_weak,,,,,0,0,0,0,0,119,119,119,,,,,,,,,982.8318094001152,None,984.7925888001919,985.0898728000466,985.0898728000466,985.115204700036,985.115204700036,985.1557856001891,985.1557856001891,None,7,0,1.3136022000107914,985.1557856001891,None,986.6562853001524,None,['7'],986.6562853001524,None,[0.40509369992651045],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_s_a.jpg,sad,7,30,f,030_o_f_h_a.jpg,happy,incongruent,9,match,,130,150,,3,235,block2_Pilot_2,19,s_h,s_h_strong,,,,,0,1,1,1,0,0,0,0,,,,,,,,,1009.6969582000747,None,1011.6687361001968,1011.9578182001133,1011.9578182001133,1011.9821451001335,1011.9821451001335,1012.0230747000314,1012.0230747000314,None,7,0,0.7102270000614226,1012.0230747000314,None,1013.5236314001959,None,['7'],1013.5236314001959,None,[0.6818070998415351],,,989.6561045001727,None,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_n_a.jpg,neutral,8,40,f,040_y_f_h_a.jpg,happy,incongruent,9,mismatch,,140,150,,2,121,block2_Pilot_2,8,n_h,n_h_strong,,,,,0,1,1,1,0,1,1,1,,,,,,,,,1016.5239097999875,None,1017.5502108000219,1017.8410990000702,1017.8410990000702,1017.857236500131,1017.857236500131,1017.8981076001655,1017.8981076001655,None,8,0,0.6113573999609798,1017.8981076001655,None,1019.3983103001956,None,['7'],1019.3983103001956,None,[0.3510344000533223],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_h_a.jpg,happy,9,27,m,027_o_m_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,2,240,block2_Pilot_2,12,h_n,h_n_weak,,,,,0,1,1,1,0,2,2,2,,,,,,,,,1022.399551999988,None,1024.405795400031,1024.699308700161,1024.699308700161,1024.7159004001878,1024.7159004001878,1024.7566605000757,1024.7566605000757,None,9,0,0.6086021000519395,1024.7566605000757,None,1026.2565711999778,None,['7'],1026.2565711999778,None,[0.22872350015677512],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_h_a.jpg,happy,9,40,f,040_y_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,18,195,block2_Pilot_2,8,h_h,h_h_strong,,,,,0,1,1,1,0,3,3,3,,,,,,,,,1029.256644600071,None,1030.8898021001369,1031.1827022000216,1031.1827022000216,1031.3325251999777,1031.3325251999777,1031.3735058000311,1031.3735058000311,None,9,1,0.4079538998194039,1031.3735058000311,None,1032.8739118999802,None,['7'],1032.8739118999802,None,[0.37151740002445877],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,004_o_m_n_a.jpg,neutral,8,33,m,033_o_m_s_a.jpg,sad,incongruent,7,match,,140,160,,18,126,block2_Pilot_2,4,n_s,n_s_weak,,,,,0,1,1,1,0,4,4,4,,,,,,,,,1035.8744916999713,None,1036.9635373000056,1037.258270099992,1037.258270099992,1037.4078250001185,1037.4078250001185,1037.4483990001027,1037.4483990001027,None,8,0,0.436996600124985,1037.4483990001027,None,1038.9485208000988,None,['7'],1038.9485208000988,None,[0.26488010003231466],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_s_a.jpg,sad,7,27,m,027_o_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,18,225,block2_Pilot_2,28,s_n,s_n_strong,,,,,0,1,1,1,0,5,5,5,,,,,,,,,1041.9496027000714,None,1043.8347624000162,1044.1246784001123,1044.1246784001123,1044.2745383000001,1044.2745383000001,1044.3153148000129,1044.3153148000129,None,7,0,0.4419682000298053,1044.3153148000129,None,1045.8158907000907,None,['7'],1045.8158907000907,None,[0.22145369998179376],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,027_o_m_s_a.jpg,sad,7,30,f,030_o_f_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,18,238,block2_Pilot_2,27,s_h,s_h_weak,,,,,0,1,1,1,0,6,6,6,,,,,,,,,1048.8158174001146,None,1050.8067942000926,1051.099906100193,1051.099906100193,1051.2496242001653,1051.2496242001653,1051.2904126001522,1051.2904126001522,None,7,0,0.4668463999405503,1051.2904126001522,None,1052.7903254001867,None,['7'],1052.7903254001867,None,[0.23906569997780025],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_h_a.jpg,happy,9,40,f,040_y_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block2_Pilot_2,33,h_s,h_s_strong,,,,,0,1,1,1,0,7,7,7,,,,,,,,,1055.7912947000004,None,1057.7813197001815,1058.074897600105,1058.074897600105,1058.083067000145,1058.083067000145,1058.1238865000196,1058.1238865000196,None,None,0,,1058.1238865000196,None,1059.6241013000254,None,['9'],1059.6241013000254,None,[0.42125530005432665],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_n_a.jpg,neutral,8,12,f,012_o_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,200,block2_Pilot_2,12,n_h,n_h_weak,,,,,0,1,1,1,0,8,8,8,,,,,,,,,1062.6240179999731,None,1064.3116795001552,1064.6005176000763,1064.6005176000763,1064.6166249001399,1064.6166249001399,1064.6580956999678,1064.6580956999678,None,8,0,0.7713216000702232,1064.6580956999678,None,1066.1573224000167,None,['7'],1066.1573224000167,None,[0.27992570004425943],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,030_o_f_n_a.jpg,neutral,8,19,f,019_m_f_n_a.jpg,neutral,congruent,8,match,,140,170,,1,238,block2_Pilot_2,30,n_n,n_n_weak,,,,,0,1,1,1,0,9,9,9,,,,,,,,,1069.1584249001462,None,1071.1598926000297,1071.450668200152,1071.450668200152,1071.458258900093,1071.458258900093,1071.4994012999814,1071.4994012999814,None,None,0,,1071.4994012999814,None,1072.9992085001431,None,['9'],1072.9992085001431,None,[0.39826469984836876],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_h_a.jpg,happy,9,8,m,008_y_m_n_a.jpg,neutral,incongruent,8,match,,120,170,,1,238,block2_Pilot_2,13,h_n,h_n_strong,,,,,0,1,1,1,0,10,10,10,,,,,,,,,1076.0001966999844,None,1078.0018051001243,1078.292494500056,1078.292494500056,1078.3001256000716,1078.3001256000716,1078.3408673000522,1078.3408673000522,None,9,0,1.0085239000618458,1078.3408673000522,None,1079.840996599989,None,['7'],1079.840996599989,None,[0.2365216000471264],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_h_a.jpg,happy,9,19,f,019_m_f_s_a.jpg,sad,incongruent,7,match,,120,160,,3,133,block2_Pilot_2,40,h_s,h_s_strong,,,,,0,1,1,1,0,11,11,11,,,,,,,,,1082.8420698000118,None,1083.9575313001405,1084.250437100185,1084.250437100185,1084.2753175001126,1084.2753175001126,1084.3161081001163,1084.3161081001163,None,9,0,0.4972266999538988,1084.3161081001163,None,1085.8160918001086,None,['7'],1085.8160918001086,None,[0.2934079999104142],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_h_a.jpg,happy,9,13,m,013_y_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,3,226,block2_Pilot_2,40,h_s,h_s_strong,,,,,0,1,1,1,0,12,12,12,,,,,,,,,1088.816217900021,None,1090.7077852999792,1091.0006301000249,1091.0006301000249,1091.025495200185,1091.025495200185,1091.0660680001602,1091.0660680001602,None,9,0,0.4833671001251787,1091.0660680001602,None,1092.5669478999916,None,['7'],1092.5669478999916,None,[0.23839680012315512],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
