Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.rt,key_resp_Rating.started,key_resp_Rating.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,m,033_o_m_h_a.jpg,happy,9,40,f,040_y_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block2_Pilot_2,33,h_s,h_s_strong,,,,,0,1,1,1,0,7,7,7,,,,,,,,,907.3657716999296,None,909.3571242999751,909.6500153999077,909.6500153999077,909.6580834999913,909.6580834999913,909.698826399981,909.698826399981,None,None,0,,909.698826399981,None,911.1989707999164,None,['9'],[0.4052729000104591],911.1989707999164,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,012_o_f_n_a.jpg,neutral,8,12,f,012_o_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,200,block2_Pilot_2,12,n_h,n_h_weak,,,,,0,1,1,1,0,8,8,8,,,,,,,,,914.1991478999844,None,915.9094698999543,916.2005994999781,916.2005994999781,916.2165843999246,916.2165843999246,916.2572399999481,916.2572399999481,None,8,0,0.6350437999935821,916.2572399999481,None,917.7574682999402,None,['8'],[0.27880490000825375],917.7574682999402,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,030_o_f_n_a.jpg,neutral,8,19,f,019_m_f_n_a.jpg,neutral,congruent,8,match,,140,170,,1,238,block2_Pilot_2,30,n_n,n_n_weak,,,,,0,1,1,1,0,9,9,9,,,,,,,,,920.7582681999775,None,922.759582699975,923.0505942999152,923.0505942999152,923.0582816000096,923.0582816000096,923.0990794999525,923.0990794999525,None,None,0,,923.0990794999525,None,924.5993026999058,None,['9'],[0.6048269000602886],924.5993026999058,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,m,013_y_m_h_a.jpg,happy,9,8,m,008_y_m_n_a.jpg,neutral,incongruent,8,match,,120,170,,1,238,block2_Pilot_2,13,h_n,h_n_strong,,,,,0,1,1,1,0,10,10,10,,,,,,,,,927.6000640999991,None,929.6127132999245,929.9089811999584,929.9089811999584,929.9167319999542,929.9167319999542,929.9575438000029,929.9575438000029,None,None,0,,929.9575438000029,None,931.4576600999571,None,['9'],[0.3624538000440225],931.4576600999571,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,040_y_f_h_a.jpg,happy,9,19,f,019_m_f_s_a.jpg,sad,incongruent,7,match,,120,160,,3,133,block2_Pilot_2,40,h_s,h_s_strong,,,,,0,1,1,1,0,11,11,11,,,,,,,,,934.4585832000012,None,935.5751044999342,935.8670344999991,935.8670344999991,935.8919426999055,935.8919426999055,935.9328422999242,935.9328422999242,None,9,0,0.5112719000317156,935.9328422999242,None,937.4327583999839,None,['7'],[0.35553770000115037],937.4327583999839,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,040_y_f_h_a.jpg,happy,9,13,m,013_y_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,3,226,block2_Pilot_2,40,h_s,h_s_strong,,,,,0,1,1,1,0,12,12,12,,,,,,,,,940.4337197999703,None,942.3238158999011,942.6172024999978,942.6172024999978,942.6421539000003,942.6421539000003,942.6829141000053,942.6829141000053,None,9,0,0.4252406999003142,942.6829141000053,None,944.1828513999935,None,['7'],[0.32533919997513294],944.1828513999935,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,030_o_f_s_a.jpg,sad,7,27,m,027_o_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,1,238,block2_Pilot_2,30,s_h,s_h_strong,,,,,0,1,1,1,0,13,13,13,,,,,,,,,947.1832388999173,None,949.1893630999839,949.484592899913,949.484592899913,949.4921712999931,949.4921712999931,949.5329807999078,949.5329807999078,None,None,0,,949.5329807999078,None,951.033138699946,None,['9'],[0.5630447999574244],951.033138699946,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,m,033_o_m_h_a.jpg,happy,9,30,f,030_o_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,1,238,block2_Pilot_2,33,h_s,h_s_weak,,,,,0,1,1,1,0,14,14,14,,,,,,,,,954.0332001999486,None,956.0247845000122,956.3176346999826,956.3176346999826,956.3256789000006,956.3256789000006,956.3664904999314,956.3664904999314,None,None,0,,956.3664904999314,None,957.8664400000125,None,['9'],[0.5217611999250948],957.8664400000125,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,030_o_f_s_a.jpg,sad,7,28,f,028_y_f_n_a.jpg,neutral,incongruent,8,match,,130,170,,3,198,block2_Pilot_2,30,s_n,s_n_weak,,,,,0,1,1,1,0,15,15,15,,,,,,,,,960.8673964999616,None,962.5630739999469,962.8599427998997,962.8599427998997,962.8839726999868,962.8839726999868,962.9250272999052,962.9250272999052,None,7,0,0.9352591000497341,962.9250272999052,None,964.425106599927,None,['8'],[0.3472547000274062],964.425106599927,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,030_o_f_s_a.jpg,sad,7,33,m,033_o_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,3,175,block2_Pilot_2,30,s_h,s_h_weak,,,,,0,1,1,1,0,16,16,16,,,,,,,,,967.4258321999805,None,968.902382100001,969.193247999996,969.193247999996,969.2177693999838,969.2177693999838,969.2584824999794,969.2584824999794,None,7,0,0.6018016999587417,969.2584824999794,None,970.7583969999105,None,['8'],[0.24592870008200407],970.7583969999105,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
