Person	primeGender	prime	primeEmotion	corrAnsPrime	targetPerson	targetGender	target	targetEmotion	Cond	corrAnsTar	gender	condition	ID_primer	ID_target	PrimerTime	PrimerTime120	JitterTime	conditionsFile	primePerson	emotion_condition	Condition	example.thisRepN	example.thisTrialN	example.thisN	example.thisIndex	readinBlocks.thisRepN	readinBlocks.thisTrialN	readinBlocks.thisN	readinBlocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	text_intro.started	text_intro.stopped	text_probe.started	text_probe.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	polygon_ISI.started	polygon_ISI.stopped	polygon.started	polygon.stopped	primerImage.started	primerImage.stopped		maskImage.started	maskImage.stopped	response.started	response.stopped	key_resp.keys	key_resp.corr	key_resp.started	key_resp.stopped	text.started	text.stopped	key_resp_Rating.keys	key_resp_Rating.rt	key_resp_Rating.started	key_resp_Rating.stopped	text_start.started	text_start.stopped	text_pause.started	text_pause.stopped	key_resp.rt	text_ende.started	text_ende.stopped	participant	date	expName	psychopyVersion	frameRate
	f	040_y_f_s_a.jpg	sad	7	21	f	021_o_f_h_a.jpg	happy	incongruent	9	match		130	150		3	172	block2_Pilot_2	40	s_h	s_h_strong					0	1	1	1	0	70	70	70									1463.169494	None	1464.609502	1464.903767	1464.903767	1464.928589	0.0248219	1464.928589	1464.969463	1464.969463	None	None	0	1464.969463	None	1466.469894	None	['8']	[0.12169369999992341]	1466.469894	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_s_a.jpg	sad	7	16	m	016_y_m_n_a.jpg	neutral	incongruent	8	match		130	170		1	238	block2_Pilot_2	13	s_n	s_n_strong					0	1	1	1	0	71	71	71									1469.472002	None	1471.468257	1471.763484	1471.763484	1471.77173	0.0082452	1471.77173	1471.812358	1471.812358	None	None	0	1471.812358	None	1473.31275	None	['9']	[0.3027446000000964]	1473.31275	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	008_y_m_s_a.jpg	sad	7	12	f	012_o_f_h_a.jpg	happy	incongruent	9	mismatch		130	150		18	238	block2_Pilot_2	8	s_h	s_h_weak					0	1	1	1	0	72	72	72									1476.312941	None	1478.395073	1478.688957	1478.688957	1478.838798	0.1498411	1478.838798	1478.879688	1478.879688	None	7	0	1478.879688	None	1480.379627	None	['7']	[1.0037307000000055]	1480.379627	None					0.9758218			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_s_a.jpg	sad	7	21	f	021_o_f_n_a.jpg	neutral	incongruent	8	mismatch		130	170		1	238	block2_Pilot_2	13	s_n	s_n_weak					0	1	1	1	0	73	73	73									1483.380643	None	1485.37213	1485.664007	1485.664007	1485.672335	0.008328	1485.672335	1485.713163	1485.713163	None	None	0	1485.713163	None	1487.213161	None	['9']	[0.30636289999984]	1487.213161	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	019_m_f_s_a.jpg	sad	7	12	f	012_o_f_n_a.jpg	neutral	incongruent	8	match		130	170		2	208	block2_Pilot_2	19	s_n	s_n_weak					0	1	1	1	0	74	74	74									1490.213094	None	1491.982527	1492.272937	1492.272937	1492.289192	0.0162551	1492.289192	1492.329831	1492.329831	None	7	0	1492.329831	None	1493.83004	None	['8']	[0.4813864999998714]	1493.83004	None					1.2696101			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_s_a.jpg	sad	7	19	f	019_m_f_n_a.jpg	neutral	incongruent	8	mismatch		130	170		18	238	block2_Pilot_2	16	s_n	s_n_strong					0	1	1	1	0	75	75	75									1496.829922	None	1498.827221	1499.122456	1499.122456	1499.272296	0.1498399	1499.272296	1499.313302	1499.313302	None	7	0	1499.313302	None	1500.813353	None	['7']	[0.40215200000011464]	1500.813353	None					0.5741448			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	040_y_f_n_a.jpg	neutral	8	27	m	027_o_m_s_a.jpg	sad	incongruent	7	mismatch		140	160		1	238	block2_Pilot_2	40	n_s	n_s_weak					0	1	1	1	0	76	76	76									1503.81468	None	1505.846886	1506.139811	1506.139811	1506.147365	0.0075542	1506.147365	1506.188381	1506.188381	None	None	0	1506.188381	None	1507.68864	None	['9']	[0.7268993000000137]	1507.68864	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_h_a.jpg	happy	9	30	f	030_o_f_n_a.jpg	neutral	incongruent	8	mismatch		120	170		2	215	block2_Pilot_2	16	h_n	h_n_weak					0	1	1	1	0	77	77	77									1510.689434	None	1512.491915	1512.7812	1512.7812	1512.797806	0.0166056	1512.797806	1512.838576	1512.838576	None	9	0	1512.838576	None	1514.338642	None	['7']	[0.7328492000001461]	1514.338642	None					0.856898			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_h_a.jpg	happy	9	28	f	028_y_f_n_a.jpg	neutral	incongruent	8	mismatch		120	170		18	191	block2_Pilot_2	13	h_n	h_n_weak					0	1	1	1	0	78	78	78									1517.339085	None	1518.969564	1519.265071	1519.265071	1519.414467	0.1493951	1519.414467	1519.45546	1519.45546	None	9	0	1519.45546	None	1520.95533	None	['7']	[0.8840350999998918]	1520.95533	None					0.7760088			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	008_y_m_n_a.jpg	neutral	8	8	m	008_y_m_h_a.jpg	happy	incongruent	9	match		140	150		3	228	block2_Pilot_2	8	n_h	n_h_weak					0	1	1	1	0	79	79	79									1523.955534	None	1525.878745	1526.173438	1526.173438	1526.197937	0.0244993	1526.197937	1526.23878	1526.23878	None	8	0	1526.23878	None	1527.739575	None	['8']	[0.323838300000034]	1527.739575	None					0.8886543			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_h_a.jpg	happy	9	13	m	013_y_m_s_a.jpg	sad	incongruent	7	match		120	160		1	238	block2_Pilot_2	16	h_s	h_s_weak					0	1	1	1	0	80	80	80									1530.739991	None	1532.730486	1533.023319	1533.023319	1533.031406	0.008087	1533.031406	1533.072242	1533.072242	None	None	0	1533.072242	None	1534.572309	None	['9']	[0.8352664999999888]	1534.572309	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	027_o_m_s_a.jpg	sad	7	40	f	040_y_f_h_a.jpg	happy	incongruent	9	mismatch		130	150		18	238	block2_Pilot_2	27	s_h	s_h_strong					0	1	1	1	0	81	81	81									1537.572412	None	1539.568937	1539.865012	1539.865012	1540.014928	0.1499159	1540.014928	1540.055733	1540.055733	None	7	0	1540.055733	None	1541.555882	None	['7']	[0.33946530000002895]	1541.555882	None					0.7755406			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	019_m_f_n_a.jpg	neutral	8	28	f	028_y_f_h_a.jpg	happy	incongruent	9	match		140	150		18	159	block2_Pilot_2	19	n_h	n_h_strong					0	1	1	1	0	82	82	82									1544.556642	None	1545.909208	1546.199043	1546.199043	1546.348324	0.1492813	1546.348324	1546.389231	1546.389231	None	8	0	1546.389231	None	1547.889354	None	['7']	[0.35002910000002885]	1547.889354	None					0.6022527			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_n_a.jpg	neutral	8	4	m	004_o_m_n_a.jpg	neutral	congruent	8	match		140	170		1	238	block2_Pilot_2	13	n_n	n_n_strong					0	1	1	1	0	83	83	83									1550.89006	None	1552.895637	1553.190678	1553.190678	1553.198507	0.0078296	1553.198507	1553.239219	1553.239219	None	None	0	1553.239219	None	1554.739463	None	['9']	[0.2838455999999496]	1554.739463	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	040_y_f_s_a.jpg	sad	7	33	m	033_o_m_s_a.jpg	sad	congruent	7	mismatch		130	160		2	130	block2_Pilot_2	40	s_s	s_s_weak					0	1	1	1	0	84	84	84									1557.740456	None	1558.831198	1559.123656	1559.123656	1559.140261	0.0166058	1559.140261	1559.18107	1559.18107	None	None	0	1559.18107	None	1560.681056	None	['9']	[0.2784088000000793]	1560.681056	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_s_a.jpg	sad	7	16	m	016_y_m_h_a.jpg	happy	incongruent	9	match		130	150		1	238	block2_Pilot_2	13	s_h	s_h_weak					0	1	1	1	0	85	85	85									1563.682689	None	1565.671486	1565.965511	1565.965511	1565.973739	0.0082284	1565.973739	1566.014577	1566.014577	None	None	0	1566.014577	None	1567.514495	None	['9']	[0.25294770000004974]	1567.514495	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_n_a.jpg	neutral	8	8	m	008_y_m_h_a.jpg	happy	incongruent	9	match		140	150		3	164	block2_Pilot_2	16	n_h	n_h_strong					0	1	1	1	0	86	86	86									1570.515689	None	1571.916424	1572.207764	1572.207764	1572.23205	0.0242855	1572.23205	1572.272989	1572.272989	None	8	0	1572.272989	None	1573.773324	None	['8']	[0.4820991999999933]	1573.773324	None					0.8462989			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_h_a.jpg	happy	9	13	m	013_y_m_s_a.jpg	sad	incongruent	7	match		120	160		3	149	block2_Pilot_2	16	h_s	h_s_strong					0	1	1	1	0	87	87	87									1576.773744	None	1578.023026	1578.315668	1578.315668	1578.340577	0.0249088	1578.340577	1578.381578	1578.381578	None	9	0	1578.381578	None	1579.882195	None	['7']	[0.32508659999984957]	1579.882195	None					0.8178575			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	008_y_m_n_a.jpg	neutral	8	21	f	021_o_f_h_a.jpg	happy	incongruent	9	mismatch		140	150		3	131	block2_Pilot_2	8	n_h	n_h_weak					0	1	1	1	0	88	88	88									1582.882312	None	1583.992835	1584.282825	1584.282825	1584.307459	0.0246335	1584.307459	1584.34835	1584.34835	None	8	0	1584.34835	None	1585.849038	None	['8']	[0.26237769999988814]	1585.849038	None					0.6909571			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	021_o_f_n_a.jpg	neutral	8	4	m	004_o_m_n_a.jpg	neutral	congruent	8	mismatch		140	170		1	238	block2_Pilot_2	21	n_n	n_n_strong					0	1	1	1	0	89	89	89									1588.849358	None	1590.855472	1591.149716	1591.149716	1591.157468	0.0077518	1591.157468	1591.198345	1591.198345	None	None	0	1591.198345	None	1592.6985	None	['9']	[0.29283090000012635]	1592.6985	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_h_a.jpg	happy	9	13	m	013_y_m_h_a.jpg	happy	congruent	9	match		120	150		1	238	block2_Pilot_2	33	h_h	h_h_weak					0	1	1	1	0	90	90	90									1595.698519	None	1597.694151	1597.98273	1597.98273	1597.990921	0.0081917	1597.990921	1598.031993	1598.031993	None	None	0	1598.031993	None	1599.532027	None	['9']	[0.29132319999985157]	1599.532027	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_s_a.jpg	sad	7	4	m	004_o_m_h_a.jpg	happy	incongruent	9	match		130	150		18	148	block2_Pilot_2	33	s_h	s_h_weak					0	1	1	1	0	91	91	91									1602.533176	None	1603.776342	1604.066162	1604.066162	1604.216184	0.1500221	1604.216184	1604.256979	1604.256979	None	7	0	1604.256979	None	1605.757277	None	['7']	[0.6740203999997902]	1605.757277	None					0.8942963			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_n_a.jpg	neutral	8	16	m	016_y_m_h_a.jpg	happy	incongruent	9	match		140	150		3	198	block2_Pilot_2	13	n_h	n_h_weak					0	1	1	1	0	92	92	92									1608.757638	None	1610.436564	1610.725068	1610.725068	1610.749599	0.0245307	1610.749599	1610.790398	1610.790398	None	8	0	1610.790398	None	1612.290991	None	['7']	[0.4282655000001796]	1612.290991	None					0.7446682			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	016_y_m_s_a.jpg	sad	7	28	f	028_y_f_s_a.jpg	sad	congruent	7	mismatch		130	160		1	238	block2_Pilot_2	16	s_s	s_s_weak					0	1	1	1	0	93	93	93									1615.290667	None	1617.282017	1617.574824	1617.574824	1617.583065	0.0082404	1617.583065	1617.624058	1617.624058	None	None	0	1617.624058	None	1619.123854	None	['9']	[0.5234568000000763]	1619.123854	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	030_o_f_n_a.jpg	neutral	8	28	f	028_y_f_n_a.jpg	neutral	congruent	8	match		140	170		3	177	block2_Pilot_2	30	n_n	n_n_weak					0	1	1	1	0	94	94	94									1622.124698	None	1623.632287	1623.925414	1623.925414	1623.94984	0.0244264	1623.94984	1623.990633	1623.990633	None	8	1	1623.990633	None	1625.49081	None	['8']	[0.2524486000002071]	1625.49081	None					0.7366651			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_n_a.jpg	neutral	8	13	m	013_y_m_n_a.jpg	neutral	congruent	8	match		140	170		2	220	block2_Pilot_2	33	n_n	n_n_weak					0	1	1	1	0	95	95	95									1628.491743	None	1630.347839	1630.64217	1630.64217	1630.65812	0.0159503	1630.65812	1630.699157	1630.699157	None	8	1	1630.699157	None	1632.199223	None	['7']	[0.4958658000000469]	1632.199223	None					0.7641756			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	012_o_f_s_a.jpg	sad	7	21	f	021_o_f_s_a.jpg	sad	congruent	7	match		130	160		1	238	block2_Pilot_2	12	s_s	s_s_strong					0	1	1	1	0	96	96	96									1635.200143	None	1637.18911	1637.483428	1637.483428	1637.4917	0.0082716	1637.4917	1637.532716	1637.532716	None	None	0	1637.532716	None	1639.032578	None	['9']	[0.3108188999999584]	1639.032578	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_h_a.jpg	happy	9	30	f	030_o_f_s_a.jpg	sad	incongruent	7	mismatch		120	160		3	204	block2_Pilot_2	33	h_s	h_s_strong					0	1	1	1	0	97	97	97									1642.032679	None	1643.741017	1644.033797	1644.033797	1644.058609	0.0248118	1644.058609	1644.099442	1644.099442	None	9	0	1644.099442	None	1645.599528	None	['7']	[0.32777790000000095]	1645.599528	None					0.8677338			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	030_o_f_s_a.jpg	sad	7	30	f	030_o_f_n_a.jpg	neutral	incongruent	8	match		130	170		1	238	block2_Pilot_2	30	s_n	s_n_weak					0	1	1	1	0	98	98	98									1648.600417	None	1650.625289	1650.91771	1650.91771	1650.925187	0.0074766	1650.925187	1650.966229	1650.966229	None	None	0	1650.966229	None	1652.467274	None	['9']	[0.37194659999977375]	1652.467274	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	030_o_f_h_a.jpg	happy	9	12	f	012_o_f_n_a.jpg	neutral	incongruent	8	match		120	170		1	238	block2_Pilot_2	30	h_n	h_n_weak					0	1	1	1	0	99	99	99									1655.467243	None	1657.473448	1657.767857	1657.767857	1657.775423	0.0075659	1657.775423	1657.816324	1657.816324	None	None	0	1657.816324	None	1659.316813	None	['9']	[0.32239449999997305]	1659.316813	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_n_a.jpg	neutral	8	30	f	030_o_f_h_a.jpg	happy	incongruent	9	mismatch		140	150		3	151	block2_Pilot_2	33	n_h	n_h_strong					0	1	1	1	0	100	100	100									1662.317239	None	1663.593794	1663.884584	1663.884584	1663.908992	0.0244077	1663.908992	1663.949652	1663.949652	None	8	0	1663.949652	None	1665.449883	None	['7']	[0.3492625999997472]	1665.449883	None					0.7694796			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	019_m_f_s_a.jpg	sad	7	40	f	040_y_f_n_a.jpg	neutral	incongruent	8	match		130	170		18	156	block2_Pilot_2	19	s_n	s_n_weak					0	1	1	1	0	101	101	101									1668.45067	None	1669.768832	1670.059579	1670.059579	1670.209085	0.1495054	1670.209085	1670.249839	1670.249839	None	7	0	1670.249839	None	1671.749904	None	['7']	[0.3212330999999722]	1671.749904	None					0.7493014			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
